PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(31)	(expected)	(over/under)	(fold Enrichment)	P-value
nucleoside diphosphate catabolic process (GO:0009134)	22	0	.06	-	 < 0.01	1.00E00
RNA polymerase II preinitiation complex assembly (GO:0051123)	6	0	.02	-	 < 0.01	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	10	0	.03	-	 < 0.01	1.00E00
nucleoside diphosphate metabolic process (GO:0009132)	25	0	.07	-	 < 0.01	1.00E00
retrograde transport, endosome to Golgi (GO:0042147)	31	0	.08	-	 < 0.01	1.00E00
platelet aggregation (GO:0070527)	5	0	.01	-	 < 0.01	1.00E00
regulation of angiogenesis (GO:0045765)	21	0	.05	-	 < 0.01	1.00E00
regulation of cytosolic calcium ion concentration (GO:0051480)	17	0	.04	-	 < 0.01	1.00E00
vacuole fusion, non-autophagic (GO:0042144)	1	0	.00	-	 < 0.01	1.00E00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	.00	-	 < 0.01	1.00E00
positive regulation of adenylate cyclase activity (GO:0045762)	5	0	.01	-	 < 0.01	1.00E00
regulation of adenylate cyclase activity (GO:0045761)	7	0	.02	-	 < 0.01	1.00E00
regulation of sodium ion transmembrane transporter activity (GO:2000649)	13	0	.03	-	 < 0.01	1.00E00
microtubule cytoskeleton organization (GO:0000226)	164	0	.43	-	 < 0.01	1.00E00
motor neuron axon guidance (GO:0008045)	6	0	.02	-	 < 0.01	1.00E00
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	17	0	.04	-	 < 0.01	1.00E00
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	0	.01	-	 < 0.01	1.00E00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	31	0	.08	-	 < 0.01	1.00E00
innate immune response-activating signaling pathway (GO:0002758)	12	0	.03	-	 < 0.01	1.00E00
immune response-activating signaling pathway (GO:0002757)	36	0	.09	-	 < 0.01	1.00E00
peptidyl-tyrosine phosphorylation (GO:0018108)	6	0	.02	-	 < 0.01	1.00E00
peptidyl-threonine phosphorylation (GO:0018107)	17	0	.04	-	 < 0.01	1.00E00
peptidyl-tyrosine dephosphorylation (GO:0035335)	15	0	.04	-	 < 0.01	1.00E00
negative regulation of cell communication (GO:0010648)	157	0	.41	-	 < 0.01	1.00E00
filopodium assembly (GO:0046847)	3	0	.01	-	 < 0.01	1.00E00
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4	0	.01	-	 < 0.01	1.00E00
skin development (GO:0043588)	3	0	.01	-	 < 0.01	1.00E00
purine nucleoside monophosphate metabolic process (GO:0009126)	13	0	.03	-	 < 0.01	1.00E00
ear development (GO:0043583)	2	0	.01	-	 < 0.01	1.00E00
regulation of amide metabolic process (GO:0034248)	49	0	.13	-	 < 0.01	1.00E00
ameboidal-type cell migration (GO:0001667)	36	0	.09	-	 < 0.01	1.00E00
response to hypoxia (GO:0001666)	16	0	.04	-	 < 0.01	1.00E00
nucleoside monophosphate metabolic process (GO:0009123)	16	0	.04	-	 < 0.01	1.00E00
meiotic DNA double-strand break formation (GO:0042138)	3	0	.01	-	 < 0.01	1.00E00
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8	0	.02	-	 < 0.01	1.00E00
regulation of transcription elongation by RNA polymerase II (GO:0034243)	9	0	.02	-	 < 0.01	1.00E00
cell recognition (GO:0008037)	14	0	.04	-	 < 0.01	1.00E00
potassium ion import across plasma membrane (GO:1990573)	29	0	.08	-	 < 0.01	1.00E00
mitotic cell cycle process (GO:1903047)	128	0	.33	-	 < 0.01	1.00E00
negative regulation of T cell proliferation (GO:0042130)	2	0	.01	-	 < 0.01	1.00E00
meiotic cell cycle process (GO:1903046)	43	0	.11	-	 < 0.01	1.00E00
tRNA processing (GO:0008033)	52	0	.14	-	 < 0.01	1.00E00
V(D)J recombination (GO:0033151)	2	0	.01	-	 < 0.01	1.00E00
hippo signaling (GO:0035329)	15	0	.04	-	 < 0.01	1.00E00
phospholipid dephosphorylation (GO:0046839)	32	0	.08	-	 < 0.01	1.00E00
negative regulation of organelle organization (GO:0010639)	52	0	.14	-	 < 0.01	1.00E00
positive regulation of organelle organization (GO:0010638)	48	0	.13	-	 < 0.01	1.00E00
carbohydrate phosphorylation (GO:0046835)	6	0	.02	-	 < 0.01	1.00E00
nucleotide metabolic process (GO:0009117)	105	0	.27	-	 < 0.01	1.00E00
nucleoside metabolic process (GO:0009116)	14	0	.04	-	 < 0.01	1.00E00
cellular response to oxidative stress (GO:0034599)	9	0	.02	-	 < 0.01	1.00E00
regulation of T cell proliferation (GO:0042129)	3	0	.01	-	 < 0.01	1.00E00
nucleobase metabolic process (GO:0009112)	19	0	.05	-	 < 0.01	1.00E00
eye development (GO:0001654)	31	0	.08	-	 < 0.01	1.00E00
calcium ion import (GO:0070509)	11	0	.03	-	 < 0.01	1.00E00
regulation of cell population proliferation (GO:0042127)	98	0	.26	-	 < 0.01	1.00E00
cytochrome complex assembly (GO:0017004)	2	0	.01	-	 < 0.01	1.00E00
nuclear chromosome segregation (GO:0098813)	54	0	.14	-	 < 0.01	1.00E00
negative regulation of Notch signaling pathway (GO:0045746)	3	0	.01	-	 < 0.01	1.00E00
regulation of microtubule cytoskeleton organization (GO:0070507)	32	0	.08	-	 < 0.01	1.00E00
protein polyubiquitination (GO:0000209)	73	0	.19	-	 < 0.01	1.00E00
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	3	0	.01	-	 < 0.01	1.00E00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	4	0	.01	-	 < 0.01	1.00E00
regulation of leukocyte cell-cell adhesion (GO:1903037)	6	0	.02	-	 < 0.01	1.00E00
regulation of response to wounding (GO:1903034)	6	0	.02	-	 < 0.01	1.00E00
sperm motility (GO:0097722)	1	0	.00	-	 < 0.01	1.00E00
RNA splicing (GO:0008380)	102	0	.27	-	 < 0.01	1.00E00
regulation of endopeptidase activity (GO:0052548)	41	0	.11	-	 < 0.01	1.00E00
calcineurin-mediated signaling (GO:0097720)	7	0	.02	-	 < 0.01	1.00E00
regulation of peptidase activity (GO:0052547)	42	0	.11	-	 < 0.01	1.00E00
negative regulation of gene expression (GO:0010629)	115	0	.30	-	 < 0.01	1.00E00
positive regulation of gene expression (GO:0010628)	70	0	.18	-	 < 0.01	1.00E00
response to external biotic stimulus (GO:0043207)	43	0	.11	-	 < 0.01	1.00E00
oligopeptide transmembrane transport (GO:0035672)	2	0	.01	-	 < 0.01	1.00E00
osteoblast differentiation (GO:0001649)	5	0	.01	-	 < 0.01	1.00E00
neutrophil activation (GO:0042119)	1	0	.00	-	 < 0.01	1.00E00
positive regulation of DNA repair (GO:0045739)	9	0	.02	-	 < 0.01	1.00E00
piRNA processing (GO:0034587)	6	0	.02	-	 < 0.01	1.00E00
negative regulation of DNA repair (GO:0045738)	5	0	.01	-	 < 0.01	1.00E00
regulation of intracellular pH (GO:0051453)	26	0	.07	-	 < 0.01	1.00E00
glycoprotein biosynthetic process (GO:0009101)	114	0	.30	-	 < 0.01	1.00E00
intracellular pH reduction (GO:0051452)	9	0	.02	-	 < 0.01	1.00E00
glycoprotein metabolic process (GO:0009100)	132	0	.34	-	 < 0.01	1.00E00
macrophage activation (GO:0042116)	1	0	.00	-	 < 0.01	1.00E00
odontogenesis (GO:0042476)	2	0	.01	-	 < 0.01	1.00E00
monoatomic ion transmembrane transport (GO:0034220)	258	0	.67	-	 < 0.01	1.00E00
B cell activation (GO:0042113)	7	0	.02	-	 < 0.01	1.00E00
odontogenesis of dentin-containing tooth (GO:0042475)	2	0	.01	-	 < 0.01	1.00E00
positive regulation of protein catabolic process (GO:0045732)	24	0	.06	-	 < 0.01	1.00E00
regulation of heart contraction (GO:0008016)	20	0	.05	-	 < 0.01	1.00E00
blood circulation (GO:0008015)	39	0	.10	-	 < 0.01	1.00E00
T cell activation (GO:0042110)	7	0	.02	-	 < 0.01	1.00E00
inner ear morphogenesis (GO:0042472)	2	0	.01	-	 < 0.01	1.00E00
chromosome localization (GO:0050000)	13	0	.03	-	 < 0.01	1.00E00
vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)	1	0	.00	-	 < 0.01	1.00E00
protein localization to cilium (GO:0061512)	15	0	.04	-	 < 0.01	1.00E00
centriole elongation (GO:0061511)	1	0	.00	-	 < 0.01	1.00E00
antigen processing and presentation (GO:0019882)	3	0	.01	-	 < 0.01	1.00E00
sperm axoneme assembly (GO:0007288)	1	0	.00	-	 < 0.01	1.00E00
cardiolipin biosynthetic process (GO:0032049)	2	0	.01	-	 < 0.01	1.00E00
epithelium development (GO:0060429)	35	0	.09	-	 < 0.01	1.00E00
spermatid development (GO:0007286)	4	0	.01	-	 < 0.01	1.00E00
regulation of dephosphorylation (GO:0035303)	9	0	.02	-	 < 0.01	1.00E00
spermatogenesis (GO:0007283)	17	0	.04	-	 < 0.01	1.00E00
germ cell development (GO:0007281)	16	0	.04	-	 < 0.01	1.00E00
mitochondrial DNA metabolic process (GO:0032042)	4	0	.01	-	 < 0.01	1.00E00
regulation of neuron projection development (GO:0010975)	40	0	.10	-	 < 0.01	1.00E00
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	14	0	.04	-	 < 0.01	1.00E00
regulation of meiotic cell cycle (GO:0051445)	10	0	.03	-	 < 0.01	1.00E00
transport along microtubule (GO:0010970)	51	0	.13	-	 < 0.01	1.00E00
purine nucleotide catabolic process (GO:0006195)	19	0	.05	-	 < 0.01	1.00E00
positive regulation of translation (GO:0045727)	18	0	.05	-	 < 0.01	1.00E00
signal release (GO:0023061)	38	0	.10	-	 < 0.01	1.00E00
RNA modification (GO:0009451)	75	0	.20	-	 < 0.01	1.00E00
response to growth factor (GO:0070848)	79	0	.21	-	 < 0.01	1.00E00
positive regulation of T cell proliferation (GO:0042102)	2	0	.01	-	 < 0.01	1.00E00
mitochondrial transmembrane transport (GO:1990542)	36	0	.09	-	 < 0.01	1.00E00
eye photoreceptor cell development (GO:0042462)	1	0	.00	-	 < 0.01	1.00E00
regulation of cell size (GO:0008361)	13	0	.03	-	 < 0.01	1.00E00
regulation of cell shape (GO:0008360)	28	0	.07	-	 < 0.01	1.00E00
regulation of natural killer cell mediated immunity (GO:0002715)	2	0	.01	-	 < 0.01	1.00E00
gamete generation (GO:0007276)	27	0	.07	-	 < 0.01	1.00E00
post-transcriptional regulation of gene expression (GO:0010608)	104	0	.27	-	 < 0.01	1.00E00
regulation of kinase activity (GO:0043549)	123	0	.32	-	 < 0.01	1.00E00
neuromuscular synaptic transmission (GO:0007274)	10	0	.03	-	 < 0.01	1.00E00
positive regulation of GTPase activity (GO:0043547)	48	0	.13	-	 < 0.01	1.00E00
negative regulation of macromolecule metabolic process (GO:0010605)	364	0	.95	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid separation (GO:0010965)	15	0	.04	-	 < 0.01	1.00E00
negative regulation of signaling (GO:0023057)	157	0	.41	-	 < 0.01	1.00E00
DNA geometric change (GO:0032392)	12	0	.03	-	 < 0.01	1.00E00
protein acylation (GO:0043543)	28	0	.07	-	 < 0.01	1.00E00
endothelial cell migration (GO:0043542)	4	0	.01	-	 < 0.01	1.00E00
IMP biosynthetic process (GO:0006188)	6	0	.02	-	 < 0.01	1.00E00
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	33	0	.09	-	 < 0.01	1.00E00
negative regulation of canonical Wnt signaling pathway (GO:0090090)	16	0	.04	-	 < 0.01	1.00E00
lipid translocation (GO:0034204)	22	0	.06	-	 < 0.01	1.00E00
cGMP biosynthetic process (GO:0006182)	4	0	.01	-	 < 0.01	1.00E00
response to organic cyclic compound (GO:0014070)	27	0	.07	-	 < 0.01	1.00E00
neurotransmitter secretion (GO:0007269)	33	0	.09	-	 < 0.01	1.00E00
negative regulation of macroautophagy (GO:0016242)	4	0	.01	-	 < 0.01	1.00E00
regulation of macroautophagy (GO:0016241)	15	0	.04	-	 < 0.01	1.00E00
regulation of lymphocyte mediated immunity (GO:0002706)	4	0	.01	-	 < 0.01	1.00E00
Rho protein signal transduction (GO:0007266)	25	0	.07	-	 < 0.01	1.00E00
Ras protein signal transduction (GO:0007265)	27	0	.07	-	 < 0.01	1.00E00
regulation of response to endoplasmic reticulum stress (GO:1905897)	6	0	.02	-	 < 0.01	1.00E00
regulation of leukocyte mediated immunity (GO:0002703)	4	0	.01	-	 < 0.01	1.00E00
small GTPase-mediated signal transduction (GO:0007264)	65	0	.17	-	 < 0.01	1.00E00
regulation of metal ion transport (GO:0010959)	52	0	.14	-	 < 0.01	1.00E00
regulation of chromatin organization (GO:1902275)	4	0	.01	-	 < 0.01	1.00E00
positive regulation of insulin secretion (GO:0032024)	1	0	.00	-	 < 0.01	1.00E00
regulation of peptide transport (GO:0090087)	5	0	.01	-	 < 0.01	1.00E00
tyrosine phosphorylation of STAT protein (GO:0007260)	1	0	.00	-	 < 0.01	1.00E00
positive regulation of peptidase activity (GO:0010952)	20	0	.05	-	 < 0.01	1.00E00
negative regulation of endopeptidase activity (GO:0010951)	22	0	.06	-	 < 0.01	1.00E00
positive regulation of endopeptidase activity (GO:0010950)	19	0	.05	-	 < 0.01	1.00E00
negative regulation of nuclear division (GO:0051784)	13	0	.03	-	 < 0.01	1.00E00
replication fork processing (GO:0031297)	14	0	.04	-	 < 0.01	1.00E00
regulation of nuclear division (GO:0051783)	28	0	.07	-	 < 0.01	1.00E00
heterochromatin organization (GO:0070828)	24	0	.06	-	 < 0.01	1.00E00
regulation of ERBB signaling pathway (GO:1901184)	12	0	.03	-	 < 0.01	1.00E00
hormone biosynthetic process (GO:0042446)	1	0	.00	-	 < 0.01	1.00E00
positive regulation of cell division (GO:0051781)	2	0	.01	-	 < 0.01	1.00E00
hormone metabolic process (GO:0042445)	14	0	.04	-	 < 0.01	1.00E00
embryo development (GO:0009790)	70	0	.18	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex III assembly (GO:0034551)	1	0	.00	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex assembly (GO:0033108)	10	0	.03	-	 < 0.01	1.00E00
positive regulation of macroautophagy (GO:0016239)	10	0	.03	-	 < 0.01	1.00E00
pigment metabolic process (GO:0042440)	13	0	.03	-	 < 0.01	1.00E00
microautophagy (GO:0016237)	16	0	.04	-	 < 0.01	1.00E00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1	0	.00	-	 < 0.01	1.00E00
telomere capping (GO:0016233)	3	0	.01	-	 < 0.01	1.00E00
receptor signaling pathway via JAK-STAT (GO:0007259)	8	0	.02	-	 < 0.01	1.00E00
JNK cascade (GO:0007254)	6	0	.02	-	 < 0.01	1.00E00
negative regulation of cell cycle process (GO:0010948)	49	0	.13	-	 < 0.01	1.00E00
positive regulation of protein serine/threonine kinase activity (GO:0071902)	12	0	.03	-	 < 0.01	1.00E00
regulation of protein serine/threonine kinase activity (GO:0071900)	48	0	.13	-	 < 0.01	1.00E00
purine nucleotide biosynthetic process (GO:0006164)	46	0	.12	-	 < 0.01	1.00E00
purine nucleotide metabolic process (GO:0006163)	89	0	.23	-	 < 0.01	1.00E00
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	3	0	.01	-	 < 0.01	1.00E00
positive regulation of cyclase activity (GO:0031281)	9	0	.02	-	 < 0.01	1.00E00
snRNA transcription by RNA polymerase II (GO:0042795)	5	0	.01	-	 < 0.01	1.00E00
negative regulation of cyclase activity (GO:0031280)	2	0	.01	-	 < 0.01	1.00E00
collagen fibril organization (GO:0030199)	9	0	.02	-	 < 0.01	1.00E00
endosome to lysosome transport (GO:0008333)	14	0	.04	-	 < 0.01	1.00E00
extracellular matrix organization (GO:0030198)	100	0	.26	-	 < 0.01	1.00E00
regulation of mRNA processing (GO:0050684)	37	0	.10	-	 < 0.01	1.00E00
iron-sulfur cluster assembly (GO:0016226)	9	0	.02	-	 < 0.01	1.00E00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	5	0	.01	-	 < 0.01	1.00E00
negative regulation of blood coagulation (GO:0030195)	4	0	.01	-	 < 0.01	1.00E00
canonical NF-kappaB signal transduction (GO:0007249)	3	0	.01	-	 < 0.01	1.00E00
positive regulation of TOR signaling (GO:0032008)	15	0	.04	-	 < 0.01	1.00E00
negative regulation of TOR signaling (GO:0032007)	10	0	.03	-	 < 0.01	1.00E00
non-motile cilium assembly (GO:1905515)	14	0	.04	-	 < 0.01	1.00E00
regulation of TOR signaling (GO:0032006)	28	0	.07	-	 < 0.01	1.00E00
intracellular sterol transport (GO:0032366)	3	0	.01	-	 < 0.01	1.00E00
intracellular lipid transport (GO:0032365)	5	0	.01	-	 < 0.01	1.00E00
positive regulation of cell cycle process (GO:0090068)	25	0	.07	-	 < 0.01	1.00E00
regulation of anatomical structure size (GO:0090066)	67	0	.17	-	 < 0.01	1.00E00
response to light stimulus (GO:0009416)	24	0	.06	-	 < 0.01	1.00E00
regulation of cyclase activity (GO:0031279)	12	0	.03	-	 < 0.01	1.00E00
neuron apoptotic process (GO:0051402)	4	0	.01	-	 < 0.01	1.00E00
response to UV (GO:0009411)	7	0	.02	-	 < 0.01	1.00E00
purine nucleoside catabolic process (GO:0006152)	3	0	.01	-	 < 0.01	1.00E00
regulation of cell-matrix adhesion (GO:0001952)	4	0	.01	-	 < 0.01	1.00E00
positive regulation of epithelial cell proliferation (GO:0050679)	7	0	.02	-	 < 0.01	1.00E00
protein deubiquitination (GO:0016579)	55	0	.14	-	 < 0.01	1.00E00
tRNA 3'-end processing (GO:0042780)	1	0	.00	-	 < 0.01	1.00E00
epithelial cell proliferation (GO:0050673)	1	0	.00	-	 < 0.01	1.00E00
regulation of lymphocyte proliferation (GO:0050670)	5	0	.01	-	 < 0.01	1.00E00
B cell differentiation (GO:0030183)	4	0	.01	-	 < 0.01	1.00E00
hemostasis (GO:0007599)	9	0	.02	-	 < 0.01	1.00E00
blood coagulation (GO:0007596)	9	0	.02	-	 < 0.01	1.00E00
cellular component assembly involved in morphogenesis (GO:0010927)	25	0	.07	-	 < 0.01	1.00E00
developmental pigmentation (GO:0048066)	6	0	.02	-	 < 0.01	1.00E00
response to cold (GO:0009409)	1	0	.00	-	 < 0.01	1.00E00
response to heat (GO:0009408)	11	0	.03	-	 < 0.01	1.00E00
regulation of phosphatase activity (GO:0010921)	6	0	.02	-	 < 0.01	1.00E00
purine nucleobase metabolic process (GO:0006144)	10	0	.03	-	 < 0.01	1.00E00
vasculature development (GO:0001944)	38	0	.10	-	 < 0.01	1.00E00
neural crest cell differentiation (GO:0014033)	29	0	.08	-	 < 0.01	1.00E00
neural crest cell development (GO:0014032)	29	0	.08	-	 < 0.01	1.00E00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6	0	.02	-	 < 0.01	1.00E00
ATP synthesis coupled electron transport (GO:0042773)	6	0	.02	-	 < 0.01	1.00E00
negative regulation of Wnt signaling pathway (GO:0030178)	29	0	.08	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	3	0	.01	-	 < 0.01	1.00E00
positive regulation of Wnt signaling pathway (GO:0030177)	23	0	.06	-	 < 0.01	1.00E00
signal transduction in response to DNA damage (GO:0042770)	20	0	.05	-	 < 0.01	1.00E00
protein ubiquitination (GO:0016567)	164	0	.43	-	 < 0.01	1.00E00
integrin-mediated signaling pathway (GO:0007229)	25	0	.07	-	 < 0.01	1.00E00
smoothened signaling pathway (GO:0007224)	18	0	.05	-	 < 0.01	1.00E00
digestion (GO:0007586)	2	0	.01	-	 < 0.01	1.00E00
cellular response to topologically incorrect protein (GO:0035967)	26	0	.07	-	 < 0.01	1.00E00
response to topologically incorrect protein (GO:0035966)	26	0	.07	-	 < 0.01	1.00E00
hormone-mediated signaling pathway (GO:0009755)	24	0	.06	-	 < 0.01	1.00E00
endothelial cell proliferation (GO:0001935)	1	0	.00	-	 < 0.01	1.00E00
positive regulation of protein phosphorylation (GO:0001934)	67	0	.17	-	 < 0.01	1.00E00
negative regulation of protein phosphorylation (GO:0001933)	33	0	.09	-	 < 0.01	1.00E00
regulation of protein phosphorylation (GO:0001932)	122	0	.32	-	 < 0.01	1.00E00
protein O-linked glycosylation (GO:0006493)	40	0	.10	-	 < 0.01	1.00E00
RNA transport (GO:0050658)	37	0	.10	-	 < 0.01	1.00E00
nucleic acid transport (GO:0050657)	37	0	.10	-	 < 0.01	1.00E00
platelet activation (GO:0030168)	6	0	.02	-	 < 0.01	1.00E00
protein import into peroxisome matrix (GO:0016558)	11	0	.03	-	 < 0.01	1.00E00
positive regulation of mRNA metabolic process (GO:1903313)	34	0	.09	-	 < 0.01	1.00E00
proteoglycan biosynthetic process (GO:0030166)	24	0	.06	-	 < 0.01	1.00E00
isoprenoid catabolic process (GO:0008300)	4	0	.01	-	 < 0.01	1.00E00
mRNA modification (GO:0016556)	8	0	.02	-	 < 0.01	1.00E00
regulation of mRNA metabolic process (GO:1903311)	89	0	.23	-	 < 0.01	1.00E00
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	11	0	.03	-	 < 0.01	1.00E00
Notch signaling pathway (GO:0007219)	22	0	.06	-	 < 0.01	1.00E00
protein catabolic process (GO:0030163)	256	0	.67	-	 < 0.01	1.00E00
neuropeptide signaling pathway (GO:0007218)	31	0	.08	-	 < 0.01	1.00E00
regulation of proteolysis (GO:0030162)	76	0	.20	-	 < 0.01	1.00E00
glutamate receptor signaling pathway (GO:0007215)	10	0	.03	-	 < 0.01	1.00E00
dopamine receptor signaling pathway (GO:0007212)	6	0	.02	-	 < 0.01	1.00E00
response to glucose (GO:0009749)	4	0	.01	-	 < 0.01	1.00E00
protein N-linked glycosylation (GO:0006487)	35	0	.09	-	 < 0.01	1.00E00
protein glycosylation (GO:0006486)	88	0	.23	-	 < 0.01	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	58	0	.15	-	 < 0.01	1.00E00
protein localization to nucleus (GO:0034504)	42	0	.11	-	 < 0.01	1.00E00
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	1	0	.00	-	 < 0.01	1.00E00
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	3	0	.01	-	 < 0.01	1.00E00
protein localization to kinetochore (GO:0034501)	5	0	.01	-	 < 0.01	1.00E00
regulation of circadian rhythm (GO:0042752)	8	0	.02	-	 < 0.01	1.00E00
amino acid biosynthetic process (GO:0008652)	22	0	.06	-	 < 0.01	1.00E00
regulation of cell adhesion (GO:0030155)	40	0	.10	-	 < 0.01	1.00E00
protein import into mitochondrial matrix (GO:0030150)	9	0	.02	-	 < 0.01	1.00E00
alanine transport (GO:0032328)	3	0	.01	-	 < 0.01	1.00E00
positive regulation of cytosolic calcium ion concentration (GO:0007204)	18	0	.05	-	 < 0.01	1.00E00
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	25	0	.07	-	 < 0.01	1.00E00
oxidative phosphorylation (GO:0006119)	6	0	.02	-	 < 0.01	1.00E00
regulation of cell cycle (GO:0051726)	143	0	.37	-	 < 0.01	1.00E00
energy reserve metabolic process (GO:0006112)	6	0	.02	-	 < 0.01	1.00E00
protein acetylation (GO:0006473)	6	0	.02	-	 < 0.01	1.00E00
regulation of leukocyte mediated cytotoxicity (GO:0001910)	2	0	.01	-	 < 0.01	1.00E00
protein dephosphorylation (GO:0006470)	50	0	.13	-	 < 0.01	1.00E00
sphingolipid catabolic process (GO:0030149)	11	0	.03	-	 < 0.01	1.00E00
defense response to bacterium (GO:0042742)	5	0	.01	-	 < 0.01	1.00E00
sphingolipid biosynthetic process (GO:0030148)	39	0	.10	-	 < 0.01	1.00E00
regulation of mRNA splicing, via spliceosome (GO:0048024)	32	0	.08	-	 < 0.01	1.00E00
negative regulation of protein kinase activity (GO:0006469)	31	0	.08	-	 < 0.01	1.00E00
response to hormone (GO:0009725)	78	0	.20	-	 < 0.01	1.00E00
cell-substrate adhesion (GO:0031589)	44	0	.11	-	 < 0.01	1.00E00
signal peptide processing (GO:0006465)	4	0	.01	-	 < 0.01	1.00E00
sister chromatid segregation (GO:0000819)	41	0	.11	-	 < 0.01	1.00E00
apoptotic mitochondrial changes (GO:0008637)	10	0	.03	-	 < 0.01	1.00E00
proteinogenic amino acid metabolic process (GO:0170039)	38	0	.10	-	 < 0.01	1.00E00
proteinogenic amino acid biosynthetic process (GO:0170038)	20	0	.05	-	 < 0.01	1.00E00
negative regulation of angiogenesis (GO:0016525)	8	0	.02	-	 < 0.01	1.00E00
detection of mechanical stimulus (GO:0050982)	8	0	.02	-	 < 0.01	1.00E00
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	12	0	.03	-	 < 0.01	1.00E00
L-amino acid biosynthetic process (GO:0170034)	20	0	.05	-	 < 0.01	1.00E00
L-amino acid metabolic process (GO:0170033)	47	0	.12	-	 < 0.01	1.00E00
negative regulation of chromosome separation (GO:1905819)	9	0	.02	-	 < 0.01	1.00E00
sex differentiation (GO:0007548)	4	0	.01	-	 < 0.01	1.00E00
regulation of chromosome separation (GO:1905818)	15	0	.04	-	 < 0.01	1.00E00
maturation of SSU-rRNA (GO:0030490)	27	0	.07	-	 < 0.01	1.00E00
response to endogenous stimulus (GO:0009719)	178	0	.46	-	 < 0.01	1.00E00
response to other organism (GO:0051707)	43	0	.11	-	 < 0.01	1.00E00
'de novo' protein folding (GO:0006458)	8	0	.02	-	 < 0.01	1.00E00
protein folding (GO:0006457)	92	0	.24	-	 < 0.01	1.00E00
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	9	0	.02	-	 < 0.01	1.00E00
biological process involved in interaction with host (GO:0051701)	1	0	.00	-	 < 0.01	1.00E00
RNA decapping (GO:0110154)	8	0	.02	-	 < 0.01	1.00E00
biomineral tissue development (GO:0031214)	4	0	.01	-	 < 0.01	1.00E00
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	4	0	.01	-	 < 0.01	1.00E00
DNA integrity checkpoint signaling (GO:0031570)	23	0	.06	-	 < 0.01	1.00E00
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	3	0	.01	-	 < 0.01	1.00E00
tRNA methylation (GO:0030488)	18	0	.05	-	 < 0.01	1.00E00
insulin-like growth factor receptor signaling pathway (GO:0048009)	5	0	.01	-	 < 0.01	1.00E00
regulation of translational initiation (GO:0006446)	10	0	.03	-	 < 0.01	1.00E00
nucleotide-sugar transmembrane transport (GO:0015780)	6	0	.02	-	 < 0.01	1.00E00
post-translational protein targeting to membrane, translocation (GO:0031204)	5	0	.01	-	 < 0.01	1.00E00
tRNA wobble uridine modification (GO:0002098)	7	0	.02	-	 < 0.01	1.00E00
regulation of Wnt signaling pathway (GO:0030111)	57	0	.15	-	 < 0.01	1.00E00
neuromuscular junction development (GO:0007528)	9	0	.02	-	 < 0.01	1.00E00
negative regulation of intracellular signal transduction (GO:1902532)	57	0	.15	-	 < 0.01	1.00E00
attachment of spindle microtubules to kinetochore (GO:0008608)	7	0	.02	-	 < 0.01	1.00E00
sulfur compound metabolic process (GO:0006790)	71	0	.19	-	 < 0.01	1.00E00
lens development in camera-type eye (GO:0002088)	16	0	.04	-	 < 0.01	1.00E00
organelle transport along microtubule (GO:0072384)	25	0	.07	-	 < 0.01	1.00E00
sensory perception of mechanical stimulus (GO:0050954)	11	0	.03	-	 < 0.01	1.00E00
skeletal muscle tissue development (GO:0007519)	14	0	.04	-	 < 0.01	1.00E00
regulation of endocytosis (GO:0030100)	19	0	.05	-	 < 0.01	1.00E00
muscle organ development (GO:0007517)	20	0	.05	-	 < 0.01	1.00E00
positive regulation of innate immune response (GO:0045089)	19	0	.05	-	 < 0.01	1.00E00
