PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(433)	(expected)	(over/under)	(fold Enrichment)	P-value
double-strand break repair via nonhomologous end joining (GO:0006303)	16	1	.58	+	1.72	4.48E-01
vesicle transport along microtubule (GO:0047496)	16	1	.58	+	1.72	4.48E-01
skeletal muscle organ development (GO:0060538)	16	1	.58	+	1.72	4.48E-01
microtubule nucleation (GO:0007020)	16	1	.58	+	1.72	4.48E-01
cAMP-mediated signaling (GO:0019933)	16	1	.58	+	1.72	4.48E-01
L-amino acid transport (GO:0015807)	16	1	.58	+	1.72	4.48E-01
nucleoside phosphate metabolic process (GO:0006753)	113	7	4.12	+	1.70	1.97E-01
establishment of protein localization to organelle (GO:0072594)	113	7	4.12	+	1.70	1.97E-01
DNA-templated DNA replication (GO:0006261)	65	4	2.37	+	1.69	3.01E-01
regulation of amide metabolic process (GO:0034248)	49	3	1.78	+	1.68	2.64E-01
transcription by RNA polymerase II (GO:0006366)	49	3	1.78	+	1.68	2.64E-01
inorganic anion transport (GO:0015698)	49	3	1.78	+	1.68	2.64E-01
regulation of catalytic activity (GO:0050790)	262	16	9.54	+	1.68	4.28E-02
import across plasma membrane (GO:0098739)	66	4	2.40	+	1.66	3.05E-01
positive regulation of cell development (GO:0010720)	33	2	1.20	+	1.66	3.39E-01
epigenetic regulation of gene expression (GO:0040029)	33	2	1.20	+	1.66	3.39E-01
small molecule catabolic process (GO:0044282)	83	5	3.02	+	1.65	2.30E-01
negative regulation of molecular function (GO:0044092)	83	5	3.02	+	1.65	2.30E-01
establishment or maintenance of cell polarity (GO:0007163)	50	3	1.82	+	1.65	4.30E-01
organic cyclic compound catabolic process (GO:1901361)	117	7	4.26	+	1.64	2.04E-01
regulation of hydrolase activity (GO:0051336)	118	7	4.30	+	1.63	2.07E-01
glycerophospholipid metabolic process (GO:0006650)	118	7	4.30	+	1.63	2.07E-01
regulation of protein metabolic process (GO:0051246)	270	16	9.83	+	1.63	4.84E-02
nucleobase-containing compound biosynthetic process (GO:0034654)	169	10	6.15	+	1.62	1.41E-01
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	17	1	.62	+	1.62	4.68E-01
negative regulation of monoatomic ion transport (GO:0043271)	17	1	.62	+	1.62	4.68E-01
peptidyl-threonine phosphorylation (GO:0018107)	17	1	.62	+	1.62	4.68E-01
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	17	1	.62	+	1.62	4.68E-01
positive regulation of DNA-binding transcription factor activity (GO:0051091)	17	1	.62	+	1.62	4.68E-01
barbed-end actin filament capping (GO:0051016)	17	1	.62	+	1.62	4.68E-01
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	17	1	.62	+	1.62	4.68E-01
positive regulation of hydrolase activity (GO:0051345)	68	4	2.48	+	1.62	3.15E-01
glucose metabolic process (GO:0006006)	17	1	.62	+	1.62	4.68E-01
carboxylic acid catabolic process (GO:0046395)	68	4	2.48	+	1.62	3.15E-01
organic acid catabolic process (GO:0016054)	68	4	2.48	+	1.62	3.15E-01
intracellular protein transmembrane transport (GO:0065002)	17	1	.62	+	1.62	4.68E-01
glycerophospholipid biosynthetic process (GO:0046474)	69	4	2.51	+	1.59	3.20E-01
regulation of metal ion transport (GO:0010959)	52	3	1.89	+	1.58	4.39E-01
protein-containing complex localization (GO:0031503)	52	3	1.89	+	1.58	4.39E-01
organic acid transmembrane transport (GO:1903825)	52	3	1.89	+	1.58	4.39E-01
carboxylic acid transmembrane transport (GO:1905039)	52	3	1.89	+	1.58	4.39E-01
cell junction organization (GO:0034330)	104	6	3.79	+	1.58	2.81E-01
positive regulation of gene expression (GO:0010628)	70	4	2.55	+	1.57	3.25E-01
response to extracellular stimulus (GO:0009991)	35	2	1.27	+	1.57	3.66E-01
ERAD pathway (GO:0036503)	35	2	1.27	+	1.57	3.66E-01
regulation of neurogenesis (GO:0050767)	35	2	1.27	+	1.57	3.66E-01
response to nutrient levels (GO:0031667)	35	2	1.27	+	1.57	3.66E-01
organic cyclic compound biosynthetic process (GO:1901362)	211	12	7.68	+	1.56	1.33E-01
animal organ morphogenesis (GO:0009887)	88	5	3.20	+	1.56	2.55E-01
macromolecule methylation (GO:0043414)	53	3	1.93	+	1.55	4.43E-01
methylation (GO:0032259)	53	3	1.93	+	1.55	4.43E-01
DNA replication (GO:0006260)	71	4	2.59	+	1.55	3.30E-01
regulation of molecular function (GO:0065009)	339	19	12.35	+	1.54	5.55E-02
protein localization to organelle (GO:0033365)	179	10	6.52	+	1.53	1.57E-01
endomembrane system organization (GO:0010256)	108	6	3.93	+	1.53	2.92E-01
negative regulation of actin filament depolymerization (GO:0030835)	18	1	.66	+	1.53	4.87E-01
purine ribonucleotide catabolic process (GO:0009154)	18	1	.66	+	1.53	4.87E-01
spliceosomal complex assembly (GO:0000245)	18	1	.66	+	1.53	4.87E-01
positive regulation of translation (GO:0045727)	18	1	.66	+	1.53	4.87E-01
aminoglycan biosynthetic process (GO:0006023)	18	1	.66	+	1.53	4.87E-01
ATP metabolic process (GO:0046034)	18	1	.66	+	1.53	4.87E-01
protein targeting to mitochondrion (GO:0006626)	18	1	.66	+	1.53	4.87E-01
endoplasmic reticulum unfolded protein response (GO:0030968)	18	1	.66	+	1.53	4.87E-01
nucleotide-excision repair (GO:0006289)	18	1	.66	+	1.53	4.87E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	18	1	.66	+	1.53	4.87E-01
macroautophagy (GO:0016236)	55	3	2.00	+	1.50	4.53E-01
canonical Wnt signaling pathway (GO:0060070)	55	3	2.00	+	1.50	4.53E-01
organelle fusion (GO:0048284)	55	3	2.00	+	1.50	4.53E-01
potassium ion transmembrane transport (GO:0071805)	92	5	3.35	+	1.49	3.90E-01
potassium ion transport (GO:0006813)	92	5	3.35	+	1.49	3.90E-01
RNA transport (GO:0050658)	37	2	1.35	+	1.48	3.92E-01
nucleic acid transport (GO:0050657)	37	2	1.35	+	1.48	3.92E-01
establishment of RNA localization (GO:0051236)	37	2	1.35	+	1.48	3.92E-01
positive regulation of developmental process (GO:0051094)	75	4	2.73	+	1.46	3.53E-01
cell migration (GO:0016477)	169	9	6.15	+	1.46	2.15E-01
protein localization to mitochondrion (GO:0070585)	19	1	.69	+	1.45	5.06E-01
nucleobase metabolic process (GO:0009112)	19	1	.69	+	1.45	5.06E-01
purine nucleotide catabolic process (GO:0006195)	19	1	.69	+	1.45	5.06E-01
positive regulation of endopeptidase activity (GO:0010950)	19	1	.69	+	1.45	5.06E-01
negative regulation of intracellular signal transduction (GO:1902532)	57	3	2.08	+	1.45	4.64E-01
establishment of protein localization to mitochondrion (GO:0072655)	19	1	.69	+	1.45	5.06E-01
MAPK cascade (GO:0000165)	19	1	.69	+	1.45	5.06E-01
microtubule polymerization (GO:0046785)	19	1	.69	+	1.45	5.06E-01
regulation of membrane potential (GO:0042391)	95	5	3.46	+	1.45	3.99E-01
regulation of MAPK cascade (GO:0043408)	114	6	4.15	+	1.45	3.12E-01
response to unfolded protein (GO:0006986)	19	1	.69	+	1.45	5.06E-01
cilium movement (GO:0003341)	19	1	.69	+	1.45	5.06E-01
phagocytosis (GO:0006909)	19	1	.69	+	1.45	5.06E-01
Wnt signaling pathway (GO:0016055)	57	3	2.08	+	1.45	4.64E-01
lysosomal transport (GO:0007041)	19	1	.69	+	1.45	5.06E-01
purine ribonucleoside triphosphate metabolic process (GO:0009205)	19	1	.69	+	1.45	5.06E-01
cellular response to unfolded protein (GO:0034620)	19	1	.69	+	1.45	5.06E-01
secretion by cell (GO:0032940)	96	5	3.50	+	1.43	4.02E-01
vesicle organization (GO:0016050)	96	5	3.50	+	1.43	4.02E-01
glycerolipid metabolic process (GO:0046486)	135	7	4.92	+	1.42	3.48E-01
carbohydrate derivative catabolic process (GO:1901136)	58	3	2.11	+	1.42	4.70E-01
regulation of RNA splicing (GO:0043484)	58	3	2.11	+	1.42	4.70E-01
organophosphate metabolic process (GO:0019637)	271	14	9.87	+	1.42	1.86E-01
regulation of trans-synaptic signaling (GO:0099177)	78	4	2.84	+	1.41	3.71E-01
modulation of chemical synaptic transmission (GO:0050804)	78	4	2.84	+	1.41	3.71E-01
cell morphogenesis (GO:0000902)	177	9	6.45	+	1.40	3.07E-01
cell-cell signaling by wnt (GO:0198738)	59	3	2.15	+	1.40	4.76E-01
phospholipid biosynthetic process (GO:0008654)	79	4	2.88	+	1.39	5.36E-01
glycerolipid biosynthetic process (GO:0045017)	79	4	2.88	+	1.39	5.36E-01
purine-containing compound metabolic process (GO:0072521)	99	5	3.61	+	1.39	4.12E-01
secretion (GO:0046903)	99	5	3.61	+	1.39	4.12E-01
regulation of actin filament depolymerization (GO:0030834)	20	1	.73	+	1.37	5.24E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	20	1	.73	+	1.37	5.24E-01
positive regulation of peptidase activity (GO:0010952)	20	1	.73	+	1.37	5.24E-01
muscle organ development (GO:0007517)	20	1	.73	+	1.37	5.24E-01
RNA localization (GO:0006403)	40	2	1.46	+	1.37	6.57E-01
regulation of transmembrane transporter activity (GO:0022898)	40	2	1.46	+	1.37	6.57E-01
heterochromatin formation (GO:0031507)	20	1	.73	+	1.37	5.24E-01
tube development (GO:0035295)	40	2	1.46	+	1.37	6.57E-01
positive regulation of canonical Wnt signaling pathway (GO:0090263)	20	1	.73	+	1.37	5.24E-01
DNA-templated transcription (GO:0006351)	80	4	2.91	+	1.37	5.39E-01
regulation of calcium ion transport (GO:0051924)	20	1	.73	+	1.37	5.24E-01
regulation of cysteine-type endopeptidase activity (GO:2000116)	20	1	.73	+	1.37	5.24E-01
ribonucleotide catabolic process (GO:0009261)	20	1	.73	+	1.37	5.24E-01
peroxisome organization (GO:0007031)	20	1	.73	+	1.37	5.24E-01
regulation of monoatomic ion transmembrane transporter activity (GO:0032412)	40	2	1.46	+	1.37	6.57E-01
cortical cytoskeleton organization (GO:0030865)	20	1	.73	+	1.37	5.24E-01
cellular homeostasis (GO:0019725)	140	7	5.10	+	1.37	3.60E-01
chromatin organization (GO:0006325)	100	5	3.64	+	1.37	4.16E-01
microtubule-based movement (GO:0007018)	100	5	3.64	+	1.37	4.16E-01
cell adhesion (GO:0007155)	221	11	8.05	+	1.37	2.74E-01
phosphorus metabolic process (GO:0006793)	543	27	19.77	+	1.37	9.94E-02
vacuolar transport (GO:0007034)	61	3	2.22	+	1.35	4.88E-01
regulation of endopeptidase activity (GO:0052548)	41	2	1.49	+	1.34	6.61E-01
cellular component disassembly (GO:0022411)	82	4	2.99	+	1.34	5.44E-01
RNA biosynthetic process (GO:0032774)	82	4	2.99	+	1.34	5.44E-01
phospholipid metabolic process (GO:0006644)	145	7	5.28	+	1.33	3.74E-01
phosphate-containing compound metabolic process (GO:0006796)	540	26	19.67	+	1.32	1.56E-01
protein localization to membrane (GO:0072657)	104	5	3.79	+	1.32	4.32E-01
nucleotide metabolic process (GO:0009117)	105	5	3.82	+	1.31	4.36E-01
positive regulation of cell adhesion (GO:0045785)	21	1	.76	+	1.31	5.41E-01
regulation of peptidase activity (GO:0052547)	42	2	1.53	+	1.31	6.66E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	42	2	1.53	+	1.31	6.66E-01
phospholipid translocation (GO:0045332)	21	1	.76	+	1.31	5.41E-01
regulation of transporter activity (GO:0032409)	42	2	1.53	+	1.31	6.66E-01
glycosaminoglycan metabolic process (GO:0030203)	21	1	.76	+	1.31	5.41E-01
positive regulation of cell communication (GO:0010647)	191	9	6.96	+	1.29	4.31E-01
positive regulation of signaling (GO:0023056)	191	9	6.96	+	1.29	4.31E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	191	9	6.96	+	1.29	4.31E-01
monoatomic ion homeostasis (GO:0050801)	128	6	4.66	+	1.29	4.73E-01
autophagy (GO:0006914)	64	3	2.33	+	1.29	5.06E-01
process utilizing autophagic mechanism (GO:0061919)	64	3	2.33	+	1.29	5.06E-01
cell motility (GO:0048870)	193	9	7.03	+	1.28	4.34E-01
organonitrogen compound catabolic process (GO:1901565)	365	17	13.29	+	1.28	3.18E-01
meiotic cell cycle process (GO:1903046)	43	2	1.57	+	1.28	6.70E-01
positive regulation of intracellular signal transduction (GO:1902533)	130	6	4.73	+	1.27	4.79E-01
membrane organization (GO:0061024)	152	7	5.54	+	1.26	5.08E-01
export from cell (GO:0140352)	109	5	3.97	+	1.26	6.01E-01
response to nitrogen compound (GO:1901698)	109	5	3.97	+	1.26	6.01E-01
positive regulation of catalytic activity (GO:0043085)	153	7	5.57	+	1.26	5.10E-01
modification-dependent protein catabolic process (GO:0019941)	197	9	7.17	+	1.25	4.41E-01
negative regulation of actin filament polymerization (GO:0030837)	22	1	.80	+	1.25	5.58E-01
lipid translocation (GO:0034204)	22	1	.80	+	1.25	5.58E-01
negative regulation of endopeptidase activity (GO:0010951)	22	1	.80	+	1.25	5.58E-01
Notch signaling pathway (GO:0007219)	22	1	.80	+	1.25	5.58E-01
microtubule bundle formation (GO:0001578)	22	1	.80	+	1.25	5.58E-01
negative regulation of protein polymerization (GO:0032272)	22	1	.80	+	1.25	5.58E-01
transcription initiation at RNA polymerase II promoter (GO:0006367)	22	1	.80	+	1.25	5.58E-01
autophagosome assembly (GO:0000045)	44	2	1.60	+	1.25	6.75E-01
negative regulation of peptidase activity (GO:0010466)	22	1	.80	+	1.25	5.58E-01
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	22	1	.80	+	1.25	5.58E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	353	16	12.86	+	1.24	3.84E-01
cellular catabolic process (GO:0044248)	287	13	10.45	+	1.24	4.22E-01
regulation of intracellular signal transduction (GO:1902531)	243	11	8.85	+	1.24	4.85E-01
vesicle-mediated transport (GO:0016192)	444	20	16.17	+	1.24	3.02E-01
modification-dependent macromolecule catabolic process (GO:0043632)	200	9	7.28	+	1.24	4.47E-01
purine nucleotide metabolic process (GO:0006163)	89	4	3.24	+	1.23	5.67E-01
regulation of mRNA metabolic process (GO:1903311)	89	4	3.24	+	1.23	5.67E-01
proteolysis involved in protein catabolic process (GO:0051603)	246	11	8.96	+	1.23	4.88E-01
microtubule-based process (GO:0007017)	246	11	8.96	+	1.23	4.88E-01
positive regulation of phosphorylation (GO:0042327)	112	5	4.08	+	1.23	6.07E-01
protein localization to plasma membrane (GO:0072659)	45	2	1.64	+	1.22	6.79E-01
regulation of monoatomic cation transmembrane transport (GO:1904062)	45	2	1.64	+	1.22	6.79E-01
DNA damage response (GO:0006974)	203	9	7.39	+	1.22	5.67E-01
chromosome organization (GO:0051276)	113	5	4.12	+	1.22	6.09E-01
cellular localization (GO:0051641)	725	32	26.40	+	1.21	2.59E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	272	12	9.91	+	1.21	5.09E-01
regulation of monoatomic ion transport (GO:0043269)	68	3	2.48	+	1.21	7.38E-01
cellular response to nitrogen compound (GO:1901699)	68	3	2.48	+	1.21	7.38E-01
regulation of cell differentiation (GO:0045595)	91	4	3.31	+	1.21	5.75E-01
regulation of transport (GO:0051049)	160	7	5.83	+	1.20	5.26E-01
ribonucleoside triphosphate metabolic process (GO:0009199)	23	1	.84	+	1.19	5.74E-01
regulation of transmembrane transport (GO:0034762)	69	3	2.51	+	1.19	7.40E-01
regulation of cytokine production (GO:0001817)	23	1	.84	+	1.19	5.74E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	23	1	.84	+	1.19	5.74E-01
glycosyl compound metabolic process (GO:1901657)	23	1	.84	+	1.19	5.74E-01
regulation of GTPase activity (GO:0043087)	69	3	2.51	+	1.19	7.40E-01
hexose metabolic process (GO:0019318)	23	1	.84	+	1.19	5.74E-01
negative regulation of protein-containing complex assembly (GO:0031333)	23	1	.84	+	1.19	5.74E-01
Golgi to plasma membrane transport (GO:0006893)	23	1	.84	+	1.19	5.74E-01
positive regulation of molecular function (GO:0044093)	184	8	6.70	+	1.19	5.50E-01
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	23	1	.84	+	1.19	5.74E-01
negative regulation of protein depolymerization (GO:1901880)	23	1	.84	+	1.19	5.74E-01
regulation of cytoskeleton organization (GO:0051493)	115	5	4.19	+	1.19	6.14E-01
positive regulation of phosphorus metabolic process (GO:0010562)	116	5	4.22	+	1.18	6.16E-01
positive regulation of phosphate metabolic process (GO:0045937)	116	5	4.22	+	1.18	6.16E-01
chromatin remodeling (GO:0006338)	93	4	3.39	+	1.18	5.83E-01
protein catabolic process (GO:0030163)	256	11	9.32	+	1.18	5.01E-01
positive regulation of multicellular organismal process (GO:0051240)	70	3	2.55	+	1.18	7.42E-01
catabolic process (GO:0009056)	562	24	20.47	+	1.17	4.18E-01
microtubule cytoskeleton organization (GO:0000226)	164	7	5.97	+	1.17	6.71E-01
protein ubiquitination (GO:0016567)	164	7	5.97	+	1.17	6.71E-01
organic substance catabolic process (GO:1901575)	493	21	17.95	+	1.17	4.60E-01
inorganic ion homeostasis (GO:0098771)	94	4	3.42	+	1.17	7.78E-01
protein-DNA complex organization (GO:0071824)	118	5	4.30	+	1.16	6.21E-01
positive regulation of kinase activity (GO:0033674)	71	3	2.59	+	1.16	7.45E-01
protein modification by small protein conjugation (GO:0032446)	190	8	6.92	+	1.16	6.93E-01
establishment of protein localization (GO:0045184)	263	11	9.58	+	1.15	6.16E-01
anatomical structure morphogenesis (GO:0009653)	359	15	13.07	+	1.15	5.66E-01
cellular response to fibroblast growth factor stimulus (GO:0044344)	24	1	.87	+	1.14	5.90E-01
heterochromatin organization (GO:0070828)	24	1	.87	+	1.14	5.90E-01
hormone-mediated signaling pathway (GO:0009755)	24	1	.87	+	1.14	5.90E-01
proteoglycan biosynthetic process (GO:0030166)	24	1	.87	+	1.14	5.90E-01
regulation of innate immune response (GO:0045088)	24	1	.87	+	1.14	5.90E-01
positive regulation of transferase activity (GO:0051347)	72	3	2.62	+	1.14	7.47E-01
negative regulation of MAPK cascade (GO:0043409)	24	1	.87	+	1.14	5.90E-01
regulation of hormone levels (GO:0010817)	24	1	.87	+	1.14	5.90E-01
fibroblast growth factor receptor signaling pathway (GO:0008543)	24	1	.87	+	1.14	5.90E-01
pyrimidine-containing compound metabolic process (GO:0072527)	24	1	.87	+	1.14	5.90E-01
response to fibroblast growth factor (GO:0071774)	24	1	.87	+	1.14	5.90E-01
camera-type eye development (GO:0043010)	24	1	.87	+	1.14	5.90E-01
cellular response to starvation (GO:0009267)	24	1	.87	+	1.14	5.90E-01
spindle assembly (GO:0051225)	24	1	.87	+	1.14	5.90E-01
positive regulation of signal transduction (GO:0009967)	169	7	6.15	+	1.14	6.77E-01
chemical homeostasis (GO:0048878)	169	7	6.15	+	1.14	6.77E-01
protein-containing complex organization (GO:0043933)	314	13	11.43	+	1.14	6.45E-01
nuclear export (GO:0051168)	49	2	1.78	+	1.12	6.99E-01
homeostatic process (GO:0042592)	196	8	7.14	+	1.12	6.99E-01
organophosphate biosynthetic process (GO:0090407)	147	6	5.35	+	1.12	6.59E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	296	12	10.78	+	1.11	6.38E-01
transmembrane transport (GO:0055085)	421	17	15.33	+	1.11	5.97E-01
regulation of biological quality (GO:0065008)	421	17	15.33	+	1.11	5.97E-01
proteolysis (GO:0006508)	373	15	13.58	+	1.10	6.72E-01
establishment of localization in cell (GO:0051649)	499	20	18.17	+	1.10	6.25E-01
lipoprotein biosynthetic process (GO:0042158)	50	2	1.82	+	1.10	7.04E-01
Rho protein signal transduction (GO:0007266)	25	1	.91	+	1.10	6.05E-01
protein lipidation (GO:0006497)	50	2	1.82	+	1.10	7.04E-01
organelle transport along microtubule (GO:0072384)	25	1	.91	+	1.10	6.05E-01
regulation of membrane lipid distribution (GO:0097035)	25	1	.91	+	1.10	6.05E-01
regulation of DNA-binding transcription factor activity (GO:0051090)	25	1	.91	+	1.10	6.05E-01
aminoglycan metabolic process (GO:0006022)	25	1	.91	+	1.10	6.05E-01
monoatomic cation homeostasis (GO:0055080)	125	5	4.55	+	1.10	8.08E-01
cell cycle (GO:0007049)	250	10	9.10	+	1.10	7.31E-01
cellular response to nutrient levels (GO:0031669)	25	1	.91	+	1.10	6.05E-01
cellular response to extracellular stimulus (GO:0031668)	25	1	.91	+	1.10	6.05E-01
cellular macromolecule localization (GO:0070727)	426	17	15.51	+	1.10	6.92E-01
protein localization (GO:0008104)	426	17	15.51	+	1.10	6.92E-01
positive regulation of cellular biosynthetic process (GO:0031328)	301	12	10.96	+	1.09	7.54E-01
cell cycle process (GO:0022402)	226	9	8.23	+	1.09	7.19E-01
positive regulation of biosynthetic process (GO:0009891)	302	12	11.00	+	1.09	7.54E-01
Unclassified (UNCLASSIFIED)	4181	166	152.26	+	1.09	1.66E-01
positive regulation of DNA-templated transcription (GO:0045893)	227	9	8.27	+	1.09	7.20E-01
positive regulation of RNA biosynthetic process (GO:1902680)	227	9	8.27	+	1.09	7.20E-01
regulation of proteolysis (GO:0030162)	76	3	2.77	+	1.08	7.57E-01
regulation of cell cycle phase transition (GO:1901987)	76	3	2.77	+	1.08	7.57E-01
negative regulation of DNA-templated transcription (GO:0045892)	152	6	5.54	+	1.08	8.26E-01
negative regulation of RNA biosynthetic process (GO:1902679)	152	6	5.54	+	1.08	8.26E-01
RNA splicing (GO:0008380)	102	4	3.71	+	1.08	7.89E-01
transport along microtubule (GO:0010970)	51	2	1.86	+	1.08	7.09E-01
meiotic cell cycle (GO:0051321)	51	2	1.86	+	1.08	7.09E-01
purine-containing compound biosynthetic process (GO:0072522)	51	2	1.86	+	1.08	7.09E-01
regulation of cell development (GO:0060284)	51	2	1.86	+	1.08	7.09E-01
cellular response to stress (GO:0033554)	333	13	12.13	+	1.07	7.66E-01
macromolecule localization (GO:0033036)	538	21	19.59	+	1.07	7.23E-01
neuron development (GO:0048666)	205	8	7.47	+	1.07	8.50E-01
regulation of cell communication (GO:0010646)	513	20	18.68	+	1.07	7.17E-01
cellular component organization (GO:0016043)	1576	61	57.39	+	1.06	6.13E-01
regulation of signaling (GO:0023051)	517	20	18.83	+	1.06	7.19E-01
negative regulation of protein-containing complex disassembly (GO:0043242)	26	1	.95	+	1.06	6.19E-01
tRNA processing (GO:0008033)	52	2	1.89	+	1.06	7.14E-01
cellular response to topologically incorrect protein (GO:0035967)	26	1	.95	+	1.06	6.19E-01
response to topologically incorrect protein (GO:0035966)	26	1	.95	+	1.06	6.19E-01
innate immune response (GO:0045087)	26	1	.95	+	1.06	6.19E-01
mRNA export from nucleus (GO:0006406)	26	1	.95	+	1.06	6.19E-01
protein localization to cell periphery (GO:1990778)	52	2	1.89	+	1.06	7.14E-01
telomere maintenance (GO:0000723)	26	1	.95	+	1.06	6.19E-01
telomere organization (GO:0032200)	26	1	.95	+	1.06	6.19E-01
cellular response to external stimulus (GO:0071496)	26	1	.95	+	1.06	6.19E-01
regulation of macromolecule metabolic process (GO:0060255)	1664	64	60.60	+	1.06	6.21E-01
snRNA metabolic process (GO:0016073)	26	1	.95	+	1.06	6.19E-01
regulation of response to biotic stimulus (GO:0002831)	26	1	.95	+	1.06	6.19E-01
negative regulation of gene expression, epigenetic (GO:0045814)	26	1	.95	+	1.06	6.19E-01
organic hydroxy compound transport (GO:0015850)	26	1	.95	+	1.06	6.19E-01
localization (GO:0051179)	1443	55	52.55	+	1.05	7.08E-01
regulation of primary metabolic process (GO:0080090)	1553	59	56.56	+	1.04	7.16E-01
regulation of metabolic process (GO:0019222)	1772	67	64.53	+	1.04	7.31E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1534	58	55.86	+	1.04	7.70E-01
establishment of localization (GO:0051234)	1296	49	47.20	+	1.04	7.54E-01
microtubule-based transport (GO:0099111)	53	2	1.93	+	1.04	7.20E-01
phosphorylation (GO:0016310)	212	8	7.72	+	1.04	8.53E-01
establishment of protein localization to membrane (GO:0090150)	53	2	1.93	+	1.04	7.20E-01
cellular component organization or biogenesis (GO:0071840)	1671	63	60.85	+	1.04	7.78E-01
regulation of cellular metabolic process (GO:0031323)	1671	63	60.85	+	1.04	7.78E-01
DNA metabolic process (GO:0006259)	240	9	8.74	+	1.03	8.62E-01
multicellular organism development (GO:0007275)	667	25	24.29	+	1.03	8.32E-01
neuron differentiation (GO:0030182)	268	10	9.76	+	1.02	8.69E-01
Ras protein signal transduction (GO:0007265)	27	1	.98	+	1.02	1.00E00
monocarboxylic acid biosynthetic process (GO:0072330)	27	1	.98	+	1.02	1.00E00
monosaccharide metabolic process (GO:0005996)	27	1	.98	+	1.02	1.00E00
fatty acid biosynthetic process (GO:0006633)	27	1	.98	+	1.02	1.00E00
regulation of mitotic cell cycle phase transition (GO:1901990)	54	2	1.97	+	1.02	1.00E00
regulation of mitotic cell cycle (GO:0007346)	81	3	2.95	+	1.02	7.70E-01
neuron projection development (GO:0031175)	189	7	6.88	+	1.02	8.46E-01
transport (GO:0006810)	1231	45	44.83	+	1.00	9.36E-01
regulation of signal transduction (GO:0009966)	441	16	16.06	-	1.00	1.00E00
anatomical structure development (GO:0048856)	885	32	32.23	-	.99	1.00E00
regulation of macromolecule biosynthetic process (GO:0010556)	1440	52	52.44	-	.99	1.00E00
regulation of cellular biosynthetic process (GO:0031326)	1448	52	52.73	-	.99	1.00E00
regulation of DNA-templated transcription (GO:0006355)	1114	40	40.57	-	.99	1.00E00
regulation of RNA biosynthetic process (GO:2001141)	1114	40	40.57	-	.99	1.00E00
regulation of biosynthetic process (GO:0009889)	1453	52	52.91	-	.98	9.41E-01
regulation of RNA metabolic process (GO:0051252)	1230	44	44.79	-	.98	1.00E00
lipoprotein metabolic process (GO:0042157)	56	2	2.04	-	.98	1.00E00
translational initiation (GO:0006413)	28	1	1.02	-	.98	1.00E00
calcium ion transmembrane import into cytosol (GO:0097553)	28	1	1.02	-	.98	1.00E00
carbohydrate catabolic process (GO:0016052)	28	1	1.02	-	.98	1.00E00
defense response to symbiont (GO:0140546)	28	1	1.02	-	.98	1.00E00
regulation of protein depolymerization (GO:1901879)	28	1	1.02	-	.98	1.00E00
negative regulation of macromolecule metabolic process (GO:0010605)	364	13	13.26	-	.98	1.00E00
generation of neurons (GO:0048699)	280	10	10.20	-	.98	1.00E00
heterocycle metabolic process (GO:0046483)	872	31	31.76	-	.98	1.00E00
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	169	6	6.15	-	.97	1.00E00
protein modification by small protein conjugation or removal (GO:0070647)	254	9	9.25	-	.97	1.00E00
mRNA processing (GO:0006397)	113	4	4.12	-	.97	1.00E00
cellular aromatic compound metabolic process (GO:0006725)	880	31	32.05	-	.97	9.26E-01
regulation of gene expression (GO:0010468)	1420	50	51.71	-	.97	8.80E-01
protein phosphorylation (GO:0006468)	199	7	7.25	-	.97	1.00E00
positive regulation of cellular metabolic process (GO:0031325)	455	16	16.57	-	.97	1.00E00
cellular nitrogen compound metabolic process (GO:0034641)	996	35	36.27	-	.96	9.30E-01
developmental process (GO:0032502)	997	35	36.31	-	.96	9.30E-01
negative regulation of RNA metabolic process (GO:0051253)	171	6	6.23	-	.96	1.00E00
regulation of Wnt signaling pathway (GO:0030111)	57	2	2.08	-	.96	1.00E00
cytoskeleton-dependent intracellular transport (GO:0030705)	57	2	2.08	-	.96	1.00E00
nucleobase-containing compound transport (GO:0015931)	57	2	2.08	-	.96	1.00E00
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	57	2	2.08	-	.96	1.00E00
regulation of biological process (GO:0050789)	3509	123	127.79	-	.96	6.29E-01
macromolecule catabolic process (GO:0009057)	314	11	11.43	-	.96	1.00E00
regulation of cell cycle (GO:0051726)	143	5	5.21	-	.96	1.00E00
nucleobase-containing compound metabolic process (GO:0006139)	830	29	30.23	-	.96	9.23E-01
