PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(276)	(expected)	(over/under)	(fold Enrichment)	P-value
regulation of innate immune response (GO:0045088)	24	1	.56	+	1.79	4.31E-01
RNA catabolic process (GO:0006401)	48	2	1.11	+	1.79	3.07E-01
establishment of protein localization to vacuole (GO:0072666)	24	1	.56	+	1.79	4.31E-01
response to wounding (GO:0009611)	24	1	.56	+	1.79	4.31E-01
pyrimidine-containing compound metabolic process (GO:0072527)	24	1	.56	+	1.79	4.31E-01
plasma membrane organization (GO:0007009)	24	1	.56	+	1.79	4.31E-01
macromolecule catabolic process (GO:0009057)	314	13	7.29	+	1.78	5.32E-02
regulation of programmed cell death (GO:0043067)	97	4	2.25	+	1.78	2.90E-01
protein polyubiquitination (GO:0000209)	73	3	1.69	+	1.77	2.40E-01
ribonucleotide metabolic process (GO:0009259)	73	3	1.69	+	1.77	2.40E-01
synaptic vesicle cycle (GO:0099504)	49	2	1.14	+	1.76	3.15E-01
inorganic anion transport (GO:0015698)	49	2	1.14	+	1.76	3.15E-01
membrane fusion (GO:0061025)	49	2	1.14	+	1.76	3.15E-01
vesicle-mediated transport in synapse (GO:0099003)	49	2	1.14	+	1.76	3.15E-01
regulation of signal transduction (GO:0009966)	441	18	10.24	+	1.76	2.20E-02
negative regulation of biological process (GO:0048519)	741	30	17.20	+	1.74	3.34E-03
non-membrane-bounded organelle assembly (GO:0140694)	99	4	2.30	+	1.74	2.95E-01
response to stress (GO:0006950)	446	18	10.35	+	1.74	2.29E-02
extracellular matrix organization (GO:0030198)	100	4	2.32	+	1.72	2.97E-01
cellular component assembly involved in morphogenesis (GO:0010927)	25	1	.58	+	1.72	4.44E-01
regulation of membrane lipid distribution (GO:0097035)	25	1	.58	+	1.72	4.44E-01
striated muscle cell development (GO:0055002)	25	1	.58	+	1.72	4.44E-01
extracellular structure organization (GO:0043062)	100	4	2.32	+	1.72	2.97E-01
external encapsulating structure organization (GO:0045229)	100	4	2.32	+	1.72	2.97E-01
regulation of sequestering of calcium ion (GO:0051282)	25	1	.58	+	1.72	4.44E-01
vesicle budding from membrane (GO:0006900)	25	1	.58	+	1.72	4.44E-01
actomyosin structure organization (GO:0031032)	50	2	1.16	+	1.72	3.24E-01
myofibril assembly (GO:0030239)	25	1	.58	+	1.72	4.44E-01
amino acid metabolic process (GO:0006520)	100	4	2.32	+	1.72	2.97E-01
regulation of multicellular organismal process (GO:0051239)	177	7	4.11	+	1.70	1.33E-01
positive regulation of catalytic activity (GO:0043085)	153	6	3.55	+	1.69	1.73E-01
meiotic cell cycle (GO:0051321)	51	2	1.18	+	1.69	3.32E-01
regulation of cell communication (GO:0010646)	513	20	11.91	+	1.68	2.31E-02
amide biosynthetic process (GO:0043604)	154	6	3.57	+	1.68	1.75E-01
organic anion transport (GO:0015711)	129	5	2.99	+	1.67	2.28E-01
regulation of signaling (GO:0023051)	517	20	12.00	+	1.67	2.39E-02
tRNA processing (GO:0008033)	52	2	1.21	+	1.66	3.41E-01
negative regulation of organelle organization (GO:0010639)	52	2	1.21	+	1.66	3.41E-01
response to hormone (GO:0009725)	78	3	1.81	+	1.66	4.31E-01
protein localization to vacuole (GO:0072665)	26	1	.60	+	1.66	4.57E-01
regulation of mRNA stability (GO:0043488)	52	2	1.21	+	1.66	3.41E-01
telomere maintenance (GO:0000723)	26	1	.60	+	1.66	4.57E-01
telomere organization (GO:0032200)	26	1	.60	+	1.66	4.57E-01
positive regulation of cell differentiation (GO:0045597)	52	2	1.21	+	1.66	3.41E-01
snRNA metabolic process (GO:0016073)	26	1	.60	+	1.66	4.57E-01
organelle assembly (GO:0070925)	260	10	6.04	+	1.66	1.38E-01
organic hydroxy compound transport (GO:0015850)	26	1	.60	+	1.66	4.57E-01
regulation of anatomical structure morphogenesis (GO:0022603)	78	3	1.81	+	1.66	4.31E-01
organonitrogen compound catabolic process (GO:1901565)	365	14	8.47	+	1.65	7.32E-02
positive regulation of molecular function (GO:0044093)	184	7	4.27	+	1.64	2.07E-01
ribose phosphate metabolic process (GO:0019693)	79	3	1.83	+	1.64	4.33E-01
cellular response to organic substance (GO:0071310)	159	6	3.69	+	1.63	1.88E-01
regulation of RNA stability (GO:0043487)	53	2	1.23	+	1.63	3.49E-01
protein processing (GO:0016485)	53	2	1.23	+	1.63	3.49E-01
proteolysis (GO:0006508)	373	14	8.66	+	1.62	7.70E-02
monocarboxylic acid biosynthetic process (GO:0072330)	27	1	.63	+	1.60	4.70E-01
protein transmembrane transport (GO:0071806)	27	1	.63	+	1.60	4.70E-01
recombinational repair (GO:0000725)	54	2	1.25	+	1.60	3.58E-01
double-strand break repair via homologous recombination (GO:0000724)	54	2	1.25	+	1.60	3.58E-01
fatty acid biosynthetic process (GO:0006633)	27	1	.63	+	1.60	4.70E-01
regulation of BMP signaling pathway (GO:0030510)	27	1	.63	+	1.60	4.70E-01
organelle fission (GO:0048285)	81	3	1.88	+	1.60	4.39E-01
regulation of mitotic cell cycle (GO:0007346)	81	3	1.88	+	1.60	4.39E-01
regulation of catabolic process (GO:0009894)	136	5	3.16	+	1.58	2.49E-01
cell development (GO:0048468)	300	11	6.96	+	1.58	1.19E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	273	10	6.34	+	1.58	1.49E-01
organelle fusion (GO:0048284)	55	2	1.28	+	1.57	3.66E-01
regulation of mRNA catabolic process (GO:0061013)	55	2	1.28	+	1.57	3.66E-01
negative regulation of biosynthetic process (GO:0009890)	275	10	6.38	+	1.57	1.51E-01
negative regulation of cellular biosynthetic process (GO:0031327)	275	10	6.38	+	1.57	1.51E-01
regulation of response to stimulus (GO:0048583)	523	19	12.14	+	1.57	5.17E-02
tissue development (GO:0009888)	138	5	3.20	+	1.56	2.56E-01
cellular response to stress (GO:0033554)	333	12	7.73	+	1.55	1.35E-01
ribonucleoprotein complex biogenesis (GO:0022613)	167	6	3.88	+	1.55	2.89E-01
regulation of cell shape (GO:0008360)	28	1	.65	+	1.54	4.82E-01
translational initiation (GO:0006413)	28	1	.65	+	1.54	4.82E-01
carbohydrate catabolic process (GO:0016052)	28	1	.65	+	1.54	4.82E-01
regulatory ncRNA-mediated gene silencing (GO:0031047)	28	1	.65	+	1.54	4.82E-01
catabolic process (GO:0009056)	562	20	13.05	+	1.53	5.98E-02
nucleobase-containing compound transport (GO:0015931)	57	2	1.32	+	1.51	3.83E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	57	2	1.32	+	1.51	3.83E-01
negative regulation of gene expression (GO:0010629)	115	4	2.67	+	1.50	3.44E-01
nucleotide biosynthetic process (GO:0009165)	58	2	1.35	+	1.49	3.91E-01
potassium ion import across plasma membrane (GO:1990573)	29	1	.67	+	1.49	4.94E-01
microtubule polymerization or depolymerization (GO:0031109)	29	1	.67	+	1.49	4.94E-01
protein polymerization (GO:0051258)	29	1	.67	+	1.49	4.94E-01
glycolipid biosynthetic process (GO:0009247)	29	1	.67	+	1.49	4.94E-01
endocytic recycling (GO:0032456)	29	1	.67	+	1.49	4.94E-01
negative regulation of cellular catabolic process (GO:0031330)	29	1	.67	+	1.49	4.94E-01
apoptotic signaling pathway (GO:0097190)	29	1	.67	+	1.49	4.94E-01
positive regulation of response to stimulus (GO:0048584)	234	8	5.43	+	1.47	2.66E-01
neuron development (GO:0048666)	205	7	4.76	+	1.47	3.41E-01
regulation of monoatomic ion transmembrane transport (GO:0034765)	59	2	1.37	+	1.46	3.99E-01
nucleoside phosphate biosynthetic process (GO:1901293)	59	2	1.37	+	1.46	3.99E-01
regulation of immune response (GO:0050776)	59	2	1.37	+	1.46	3.99E-01
neuron differentiation (GO:0030182)	268	9	6.22	+	1.45	2.21E-01
circulatory system development (GO:0072359)	90	3	2.09	+	1.44	4.68E-01
negative regulation of transport (GO:0051051)	30	1	.70	+	1.44	5.06E-01
regulation of chromosome organization (GO:0033044)	30	1	.70	+	1.44	5.06E-01
positive regulation of nervous system development (GO:0051962)	30	1	.70	+	1.44	5.06E-01
phospholipid transport (GO:0015914)	30	1	.70	+	1.44	5.06E-01
DNA metabolic process (GO:0006259)	240	8	5.57	+	1.44	2.75E-01
positive regulation of cellular process (GO:0048522)	813	27	18.87	+	1.43	5.36E-02
ncRNA metabolic process (GO:0034660)	211	7	4.90	+	1.43	3.48E-01
membrane organization (GO:0061024)	152	5	3.53	+	1.42	4.06E-01
cellular lipid catabolic process (GO:0044242)	61	2	1.42	+	1.41	6.53E-01
calcium ion homeostasis (GO:0055074)	61	2	1.42	+	1.41	6.53E-01
mRNA splicing, via spliceosome (GO:0000398)	92	3	2.14	+	1.40	4.75E-01
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	92	3	2.14	+	1.40	4.75E-01
RNA splicing, via transesterification reactions (GO:0000375)	92	3	2.14	+	1.40	4.75E-01
protein-containing complex assembly (GO:0065003)	184	6	4.27	+	1.40	3.26E-01
organic substance catabolic process (GO:1901575)	493	16	11.44	+	1.40	1.67E-01
chromatin remodeling (GO:0006338)	93	3	2.16	+	1.39	4.78E-01
purine ribonucleotide biosynthetic process (GO:0009152)	31	1	.72	+	1.39	5.18E-01
positive regulation of cell population proliferation (GO:0008284)	62	2	1.44	+	1.39	6.56E-01
positive regulation of apoptotic process (GO:0043065)	31	1	.72	+	1.39	5.18E-01
generation of neurons (GO:0048699)	280	9	6.50	+	1.38	3.10E-01
inorganic ion homeostasis (GO:0098771)	94	3	2.18	+	1.37	4.82E-01
protein-containing complex organization (GO:0043933)	314	10	7.29	+	1.37	3.37E-01
cellular component assembly (GO:0022607)	534	17	12.40	+	1.37	1.83E-01
negative regulation of cellular component organization (GO:0051129)	63	2	1.46	+	1.37	6.59E-01
cellular component biogenesis (GO:0044085)	631	20	14.65	+	1.37	1.72E-01
cellular response to chemical stimulus (GO:0070887)	222	7	5.15	+	1.36	3.65E-01
cellular catabolic process (GO:0044248)	287	9	6.66	+	1.35	3.20E-01
regulation of microtubule cytoskeleton organization (GO:0070507)	32	1	.74	+	1.35	5.29E-01
positive regulation of programmed cell death (GO:0043068)	32	1	.74	+	1.35	5.29E-01
vesicle organization (GO:0016050)	96	3	2.23	+	1.35	4.90E-01
regulation of immune system process (GO:0002682)	97	3	2.25	+	1.33	4.94E-01
protein targeting (GO:0006605)	65	2	1.51	+	1.33	6.64E-01
mRNA metabolic process (GO:0016071)	163	5	3.78	+	1.32	4.33E-01
DNA repair (GO:0006281)	163	5	3.78	+	1.32	4.33E-01
protein ubiquitination (GO:0016567)	164	5	3.81	+	1.31	4.35E-01
striated muscle cell differentiation (GO:0051146)	33	1	.77	+	1.31	5.40E-01
purine ribonucleotide metabolic process (GO:0009150)	66	2	1.53	+	1.31	6.67E-01
chemical synaptic transmission (GO:0007268)	132	4	3.06	+	1.31	5.52E-01
action potential (GO:0001508)	33	1	.77	+	1.31	5.40E-01
anterograde trans-synaptic signaling (GO:0098916)	132	4	3.06	+	1.31	5.52E-01
regulation of defense response (GO:0031347)	33	1	.77	+	1.31	5.40E-01
purine-containing compound metabolic process (GO:0072521)	99	3	2.30	+	1.31	5.01E-01
trans-synaptic signaling (GO:0099537)	133	4	3.09	+	1.30	5.54E-01
positive regulation of biological process (GO:0048518)	899	27	20.87	+	1.29	1.66E-01
chromatin organization (GO:0006325)	100	3	2.32	+	1.29	5.05E-01
microtubule-based movement (GO:0007018)	100	3	2.32	+	1.29	5.05E-01
lipid catabolic process (GO:0016042)	67	2	1.56	+	1.29	6.70E-01
response to organic substance (GO:0010033)	235	7	5.46	+	1.28	5.06E-01
nervous system development (GO:0007399)	403	12	9.35	+	1.28	3.96E-01
neurogenesis (GO:0022008)	304	9	7.06	+	1.28	4.36E-01
DNA damage response (GO:0006974)	203	6	4.71	+	1.27	4.78E-01
RNA splicing (GO:0008380)	102	3	2.37	+	1.27	5.14E-01
monocarboxylic acid transport (GO:0015718)	34	1	.79	+	1.27	5.51E-01
regulation of DNA metabolic process (GO:0051052)	34	1	.79	+	1.27	5.51E-01
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	68	2	1.58	+	1.27	6.72E-01
cellular response to nitrogen compound (GO:1901699)	68	2	1.58	+	1.27	6.72E-01
muscle cell development (GO:0055001)	34	1	.79	+	1.27	5.51E-01
post-Golgi vesicle-mediated transport (GO:0006892)	34	1	.79	+	1.27	5.51E-01
negative regulation of RNA metabolic process (GO:0051253)	171	5	3.97	+	1.26	6.02E-01
regulation of transmembrane transport (GO:0034762)	69	2	1.60	+	1.25	6.75E-01
mitochondrion organization (GO:0007005)	104	3	2.41	+	1.24	5.22E-01
negative regulation of cellular metabolic process (GO:0031324)	348	10	8.08	+	1.24	4.67E-01
nucleotide metabolic process (GO:0009117)	105	3	2.44	+	1.23	7.37E-01
positive regulation of multicellular organismal process (GO:0051240)	70	2	1.62	+	1.23	6.78E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	141	4	3.27	+	1.22	5.72E-01
cellular nitrogen compound catabolic process (GO:0044270)	106	3	2.46	+	1.22	7.38E-01
heterocycle catabolic process (GO:0046700)	106	3	2.46	+	1.22	7.38E-01
regulation of supramolecular fiber organization (GO:1902903)	71	2	1.65	+	1.21	6.81E-01
nuclear division (GO:0000280)	71	2	1.65	+	1.21	6.81E-01
synaptic signaling (GO:0099536)	142	4	3.30	+	1.21	5.74E-01
positive regulation of transport (GO:0051050)	36	1	.84	+	1.20	5.71E-01
negative regulation of catabolic process (GO:0009895)	36	1	.84	+	1.20	5.71E-01
nucleobase-containing compound metabolic process (GO:0006139)	830	23	19.27	+	1.19	3.40E-01
nucleic acid metabolic process (GO:0090304)	689	19	15.99	+	1.19	4.33E-01
heterocycle metabolic process (GO:0046483)	872	24	20.24	+	1.19	3.51E-01
negative regulation of macromolecule metabolic process (GO:0010605)	364	10	8.45	+	1.18	5.93E-01
system development (GO:0048731)	546	15	12.67	+	1.18	4.66E-01
membrane lipid metabolic process (GO:0006643)	73	2	1.69	+	1.18	6.87E-01
cellular aromatic compound metabolic process (GO:0006725)	880	24	20.43	+	1.17	4.14E-01
anatomical structure development (GO:0048856)	885	24	20.54	+	1.17	4.16E-01
cellular nitrogen compound metabolic process (GO:0034641)	996	27	23.12	+	1.17	3.79E-01
immune system process (GO:0002376)	111	3	2.58	+	1.16	7.45E-01
blood vessel development (GO:0001568)	37	1	.86	+	1.16	5.81E-01
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	185	5	4.29	+	1.16	6.22E-01
regulation of protein localization (GO:0032880)	37	1	.86	+	1.16	5.81E-01
ceramide metabolic process (GO:0006672)	37	1	.86	+	1.16	5.81E-01
sexual reproduction (GO:0019953)	74	2	1.72	+	1.16	6.90E-01
regulation of RNA metabolic process (GO:0051252)	1230	33	28.55	+	1.16	3.68E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1269	34	29.46	+	1.15	3.74E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	112	3	2.60	+	1.15	7.46E-01
aromatic compound catabolic process (GO:0019439)	112	3	2.60	+	1.15	7.46E-01
regulation of catalytic activity (GO:0050790)	262	7	6.08	+	1.15	6.75E-01
positive regulation of developmental process (GO:0051094)	75	2	1.74	+	1.15	6.94E-01
negative regulation of metabolic process (GO:0009892)	376	10	8.73	+	1.15	6.01E-01
nucleoside phosphate metabolic process (GO:0006753)	113	3	2.62	+	1.14	7.48E-01
mRNA processing (GO:0006397)	113	3	2.62	+	1.14	7.48E-01
cell cycle process (GO:0022402)	226	6	5.25	+	1.14	6.54E-01
regulation of molecular function (GO:0065009)	339	9	7.87	+	1.14	5.85E-01
neuron projection development (GO:0031175)	189	5	4.39	+	1.14	6.29E-01
cellular component organization or biogenesis (GO:0071840)	1671	44	38.79	+	1.13	3.80E-01
negative regulation of DNA-templated transcription (GO:0045892)	152	4	3.53	+	1.13	7.82E-01
protein modification by small protein conjugation (GO:0032446)	190	5	4.41	+	1.13	6.31E-01
negative regulation of RNA biosynthetic process (GO:1902679)	152	4	3.53	+	1.13	7.82E-01
regulation of organelle organization (GO:0033043)	191	5	4.43	+	1.13	6.32E-01
organic cyclic compound metabolic process (GO:1901360)	919	24	21.33	+	1.13	4.95E-01
nitrogen compound transport (GO:0071705)	345	9	8.01	+	1.12	7.14E-01
cellular component organization (GO:0016043)	1576	41	36.58	+	1.12	4.19E-01
reproductive process (GO:0022414)	77	2	1.79	+	1.12	7.00E-01
reproduction (GO:0000003)	77	2	1.79	+	1.12	7.00E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	272	7	6.31	+	1.11	6.84E-01
regulation of trans-synaptic signaling (GO:0099177)	78	2	1.81	+	1.10	7.03E-01
organic cyclic compound catabolic process (GO:1901361)	117	3	2.72	+	1.10	7.54E-01
modulation of chemical synaptic transmission (GO:0050804)	78	2	1.81	+	1.10	7.03E-01
biological regulation (GO:0065007)	3708	94	86.07	+	1.09	2.94E-01
Golgi vesicle transport (GO:0048193)	119	3	2.76	+	1.09	7.57E-01
organelle organization (GO:0006996)	957	24	22.21	+	1.08	6.54E-01
developmental process (GO:0032502)	997	25	23.14	+	1.08	6.60E-01
regulation of neuron projection development (GO:0010975)	40	1	.93	+	1.08	6.10E-01
regulation of transport (GO:0051049)	160	4	3.71	+	1.08	7.89E-01
regulation of macromolecule biosynthetic process (GO:0010556)	1440	36	33.43	+	1.08	6.40E-01
muscle cell differentiation (GO:0042692)	40	1	.93	+	1.08	6.10E-01
RNA 3'-end processing (GO:0031123)	40	1	.93	+	1.08	6.10E-01
lipid transport (GO:0006869)	80	2	1.86	+	1.08	7.09E-01
cell differentiation (GO:0030154)	603	15	14.00	+	1.07	7.80E-01
cellular developmental process (GO:0048869)	603	15	14.00	+	1.07	7.80E-01
regulation of cellular biosynthetic process (GO:0031326)	1448	36	33.61	+	1.07	6.42E-01
ribosome biogenesis (GO:0042254)	121	3	2.81	+	1.07	7.60E-01
regulation of biosynthetic process (GO:0009889)	1453	36	33.73	+	1.07	6.42E-01
cellular response to endogenous stimulus (GO:0071495)	163	4	3.78	+	1.06	7.92E-01
regulation of cellular metabolic process (GO:0031323)	1671	41	38.79	+	1.06	6.62E-01
regulation of localization (GO:0032879)	204	5	4.74	+	1.06	8.13E-01
regulation of biological process (GO:0050789)	3509	86	81.45	+	1.06	5.48E-01
regulation of cellular process (GO:0050794)	3314	81	76.93	+	1.05	5.87E-01
regulation of cellular component organization (GO:0051128)	287	7	6.66	+	1.05	8.42E-01
carbohydrate derivative biosynthetic process (GO:1901137)	205	5	4.76	+	1.05	8.14E-01
protein-containing complex disassembly (GO:0032984)	41	1	.95	+	1.05	6.19E-01
cellular component disassembly (GO:0022411)	82	2	1.90	+	1.05	7.16E-01
chromosome segregation (GO:0007059)	82	2	1.90	+	1.05	7.16E-01
organonitrogen compound biosynthetic process (GO:1901566)	453	11	10.52	+	1.05	8.73E-01
regulation of DNA-templated transcription (GO:0006355)	1114	27	25.86	+	1.04	7.55E-01
regulation of RNA biosynthetic process (GO:2001141)	1114	27	25.86	+	1.04	7.55E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1534	37	35.61	+	1.04	7.85E-01
anatomical structure formation involved in morphogenesis (GO:0048646)	83	2	1.93	+	1.04	7.19E-01
cell morphogenesis involved in neuron differentiation (GO:0048667)	125	3	2.90	+	1.03	7.67E-01
monoatomic cation homeostasis (GO:0055080)	125	3	2.90	+	1.03	7.67E-01
cell cycle (GO:0007049)	250	6	5.80	+	1.03	8.32E-01
multicellular organism development (GO:0007275)	667	16	15.48	+	1.03	8.94E-01
RNA metabolic process (GO:0016070)	459	11	10.65	+	1.03	8.74E-01
protein maturation (GO:0051604)	167	4	3.88	+	1.03	7.97E-01
regulation of gene expression (GO:0010468)	1420	34	32.96	+	1.03	8.51E-01
biological_process (GO:0008150)	7709	184	178.95	+	1.03	5.66E-01
organic substance transport (GO:0071702)	461	11	10.70	+	1.03	8.74E-01
regulation of primary metabolic process (GO:0080090)	1553	37	36.05	+	1.03	8.57E-01
protein modification by small protein conjugation or removal (GO:0070647)	254	6	5.90	+	1.02	8.34E-01
actin cytoskeleton organization (GO:0030036)	212	5	4.92	+	1.02	8.19E-01
monoatomic ion homeostasis (GO:0050801)	128	3	2.97	+	1.01	1.00E00
cellular response to oxygen-containing compound (GO:1901701)	86	2	2.00	+	1.00	1.00E00
gene expression (GO:0010467)	691	16	16.04	-	1.00	1.00E00
regulation of metabolic process (GO:0019222)	1772	41	41.13	-	1.00	1.00E00
positive regulation of intracellular signal transduction (GO:1902533)	130	3	3.02	-	.99	1.00E00
positive regulation of RNA metabolic process (GO:0051254)	261	6	6.06	-	.99	1.00E00
protein transport (GO:0015031)	218	5	5.06	-	.99	1.00E00
regulation of macromolecule metabolic process (GO:0060255)	1664	38	38.63	-	.98	1.00E00
actin filament-based process (GO:0030029)	219	5	5.08	-	.98	1.00E00
carbohydrate derivative metabolic process (GO:1901135)	307	7	7.13	-	.98	1.00E00
protein glycosylation (GO:0006486)	88	2	2.04	-	.98	1.00E00
cell-substrate adhesion (GO:0031589)	44	1	1.02	-	.98	1.00E00
organophosphate catabolic process (GO:0046434)	44	1	1.02	-	.98	1.00E00
macromolecule glycosylation (GO:0043413)	88	2	2.04	-	.98	1.00E00
regulation of cellular response to growth factor stimulus (GO:0090287)	44	1	1.02	-	.98	1.00E00
negative regulation of protein metabolic process (GO:0051248)	88	2	2.04	-	.98	1.00E00
animal organ morphogenesis (GO:0009887)	88	2	2.04	-	.98	1.00E00
cellular nitrogen compound biosynthetic process (GO:0044271)	353	8	8.19	-	.98	1.00E00
cell morphogenesis (GO:0000902)	177	4	4.11	-	.97	1.00E00
response to chemical (GO:0042221)	310	7	7.20	-	.97	1.00E00
vesicle-mediated transport (GO:0016192)	444	10	10.31	-	.97	1.00E00
purine nucleotide metabolic process (GO:0006163)	89	2	2.07	-	.97	1.00E00
response to endogenous stimulus (GO:0009719)	178	4	4.13	-	.97	1.00E00
post-translational protein modification (GO:0043687)	268	6	6.22	-	.96	1.00E00
macromolecule localization (GO:0033036)	538	12	12.49	-	.96	1.00E00
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	90	2	2.09	-	.96	1.00E00
establishment of localization in cell (GO:0051649)	499	11	11.58	-	.95	1.00E00
regulation of transcription by RNA polymerase II (GO:0006357)	953	21	22.12	-	.95	9.11E-01
Unclassified (UNCLASSIFIED)	4181	92	97.05	-	.95	5.66E-01
plasma membrane bounded cell projection organization (GO:0120036)	321	7	7.45	-	.94	1.00E00
intracellular transport (GO:0046907)	413	9	9.59	-	.94	1.00E00
positive regulation of cellular component organization (GO:0051130)	92	2	2.14	-	.94	1.00E00
purine nucleotide biosynthetic process (GO:0006164)	46	1	1.07	-	.94	1.00E00
protein folding (GO:0006457)	92	2	2.14	-	.94	1.00E00
potassium ion transmembrane transport (GO:0071805)	92	2	2.14	-	.94	1.00E00
cellular response to organonitrogen compound (GO:0071417)	46	1	1.07	-	.94	1.00E00
nucleobase-containing compound catabolic process (GO:0034655)	92	2	2.14	-	.94	1.00E00
potassium ion transport (GO:0006813)	92	2	2.14	-	.94	1.00E00
macromolecule biosynthetic process (GO:0009059)	879	19	20.40	-	.93	8.17E-01
cell-cell signaling (GO:0007267)	232	5	5.39	-	.93	1.00E00
double-strand break repair (GO:0006302)	93	2	2.16	-	.93	1.00E00
cell projection organization (GO:0030030)	327	7	7.59	-	.92	1.00E00
transmembrane transport (GO:0055085)	421	9	9.77	-	.92	1.00E00
regulation of cellular localization (GO:0060341)	47	1	1.09	-	.92	1.00E00
regulation of microtubule-based process (GO:0032886)	47	1	1.09	-	.92	1.00E00
cellular modified amino acid metabolic process (GO:0006575)	47	1	1.09	-	.92	1.00E00
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	282	6	6.55	-	.92	1.00E00
nitrogen compound metabolic process (GO:0006807)	2243	47	52.07	-	.90	4.84E-01
macromolecule metabolic process (GO:0043170)	1962	41	45.54	-	.90	5.12E-01
regulation of protein polymerization (GO:0032271)	48	1	1.11	-	.90	1.00E00
localization (GO:0051179)	1443	30	33.50	-	.90	5.76E-01
cellular metabolic process (GO:0044237)	2079	43	48.26	-	.89	4.24E-01
protein metabolic process (GO:0019538)	1267	26	29.41	-	.88	5.54E-01
cellular process (GO:0009987)	5614	115	130.32	-	.88	6.71E-02
metabolic process (GO:0008152)	2693	55	62.51	-	.88	3.08E-01
nuclear export (GO:0051168)	49	1	1.14	-	.88	1.00E00
regulation of cell population proliferation (GO:0042127)	98	2	2.27	-	.88	1.00E00
homeostatic process (GO:0042592)	196	4	4.55	-	.88	1.00E00
organophosphate biosynthetic process (GO:0090407)	147	3	3.41	-	.88	1.00E00
multicellular organismal process (GO:0032501)	840	17	19.50	-	.87	6.35E-01
organonitrogen compound metabolic process (GO:1901564)	1584	32	36.77	-	.87	4.73E-01
response to stimulus (GO:0050896)	1550	31	35.98	-	.86	4.16E-01
RNA processing (GO:0006396)	300	6	6.96	-	.86	8.47E-01
lipoprotein biosynthetic process (GO:0042158)	50	1	1.16	-	.86	1.00E00
protein lipidation (GO:0006497)	50	1	1.16	-	.86	1.00E00
glycosylation (GO:0070085)	100	2	2.32	-	.86	1.00E00
positive regulation of cellular metabolic process (GO:0031325)	455	9	10.56	-	.85	7.51E-01
cell-cell adhesion (GO:0098609)	152	3	3.53	-	.85	1.00E00
supramolecular fiber organization (GO:0097435)	204	4	4.74	-	.84	1.00E00
transport along microtubule (GO:0010970)	51	1	1.18	-	.84	1.00E00
heart development (GO:0007507)	51	1	1.18	-	.84	1.00E00
purine-containing compound biosynthetic process (GO:0072522)	51	1	1.18	-	.84	1.00E00
primary metabolic process (GO:0044238)	2451	48	56.89	-	.84	2.00E-01
anatomical structure morphogenesis (GO:0009653)	359	7	8.33	-	.84	8.58E-01
transport (GO:0006810)	1231	24	28.57	-	.84	4.23E-01
monoatomic ion transmembrane transport (GO:0034220)	258	5	5.99	-	.83	8.36E-01
cellular localization (GO:0051641)	725	14	16.83	-	.83	6.09E-01
cellular biosynthetic process (GO:0044249)	1144	22	26.56	-	.83	4.08E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	52	1	1.21	-	.83	1.00E00
post-transcriptional regulation of gene expression (GO:0010608)	104	2	2.41	-	.83	1.00E00
organic substance metabolic process (GO:0071704)	2575	49	59.77	-	.82	1.20E-01
establishment of protein localization (GO:0045184)	263	5	6.10	-	.82	8.36E-01
regulation of biological quality (GO:0065008)	421	8	9.77	-	.82	7.40E-01
sphingolipid metabolic process (GO:0006665)	53	1	1.23	-	.81	1.00E00
phosphatidylinositol biosynthetic process (GO:0006661)	53	1	1.23	-	.81	1.00E00
microtubule-based transport (GO:0099111)	53	1	1.23	-	.81	1.00E00
organic substance biosynthetic process (GO:1901576)	1172	22	27.21	-	.81	3.57E-01
biosynthetic process (GO:0009058)	1175	22	27.28	-	.81	3.09E-01
regulation of protein-containing complex assembly (GO:0043254)	54	1	1.25	-	.80	1.00E00
endomembrane system organization (GO:0010256)	108	2	2.51	-	.80	1.00E00
establishment of localization (GO:0051234)	1296	24	30.08	-	.80	2.82E-01
organophosphate metabolic process (GO:0019637)	271	5	6.29	-	.79	8.37E-01
response to oxygen-containing compound (GO:1901700)	109	2	2.53	-	.79	1.00E00
response to nitrogen compound (GO:1901698)	109	2	2.53	-	.79	1.00E00
cilium assembly (GO:0060271)	109	2	2.53	-	.79	1.00E00
protein deubiquitination (GO:0016579)	55	1	1.28	-	.78	1.00E00
canonical Wnt signaling pathway (GO:0060070)	55	1	1.28	-	.78	1.00E00
carboxylic acid biosynthetic process (GO:0046394)	55	1	1.28	-	.78	1.00E00
apoptotic process (GO:0006915)	55	1	1.28	-	.78	1.00E00
