PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(417)	(expected)	(over/under)	(fold Enrichment)	P-value
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	16	1	.56	+	1.78	4.35E-01
leukocyte differentiation (GO:0002521)	16	1	.56	+	1.78	4.35E-01
sister chromatid cohesion (GO:0007062)	16	1	.56	+	1.78	4.35E-01
skeletal muscle organ development (GO:0060538)	16	1	.56	+	1.78	4.35E-01
regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0051896)	16	1	.56	+	1.78	4.35E-01
GPI anchor biosynthetic process (GO:0006506)	16	1	.56	+	1.78	4.35E-01
positive regulation of GTPase activity (GO:0043547)	48	3	1.68	+	1.78	2.37E-01
positive regulation of cell migration (GO:0030335)	48	3	1.68	+	1.78	2.37E-01
lipid transport (GO:0006869)	80	5	2.80	+	1.78	2.06E-01
chromosome organization (GO:0051276)	113	7	3.96	+	1.77	1.19E-01
protein targeting (GO:0006605)	65	4	2.28	+	1.76	2.91E-01
DNA-templated DNA replication (GO:0006261)	65	4	2.28	+	1.76	2.91E-01
actin cytoskeleton organization (GO:0030036)	212	13	7.43	+	1.75	5.51E-02
nuclear export (GO:0051168)	49	3	1.72	+	1.75	2.46E-01
inorganic anion transport (GO:0015698)	49	3	1.72	+	1.75	2.46E-01
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	33	2	1.16	+	1.73	3.23E-01
action potential (GO:0001508)	33	2	1.16	+	1.73	3.23E-01
DNA-templated transcription initiation (GO:0006352)	33	2	1.16	+	1.73	3.23E-01
negative regulation of multicellular organismal process (GO:0051241)	33	2	1.16	+	1.73	3.23E-01
lipid localization (GO:0010876)	83	5	2.91	+	1.72	2.17E-01
establishment or maintenance of cell polarity (GO:0007163)	50	3	1.75	+	1.71	2.55E-01
actomyosin structure organization (GO:0031032)	50	3	1.75	+	1.71	2.55E-01
positive regulation of protein phosphorylation (GO:0001934)	67	4	2.35	+	1.70	2.99E-01
positive regulation of protein metabolic process (GO:0051247)	134	8	4.70	+	1.70	1.47E-01
actin filament-based process (GO:0030029)	219	13	7.68	+	1.69	6.05E-02
positive regulation of proteasomal protein catabolic process (GO:1901800)	17	1	.60	+	1.68	4.55E-01
regulation of cytosolic calcium ion concentration (GO:0051480)	17	1	.60	+	1.68	4.55E-01
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	17	1	.60	+	1.68	4.55E-01
spermatogenesis (GO:0007283)	17	1	.60	+	1.68	4.55E-01
monocarboxylic acid transport (GO:0015718)	34	2	1.19	+	1.68	3.36E-01
isoprenoid metabolic process (GO:0006720)	17	1	.60	+	1.68	4.55E-01
positive regulation of DNA-binding transcription factor activity (GO:0051091)	17	1	.60	+	1.68	4.55E-01
regulation of DNA metabolic process (GO:0051052)	34	2	1.19	+	1.68	3.36E-01
synaptic transmission, glutamatergic (GO:0035249)	17	1	.60	+	1.68	4.55E-01
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	17	1	.60	+	1.68	4.55E-01
snRNA 3'-end processing (GO:0034472)	17	1	.60	+	1.68	4.55E-01
T cell receptor signaling pathway (GO:0050852)	17	1	.60	+	1.68	4.55E-01
protein localization to cell junction (GO:1902414)	17	1	.60	+	1.68	4.55E-01
positive regulation of cell motility (GO:2000147)	51	3	1.79	+	1.68	4.26E-01
positive regulation of locomotion (GO:0040017)	51	3	1.79	+	1.68	4.26E-01
Golgi vesicle transport (GO:0048193)	119	7	4.17	+	1.68	2.00E-01
biogenic amine metabolic process (GO:0006576)	17	1	.60	+	1.68	4.55E-01
GPI anchor metabolic process (GO:0006505)	17	1	.60	+	1.68	4.55E-01
regulation of GTPase activity (GO:0043087)	69	4	2.42	+	1.65	3.07E-01
tissue development (GO:0009888)	138	8	4.84	+	1.65	1.55E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	52	3	1.82	+	1.65	4.30E-01
post-transcriptional regulation of gene expression (GO:0010608)	104	6	3.65	+	1.65	1.82E-01
protein-containing complex localization (GO:0031503)	52	3	1.82	+	1.65	4.30E-01
regulation of mRNA stability (GO:0043488)	52	3	1.82	+	1.65	4.30E-01
translation (GO:0006412)	122	7	4.28	+	1.64	2.06E-01
taxis (GO:0042330)	35	2	1.23	+	1.63	3.49E-01
chemotaxis (GO:0006935)	35	2	1.23	+	1.63	3.49E-01
locomotion (GO:0040011)	35	2	1.23	+	1.63	3.49E-01
protein glycosylation (GO:0006486)	88	5	3.09	+	1.62	2.39E-01
macromolecule glycosylation (GO:0043413)	88	5	3.09	+	1.62	2.39E-01
regulation of RNA stability (GO:0043487)	53	3	1.86	+	1.61	4.34E-01
regulation of multicellular organismal process (GO:0051239)	177	10	6.21	+	1.61	1.43E-01
DNA replication (GO:0006260)	71	4	2.49	+	1.61	3.17E-01
peptide biosynthetic process (GO:0043043)	125	7	4.38	+	1.60	2.13E-01
mitotic cell cycle (GO:0000278)	161	9	5.64	+	1.59	1.88E-01
spliceosomal complex assembly (GO:0000245)	18	1	.63	+	1.58	4.74E-01
immune response-activating signaling pathway (GO:0002757)	36	2	1.26	+	1.58	3.61E-01
ameboidal-type cell migration (GO:0001667)	36	2	1.26	+	1.58	3.61E-01
nuclear chromosome segregation (GO:0098813)	54	3	1.89	+	1.58	4.39E-01
positive regulation of translation (GO:0045727)	18	1	.63	+	1.58	4.74E-01
mitochondrial transmembrane transport (GO:1990542)	36	2	1.26	+	1.58	3.61E-01
endomembrane system organization (GO:0010256)	108	6	3.79	+	1.58	2.82E-01
intraciliary transport (GO:0042073)	18	1	.63	+	1.58	4.74E-01
leukocyte activation (GO:0045321)	18	1	.63	+	1.58	4.74E-01
autophagy of mitochondrion (GO:0000422)	36	2	1.26	+	1.58	3.61E-01
amine metabolic process (GO:0009308)	18	1	.63	+	1.58	4.74E-01
male gamete generation (GO:0048232)	18	1	.63	+	1.58	4.74E-01
response to insulin (GO:0032868)	18	1	.63	+	1.58	4.74E-01
protein targeting to mitochondrion (GO:0006626)	18	1	.63	+	1.58	4.74E-01
regulation of mitotic cell cycle phase transition (GO:1901990)	54	3	1.89	+	1.58	4.39E-01
ribonucleotide biosynthetic process (GO:0009260)	36	2	1.26	+	1.58	3.61E-01
negative regulation of catabolic process (GO:0009895)	36	2	1.26	+	1.58	3.61E-01
regulation of cell migration (GO:0030334)	91	5	3.19	+	1.57	2.53E-01
regulation of cell differentiation (GO:0045595)	91	5	3.19	+	1.57	2.53E-01
mitotic cell cycle process (GO:1903047)	128	7	4.49	+	1.56	2.21E-01
regulation of developmental process (GO:0050793)	183	10	6.42	+	1.56	1.52E-01
protein deubiquitination (GO:0016579)	55	3	1.93	+	1.56	4.43E-01
canonical Wnt signaling pathway (GO:0060070)	55	3	1.93	+	1.56	4.43E-01
carboxylic acid biosynthetic process (GO:0046394)	55	3	1.93	+	1.56	4.43E-01
organic acid biosynthetic process (GO:0016053)	55	3	1.93	+	1.56	4.43E-01
localization within membrane (GO:0051668)	147	8	5.15	+	1.55	1.78E-01
immune response-regulating signaling pathway (GO:0002764)	37	2	1.30	+	1.54	3.74E-01
negative regulation of mitotic cell cycle (GO:0045930)	37	2	1.30	+	1.54	3.74E-01
cell cycle checkpoint signaling (GO:0000075)	37	2	1.30	+	1.54	3.74E-01
peptide metabolic process (GO:0006518)	167	9	5.85	+	1.54	1.97E-01
double-strand break repair (GO:0006302)	93	5	3.26	+	1.53	2.63E-01
carbohydrate derivative biosynthetic process (GO:1901137)	206	11	7.22	+	1.52	1.75E-01
regulation of cell motility (GO:2000145)	94	5	3.30	+	1.52	3.87E-01
regulation of locomotion (GO:0040012)	94	5	3.30	+	1.52	3.87E-01
establishment of protein localization to organelle (GO:0072594)	113	6	3.96	+	1.51	2.95E-01
negative regulation of signal transduction (GO:0009968)	151	8	5.29	+	1.51	2.57E-01
protein localization to mitochondrion (GO:0070585)	19	1	.67	+	1.50	4.93E-01
nucleobase metabolic process (GO:0009112)	19	1	.67	+	1.50	4.93E-01
glycoprotein biosynthetic process (GO:0009101)	114	6	4.00	+	1.50	2.98E-01
regulation of endocytosis (GO:0030100)	19	1	.67	+	1.50	4.93E-01
positive regulation of innate immune response (GO:0045089)	19	1	.67	+	1.50	4.93E-01
establishment of protein localization to mitochondrion (GO:0072655)	19	1	.67	+	1.50	4.93E-01
heart contraction (GO:0060047)	19	1	.67	+	1.50	4.93E-01
establishment of protein localization to extracellular region (GO:0035592)	19	1	.67	+	1.50	4.93E-01
snRNA processing (GO:0016180)	19	1	.67	+	1.50	4.93E-01
regulation of sister chromatid segregation (GO:0033045)	19	1	.67	+	1.50	4.93E-01
protein secretion (GO:0009306)	19	1	.67	+	1.50	4.93E-01
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	19	1	.67	+	1.50	4.93E-01
membrane organization (GO:0061024)	152	8	5.33	+	1.50	2.59E-01
fatty acid transport (GO:0015908)	19	1	.67	+	1.50	4.93E-01
Wnt signaling pathway (GO:0016055)	57	3	2.00	+	1.50	4.53E-01
carbohydrate biosynthetic process (GO:0016051)	19	1	.67	+	1.50	4.93E-01
release of sequestered calcium ion into cytosol (GO:0051209)	19	1	.67	+	1.50	4.93E-01
protein modification by small protein conjugation (GO:0032446)	190	10	6.66	+	1.50	1.66E-01
positive regulation of defense response (GO:0031349)	19	1	.67	+	1.50	4.93E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	57	3	2.00	+	1.50	4.53E-01
protein localization to extracellular region (GO:0071692)	19	1	.67	+	1.50	4.93E-01
vesicle organization (GO:0016050)	96	5	3.37	+	1.49	3.92E-01
DNA recombination (GO:0006310)	77	4	2.70	+	1.48	3.48E-01
regulation of catabolic process (GO:0009894)	136	7	4.77	+	1.47	3.40E-01
intracellular chemical homeostasis (GO:0055082)	117	6	4.10	+	1.46	3.07E-01
blood circulation (GO:0008015)	39	2	1.37	+	1.46	3.99E-01
ribose phosphate biosynthetic process (GO:0046390)	39	2	1.37	+	1.46	3.99E-01
protein modification by small protein conjugation or removal (GO:0070647)	254	13	8.91	+	1.46	1.65E-01
negative regulation of cell communication (GO:0010648)	157	8	5.50	+	1.45	2.69E-01
negative regulation of signaling (GO:0023057)	157	8	5.50	+	1.45	2.69E-01
cell-cell signaling by wnt (GO:0198738)	59	3	2.07	+	1.45	4.63E-01
fatty acid metabolic process (GO:0006631)	79	4	2.77	+	1.44	3.59E-01
cellular homeostasis (GO:0019725)	140	7	4.91	+	1.43	3.47E-01
glycosylation (GO:0070085)	100	5	3.51	+	1.43	4.03E-01
modification-dependent macromolecule catabolic process (GO:0043632)	200	10	7.01	+	1.43	2.41E-01
muscle organ development (GO:0007517)	20	1	.70	+	1.43	5.10E-01
protein palmitoylation (GO:0018345)	20	1	.70	+	1.43	5.10E-01
RNA 3'-end processing (GO:0031123)	40	2	1.40	+	1.43	6.51E-01
positive regulation of canonical Wnt signaling pathway (GO:0090263)	20	1	.70	+	1.43	5.10E-01
DNA-templated transcription (GO:0006351)	80	4	2.80	+	1.43	3.65E-01
embryonic morphogenesis (GO:0048598)	40	2	1.40	+	1.43	6.51E-01
regulation of calcium ion transport (GO:0051924)	20	1	.70	+	1.43	5.10E-01
heart process (GO:0003015)	20	1	.70	+	1.43	5.10E-01
regulatory ncRNA processing (GO:0070918)	20	1	.70	+	1.43	5.10E-01
intra-Golgi vesicle-mediated transport (GO:0006891)	20	1	.70	+	1.43	5.10E-01
neutral amino acid transport (GO:0015804)	20	1	.70	+	1.43	5.10E-01
cell adhesion (GO:0007155)	221	11	7.75	+	1.42	2.63E-01
regulation of response to stimulus (GO:0048583)	523	26	18.34	+	1.42	6.77E-02
regulation of intracellular signal transduction (GO:1902531)	243	12	8.52	+	1.41	2.15E-01
organelle fission (GO:0048285)	81	4	2.84	+	1.41	3.71E-01
nervous system process (GO:0050877)	61	3	2.14	+	1.40	4.74E-01
protein ubiquitination (GO:0016567)	164	8	5.75	+	1.39	2.88E-01
protein-containing complex disassembly (GO:0032984)	41	2	1.44	+	1.39	6.55E-01
mitotic nuclear division (GO:0140014)	41	2	1.44	+	1.39	6.55E-01
cellular component disassembly (GO:0022411)	82	4	2.87	+	1.39	5.36E-01
activation of immune response (GO:0002253)	41	2	1.44	+	1.39	6.55E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	41	2	1.44	+	1.39	6.55E-01
RNA biosynthetic process (GO:0032774)	82	4	2.87	+	1.39	5.36E-01
sensory perception (GO:0007600)	41	2	1.44	+	1.39	6.55E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	103	5	3.61	+	1.38	4.13E-01
cytoskeleton organization (GO:0007010)	412	20	14.44	+	1.38	1.33E-01
post-translational protein modification (GO:0043687)	268	13	9.40	+	1.38	2.36E-01
monoatomic ion transport (GO:0006811)	310	15	10.87	+	1.38	2.07E-01
small molecule catabolic process (GO:0044282)	83	4	2.91	+	1.37	5.39E-01
protein localization to membrane (GO:0072657)	104	5	3.65	+	1.37	4.17E-01
monoatomic cation homeostasis (GO:0055080)	125	6	4.38	+	1.37	4.55E-01
actin filament organization (GO:0007015)	125	6	4.38	+	1.37	4.55E-01
regulation of angiogenesis (GO:0045765)	21	1	.74	+	1.36	5.28E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	42	2	1.47	+	1.36	6.59E-01
actin filament bundle assembly (GO:0051017)	21	1	.74	+	1.36	5.28E-01
regulation of chromosome segregation (GO:0051983)	21	1	.74	+	1.36	5.28E-01
regulation of signal transduction (GO:0009966)	441	21	15.46	+	1.36	1.46E-01
regulation of vasculature development (GO:1901342)	21	1	.74	+	1.36	5.28E-01
cell adhesion mediated by integrin (GO:0033627)	21	1	.74	+	1.36	5.28E-01
fatty acid beta-oxidation (GO:0006635)	21	1	.74	+	1.36	5.28E-01
circulatory system process (GO:0003013)	42	2	1.47	+	1.36	6.59E-01
negative regulation of sequestering of calcium ion (GO:0051283)	21	1	.74	+	1.36	5.28E-01
positive regulation of response to biotic stimulus (GO:0002833)	21	1	.74	+	1.36	5.28E-01
protein transmembrane import into intracellular organelle (GO:0044743)	21	1	.74	+	1.36	5.28E-01
membrane depolarization (GO:0051899)	21	1	.74	+	1.36	5.28E-01
positive regulation of neurogenesis (GO:0050769)	21	1	.74	+	1.36	5.28E-01
intracellular monoatomic cation homeostasis (GO:0030003)	106	5	3.72	+	1.35	4.24E-01
intracellular monoatomic ion homeostasis (GO:0006873)	106	5	3.72	+	1.35	4.24E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	191	9	6.70	+	1.34	3.21E-01
establishment of organelle localization (GO:0051656)	85	4	2.98	+	1.34	5.44E-01
monoatomic ion homeostasis (GO:0050801)	128	6	4.49	+	1.34	4.61E-01
protein modification by small protein removal (GO:0070646)	64	3	2.24	+	1.34	4.92E-01
response to external biotic stimulus (GO:0043207)	43	2	1.51	+	1.33	6.63E-01
response to other organism (GO:0051707)	43	2	1.51	+	1.33	6.63E-01
negative regulation of response to stimulus (GO:0048585)	172	8	6.03	+	1.33	3.99E-01
positive regulation of cellular component biogenesis (GO:0044089)	43	2	1.51	+	1.33	6.63E-01
mitochondrial transport (GO:0006839)	43	2	1.51	+	1.33	6.63E-01
organic anion transport (GO:0015711)	129	6	4.52	+	1.33	4.64E-01
regulation of signaling (GO:0023051)	517	24	18.13	+	1.32	1.77E-01
metal ion transport (GO:0030001)	237	11	8.31	+	1.32	3.68E-01
organonitrogen compound biosynthetic process (GO:1901566)	454	21	15.92	+	1.32	1.92E-01
inorganic ion transmembrane transport (GO:0098660)	239	11	8.38	+	1.31	3.70E-01
modification-dependent protein catabolic process (GO:0019941)	197	9	6.91	+	1.30	4.30E-01
amide biosynthetic process (GO:0043604)	154	7	5.40	+	1.30	5.02E-01
actin filament bundle organization (GO:0061572)	22	1	.77	+	1.30	5.44E-01
glycoprotein metabolic process (GO:0009100)	132	6	4.63	+	1.30	4.71E-01
mRNA catabolic process (GO:0006402)	44	2	1.54	+	1.30	6.67E-01
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	22	1	.77	+	1.30	5.44E-01
regulation of cellular response to growth factor stimulus (GO:0090287)	44	2	1.54	+	1.30	6.67E-01
response to biotic stimulus (GO:0009607)	44	2	1.54	+	1.30	6.67E-01
antigen receptor-mediated signaling pathway (GO:0050851)	22	1	.77	+	1.30	5.44E-01
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	22	1	.77	+	1.30	5.44E-01
autophagosome assembly (GO:0000045)	44	2	1.54	+	1.30	6.67E-01
biological process involved in interspecies interaction between organisms (GO:0044419)	44	2	1.54	+	1.30	6.67E-01
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	22	1	.77	+	1.30	5.44E-01
system process (GO:0003008)	111	5	3.89	+	1.28	5.97E-01
regulation of mRNA metabolic process (GO:1903311)	89	4	3.12	+	1.28	5.56E-01
regulation of cell communication (GO:0010646)	513	23	17.99	+	1.28	2.19E-01
regulation of anatomical structure size (GO:0090066)	67	3	2.35	+	1.28	5.10E-01
protein localization to organelle (GO:0033365)	179	8	6.28	+	1.27	4.14E-01
positive regulation of phosphorylation (GO:0042327)	112	5	3.93	+	1.27	5.99E-01
macromolecule localization (GO:0033036)	538	24	18.86	+	1.27	2.29E-01
regulation of actin filament length (GO:0030832)	45	2	1.58	+	1.27	6.72E-01
positive regulation of immune system process (GO:0002684)	68	3	2.38	+	1.26	5.16E-01
positive regulation of hydrolase activity (GO:0051345)	68	3	2.38	+	1.26	5.16E-01
carboxylic acid catabolic process (GO:0046395)	68	3	2.38	+	1.26	5.16E-01
proteasomal protein catabolic process (GO:0010498)	136	6	4.77	+	1.26	4.82E-01
organic acid catabolic process (GO:0016054)	68	3	2.38	+	1.26	5.16E-01
amide metabolic process (GO:0043603)	227	10	7.96	+	1.26	4.62E-01
cell cycle (GO:0007049)	250	11	8.76	+	1.26	3.86E-01
organelle organization (GO:0006996)	957	42	33.55	+	1.25	1.20E-01
positive regulation of cellular component organization (GO:0051130)	92	4	3.23	+	1.24	5.66E-01
organelle disassembly (GO:1903008)	46	2	1.61	+	1.24	6.76E-01
regulation of translation (GO:0006417)	46	2	1.61	+	1.24	6.76E-01
organophosphate ester transport (GO:0015748)	46	2	1.61	+	1.24	6.76E-01
potassium ion transmembrane transport (GO:0071805)	92	4	3.23	+	1.24	5.66E-01
lipid oxidation (GO:0034440)	23	1	.81	+	1.24	5.60E-01
synapse assembly (GO:0007416)	23	1	.81	+	1.24	5.60E-01
cellular process involved in reproduction in multicellular organism (GO:0022412)	23	1	.81	+	1.24	5.60E-01
negative regulation of cell cycle phase transition (GO:1901988)	46	2	1.61	+	1.24	6.76E-01
hexose metabolic process (GO:0019318)	23	1	.81	+	1.24	5.60E-01
carbohydrate derivative transport (GO:1901264)	23	1	.81	+	1.24	5.60E-01
cellular response to lipid (GO:0071396)	23	1	.81	+	1.24	5.60E-01
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	23	1	.81	+	1.24	5.60E-01
potassium ion transport (GO:0006813)	92	4	3.23	+	1.24	5.66E-01
regulation of response to stress (GO:0080134)	69	3	2.42	+	1.24	7.35E-01
cell development (GO:0048468)	300	13	10.52	+	1.24	4.24E-01
monoatomic cation transport (GO:0006812)	254	11	8.91	+	1.24	4.87E-01
positive regulation of phosphorus metabolic process (GO:0010562)	116	5	4.07	+	1.23	6.06E-01
positive regulation of phosphate metabolic process (GO:0045937)	116	5	4.07	+	1.23	6.06E-01
positive regulation of gene expression (GO:0010628)	70	3	2.45	+	1.22	7.37E-01
embryo development (GO:0009790)	70	3	2.45	+	1.22	7.37E-01
multicellular organismal process (GO:0032501)	840	36	29.45	+	1.22	2.05E-01
positive regulation of multicellular organismal process (GO:0051240)	70	3	2.45	+	1.22	7.37E-01
transmembrane transport (GO:0055085)	421	18	14.76	+	1.22	3.46E-01
regulation of biological quality (GO:0065008)	421	18	14.76	+	1.22	3.46E-01
organic cyclic compound catabolic process (GO:1901361)	117	5	4.10	+	1.22	6.08E-01
positive regulation of response to stimulus (GO:0048584)	234	10	8.20	+	1.22	4.72E-01
monoatomic ion transmembrane transport (GO:0034220)	258	11	9.05	+	1.22	4.91E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	353	15	12.38	+	1.21	4.60E-01
peptidyl-amino acid modification (GO:0018193)	189	8	6.63	+	1.21	5.47E-01
nuclear division (GO:0000280)	71	3	2.49	+	1.21	7.39E-01
cellular macromolecule localization (GO:0070727)	426	18	14.94	+	1.21	4.19E-01
protein localization (GO:0008104)	426	18	14.94	+	1.21	4.19E-01
carbohydrate derivative metabolic process (GO:1901135)	308	13	10.80	+	1.20	4.34E-01
regulation of membrane potential (GO:0042391)	95	4	3.33	+	1.20	5.77E-01
multicellular organism development (GO:0007275)	667	28	23.38	+	1.20	3.28E-01
regulation of protein modification process (GO:0031399)	143	6	5.01	+	1.20	6.43E-01
cellular response to fibroblast growth factor stimulus (GO:0044344)	24	1	.84	+	1.19	5.76E-01
multivesicular body sorting pathway (GO:0071985)	24	1	.84	+	1.19	5.76E-01
proteoglycan biosynthetic process (GO:0030166)	24	1	.84	+	1.19	5.76E-01
regulation of innate immune response (GO:0045088)	24	1	.84	+	1.19	5.76E-01
RNA catabolic process (GO:0006401)	48	2	1.68	+	1.19	6.85E-01
secretion by cell (GO:0032940)	96	4	3.37	+	1.19	5.81E-01
negative regulation of MAPK cascade (GO:0043409)	24	1	.84	+	1.19	5.76E-01
regulation of hormone levels (GO:0010817)	24	1	.84	+	1.19	5.76E-01
fibroblast growth factor receptor signaling pathway (GO:0008543)	24	1	.84	+	1.19	5.76E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	24	1	.84	+	1.19	5.76E-01
glycosyl compound metabolic process (GO:1901657)	24	1	.84	+	1.19	5.76E-01
response to fibroblast growth factor (GO:0071774)	24	1	.84	+	1.19	5.76E-01
spindle assembly (GO:0051225)	24	1	.84	+	1.19	5.76E-01
regulation of response to external stimulus (GO:0032101)	48	2	1.68	+	1.19	6.85E-01
DNA metabolic process (GO:0006259)	240	10	8.41	+	1.19	5.92E-01
chemical homeostasis (GO:0048878)	169	7	5.93	+	1.18	6.70E-01
regulation of immune system process (GO:0002682)	97	4	3.40	+	1.18	5.85E-01
positive regulation of macromolecule metabolic process (GO:0010604)	437	18	15.32	+	1.17	4.28E-01
regulation of protein phosphorylation (GO:0001932)	122	5	4.28	+	1.17	6.20E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	416	17	14.58	+	1.17	4.96E-01
regulation of amide metabolic process (GO:0034248)	49	2	1.72	+	1.16	6.90E-01
regulation of cell population proliferation (GO:0042127)	98	4	3.44	+	1.16	7.78E-01
negative regulation of cell cycle process (GO:0010948)	49	2	1.72	+	1.16	6.90E-01
carboxylic acid transport (GO:0046942)	98	4	3.44	+	1.16	7.78E-01
homeostatic process (GO:0042592)	196	8	6.87	+	1.16	5.59E-01
regulation of cellular catabolic process (GO:0031329)	98	4	3.44	+	1.16	7.78E-01
organic acid transport (GO:0015849)	98	4	3.44	+	1.16	7.78E-01
regulation of protein metabolic process (GO:0051246)	270	11	9.47	+	1.16	6.13E-01
proteolysis involved in protein catabolic process (GO:0051603)	246	10	8.62	+	1.16	5.97E-01
secretion (GO:0046903)	99	4	3.47	+	1.15	7.80E-01
cilium organization (GO:0044782)	124	5	4.35	+	1.15	6.25E-01
system development (GO:0048731)	546	22	19.14	+	1.15	4.74E-01
protein modification process (GO:0036211)	745	30	26.12	+	1.15	4.10E-01
lipoprotein biosynthetic process (GO:0042158)	50	2	1.75	+	1.14	6.95E-01
phosphatidylinositol dephosphorylation (GO:0046856)	25	1	.88	+	1.14	5.91E-01
nucleoside diphosphate metabolic process (GO:0009132)	25	1	.88	+	1.14	5.91E-01
positive regulation of cell cycle process (GO:0090068)	25	1	.88	+	1.14	5.91E-01
cellular component assembly involved in morphogenesis (GO:0010927)	25	1	.88	+	1.14	5.91E-01
integrin-mediated signaling pathway (GO:0007229)	25	1	.88	+	1.14	5.91E-01
protein lipidation (GO:0006497)	50	2	1.75	+	1.14	6.95E-01
protein dephosphorylation (GO:0006470)	50	2	1.75	+	1.14	6.95E-01
positive regulation of developmental process (GO:0051094)	75	3	2.63	+	1.14	7.48E-01
regulation of DNA-binding transcription factor activity (GO:0051090)	25	1	.88	+	1.14	5.91E-01
mitochondrial gene expression (GO:0140053)	25	1	.88	+	1.14	5.91E-01
meiosis I (GO:0007127)	25	1	.88	+	1.14	5.91E-01
cellular response to peptide (GO:1901653)	25	1	.88	+	1.14	5.91E-01
striated muscle cell development (GO:0055002)	25	1	.88	+	1.14	5.91E-01
regulation of sequestering of calcium ion (GO:0051282)	25	1	.88	+	1.14	5.91E-01
regulation of mitotic nuclear division (GO:0007088)	25	1	.88	+	1.14	5.91E-01
positive regulation of immune response (GO:0050778)	50	2	1.75	+	1.14	6.95E-01
myofibril assembly (GO:0030239)	25	1	.88	+	1.14	5.91E-01
cellular response to peptide hormone stimulus (GO:0071375)	25	1	.88	+	1.14	5.91E-01
cell cycle process (GO:0022402)	226	9	7.92	+	1.14	7.13E-01
axon guidance (GO:0007411)	101	4	3.54	+	1.13	7.82E-01
neuron projection guidance (GO:0097485)	101	4	3.54	+	1.13	7.82E-01
anatomical structure development (GO:0048856)	885	35	31.03	+	1.13	4.47E-01
regulation of cell cycle phase transition (GO:1901987)	76	3	2.66	+	1.13	7.50E-01
cell-cell adhesion (GO:0098609)	152	6	5.33	+	1.13	6.58E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1269	50	44.49	+	1.12	3.74E-01
generation of neurons (GO:0048699)	280	11	9.82	+	1.12	6.23E-01
supramolecular fiber organization (GO:0097435)	204	8	7.15	+	1.12	6.99E-01
extracellular matrix organization (GO:0030198)	102	4	3.58	+	1.12	7.83E-01
heart development (GO:0007507)	51	2	1.79	+	1.12	7.00E-01
extracellular structure organization (GO:0043062)	102	4	3.58	+	1.12	7.83E-01
external encapsulating structure organization (GO:0045229)	102	4	3.58	+	1.12	7.83E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1534	60	53.78	+	1.12	3.72E-01
protein catabolic process (GO:0030163)	256	10	8.98	+	1.11	7.29E-01
neuron development (GO:0048666)	205	8	7.19	+	1.11	7.00E-01
regulation of RNA metabolic process (GO:0051252)	1230	48	43.12	+	1.11	4.13E-01
anatomical structure morphogenesis (GO:0009653)	359	14	12.59	+	1.11	6.61E-01
inorganic cation transmembrane transport (GO:0098662)	206	8	7.22	+	1.11	7.01E-01
monoatomic cation transmembrane transport (GO:0098655)	206	8	7.22	+	1.11	7.01E-01
cellular component organization (GO:0016043)	1578	61	55.32	+	1.10	4.19E-01
regulation of primary metabolic process (GO:0080090)	1553	60	54.45	+	1.10	4.16E-01
cellular localization (GO:0051641)	725	28	25.42	+	1.10	6.02E-01
macromolecule modification (GO:0043412)	831	32	29.13	+	1.10	5.57E-01
positive regulation of cell cycle (GO:0045787)	26	1	.91	+	1.10	6.05E-01
innate immune response (GO:0045087)	26	1	.91	+	1.10	6.05E-01
telomere maintenance (GO:0000723)	26	1	.91	+	1.10	6.05E-01
telomere organization (GO:0032200)	26	1	.91	+	1.10	6.05E-01
organic acid transmembrane transport (GO:1903825)	52	2	1.82	+	1.10	7.05E-01
developmental process involved in reproduction (GO:0003006)	26	1	.91	+	1.10	6.05E-01
carboxylic acid transmembrane transport (GO:1905039)	52	2	1.82	+	1.10	7.05E-01
mitotic spindle organization (GO:0007052)	26	1	.91	+	1.10	6.05E-01
regulation of response to biotic stimulus (GO:0002831)	26	1	.91	+	1.10	6.05E-01
carbohydrate metabolic process (GO:0005975)	78	3	2.73	+	1.10	7.55E-01
