PANTHER GO-Slim Biological Process	background_genes.cra_all.raisd.txt - REFLIST (11273)	(136)	(expected)	(over/under)	(fold Enrichment)	P-value
negative regulation of cellular metabolic process (GO:0031324)	324	5	3.91	+	1.28	5.99E-01
regulation of supramolecular fiber organization (GO:1902903)	65	1	.78	+	1.28	5.47E-01
response to external stimulus (GO:0009605)	131	2	1.58	+	1.27	6.73E-01
carbohydrate derivative biosynthetic process (GO:1901137)	197	3	2.38	+	1.26	5.15E-01
regulation of localization (GO:0032879)	198	3	2.39	+	1.26	5.17E-01
sulfur compound metabolic process (GO:0006790)	67	1	.81	+	1.24	5.58E-01
phospholipid metabolic process (GO:0006644)	135	2	1.63	+	1.23	6.79E-01
establishment of localization (GO:0051234)	1220	18	14.72	+	1.22	3.33E-01
negative regulation of macromolecule metabolic process (GO:0010605)	339	5	4.09	+	1.22	6.08E-01
ncRNA metabolic process (GO:0034660)	204	3	2.46	+	1.22	7.39E-01
cellular metabolic process (GO:0044237)	1983	29	23.92	+	1.21	2.57E-01
regulation of metabolic process (GO:0019222)	1643	24	19.82	+	1.21	3.27E-01
multicellular organism development (GO:0007275)	622	9	7.50	+	1.20	5.68E-01
positive regulation of cellular metabolic process (GO:0031325)	416	6	5.02	+	1.20	6.43E-01
anatomical structure development (GO:0048856)	834	12	10.06	+	1.19	5.08E-01
negative regulation of DNA-templated transcription (GO:0045892)	140	2	1.69	+	1.18	6.87E-01
negative regulation of RNA biosynthetic process (GO:1902679)	140	2	1.69	+	1.18	6.87E-01
calcium ion transport (GO:0006816)	70	1	.84	+	1.18	5.74E-01
negative regulation of metabolic process (GO:0009892)	351	5	4.23	+	1.18	6.17E-01
negative regulation of biological process (GO:0048519)	706	10	8.52	+	1.17	5.91E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1419	20	17.12	+	1.17	4.35E-01
protein polyubiquitination (GO:0000209)	71	1	.86	+	1.17	5.79E-01
intracellular signaling cassette (GO:0141124)	143	2	1.73	+	1.16	6.92E-01
organic substance transport (GO:0071702)	429	6	5.18	+	1.16	6.50E-01
cell development (GO:0048468)	287	4	3.46	+	1.16	7.80E-01
regulation of primary metabolic process (GO:0080090)	1437	20	17.34	+	1.15	5.17E-01
peptidyl-serine phosphorylation (GO:0018105)	72	1	.87	+	1.15	5.84E-01
peptidyl-serine modification (GO:0018209)	72	1	.87	+	1.15	5.84E-01
nucleobase-containing compound metabolic process (GO:0006139)	799	11	9.64	+	1.14	6.13E-01
organonitrogen compound biosynthetic process (GO:1901566)	439	6	5.30	+	1.13	6.56E-01
regulation of macromolecule metabolic process (GO:0060255)	1540	21	18.58	+	1.13	5.30E-01
RNA metabolic process (GO:0016070)	441	6	5.32	+	1.13	6.57E-01
small molecule metabolic process (GO:0044281)	370	5	4.46	+	1.12	8.06E-01
amide biosynthetic process (GO:0043604)	148	2	1.79	+	1.12	7.00E-01
macromolecule catabolic process (GO:0009057)	297	4	3.58	+	1.12	7.84E-01
regulation of mitotic cell cycle (GO:0007346)	75	1	.90	+	1.11	5.99E-01
metabolic process (GO:0008152)	2568	34	30.98	+	1.10	5.37E-01
positive regulation of cellular process (GO:0048522)	759	10	9.16	+	1.09	7.30E-01
regulation of actin cytoskeleton organization (GO:0032956)	76	1	.92	+	1.09	6.04E-01
heterocycle metabolic process (GO:0046483)	839	11	10.12	+	1.09	7.42E-01
positive regulation of biological process (GO:0048518)	843	11	10.17	+	1.08	7.42E-01
catabolic process (GO:0009056)	537	7	6.48	+	1.08	8.38E-01
cellular aromatic compound metabolic process (GO:0006725)	847	11	10.22	+	1.08	7.43E-01
regulation of actin filament-based process (GO:0032970)	77	1	.93	+	1.08	6.09E-01
intracellular signal transduction (GO:0035556)	308	4	3.72	+	1.08	7.89E-01
exocytosis (GO:0006887)	77	1	.93	+	1.08	6.09E-01
positive regulation of metabolic process (GO:0009893)	463	6	5.59	+	1.07	8.26E-01
transmembrane transport (GO:0055085)	388	5	4.68	+	1.07	8.11E-01
positive regulation of RNA metabolic process (GO:0051254)	233	3	2.81	+	1.07	7.61E-01
response to stimulus (GO:0050896)	1476	19	17.81	+	1.07	7.03E-01
regulation of cellular process (GO:0050794)	3115	40	37.58	+	1.06	6.30E-01
negative regulation of RNA metabolic process (GO:0051253)	156	2	1.88	+	1.06	7.13E-01
developmental process (GO:0032502)	937	12	11.30	+	1.06	7.55E-01
cellular process (GO:0009987)	5330	68	64.30	+	1.06	5.46E-01
lipid biosynthetic process (GO:0008610)	157	2	1.89	+	1.06	7.15E-01
biological regulation (GO:0065007)	3485	44	42.04	+	1.05	7.10E-01
peptide metabolic process (GO:0006518)	159	2	1.92	+	1.04	7.18E-01
cellular nitrogen compound metabolic process (GO:0034641)	959	12	11.57	+	1.04	8.77E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	160	2	1.93	+	1.04	7.20E-01
biological_process (GO:0008150)	7305	91	88.13	+	1.03	6.52E-01
regulation of biological process (GO:0050789)	3297	41	39.78	+	1.03	8.50E-01
organic cyclic compound metabolic process (GO:1901360)	885	11	10.68	+	1.03	8.72E-01
protein metabolic process (GO:0019538)	1208	15	14.57	+	1.03	8.89E-01
primary metabolic process (GO:0044238)	2343	29	28.27	+	1.03	8.32E-01
organelle assembly (GO:0070925)	243	3	2.93	+	1.02	7.69E-01
macromolecule metabolic process (GO:0043170)	1874	23	22.61	+	1.02	9.08E-01
organic substance metabolic process (GO:0071704)	2459	30	29.67	+	1.01	9.17E-01
cell surface receptor signaling pathway (GO:0007166)	410	5	4.95	+	1.01	8.20E-01
ncRNA processing (GO:0034470)	165	2	1.99	+	1.00	1.00E00
nucleic acid metabolic process (GO:0090304)	662	8	7.99	+	1.00	1.00E00
establishment of organelle localization (GO:0051656)	83	1	1.00	-	1.00	1.00E00
organonitrogen compound metabolic process (GO:1901564)	1511	18	18.23	-	.99	1.00E00
positive regulation of cellular component organization (GO:0051130)	84	1	1.01	-	.99	1.00E00
regulation of catalytic activity (GO:0050790)	252	3	3.04	-	.99	1.00E00
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	253	3	3.05	-	.98	1.00E00
cellular nitrogen compound biosynthetic process (GO:0044271)	338	4	4.08	-	.98	1.00E00
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	169	2	2.04	-	.98	1.00E00
purine nucleotide metabolic process (GO:0006163)	85	1	1.03	-	.98	1.00E00
phosphate-containing compound metabolic process (GO:0006796)	512	6	6.18	-	.97	1.00E00
cell communication (GO:0007154)	1201	14	14.49	-	.97	1.00E00
nitrogen compound metabolic process (GO:0006807)	2145	25	25.88	-	.97	9.13E-01
phosphorus metabolic process (GO:0006793)	515	6	6.21	-	.97	1.00E00
circulatory system development (GO:0072359)	86	1	1.04	-	.96	1.00E00
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	88	1	1.06	-	.94	1.00E00
proteolysis (GO:0006508)	352	4	4.25	-	.94	1.00E00
Unclassified (UNCLASSIFIED)	3968	45	47.87	-	.94	6.52E-01
heterocycle biosynthetic process (GO:0018130)	179	2	2.16	-	.93	1.00E00
neuron projection development (GO:0031175)	179	2	2.16	-	.93	1.00E00
mRNA splicing, via spliceosome (GO:0000398)	90	1	1.09	-	.92	1.00E00
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	90	1	1.09	-	.92	1.00E00
RNA splicing, via transesterification reactions (GO:0000375)	90	1	1.09	-	.92	1.00E00
ubiquitin-dependent protein catabolic process (GO:0006511)	181	2	2.18	-	.92	1.00E00
peptidyl-amino acid modification (GO:0018193)	181	2	2.18	-	.92	1.00E00
aromatic compound biosynthetic process (GO:0019438)	183	2	2.21	-	.91	1.00E00
animal organ development (GO:0048513)	277	3	3.34	-	.90	1.00E00
modification-dependent protein catabolic process (GO:0019941)	185	2	2.23	-	.90	1.00E00
cellular lipid metabolic process (GO:0044255)	278	3	3.35	-	.89	1.00E00
secretion by cell (GO:0032940)	93	1	1.12	-	.89	1.00E00
protein phosphorylation (GO:0006468)	188	2	2.27	-	.88	1.00E00
regulation of programmed cell death (GO:0043067)	94	1	1.13	-	.88	1.00E00
modification-dependent macromolecule catabolic process (GO:0043632)	188	2	2.27	-	.88	1.00E00
cellular component organization or biogenesis (GO:0071840)	1600	17	19.30	-	.88	7.10E-01
cellular component organization (GO:0016043)	1506	16	18.17	-	.88	7.03E-01
negative regulation of cellular process (GO:0048523)	660	7	7.96	-	.88	8.55E-01
extracellular matrix organization (GO:0030198)	95	1	1.15	-	.87	1.00E00
extracellular structure organization (GO:0043062)	95	1	1.15	-	.87	1.00E00
external encapsulating structure organization (GO:0045229)	95	1	1.15	-	.87	1.00E00
secretion (GO:0046903)	95	1	1.15	-	.87	1.00E00
signal transduction (GO:0007165)	1058	11	12.76	-	.86	7.67E-01
cellular response to stimulus (GO:0051716)	1350	14	16.29	-	.86	6.89E-01
RNA processing (GO:0006396)	290	3	3.50	-	.86	1.00E00
cell junction organization (GO:0034330)	97	1	1.17	-	.85	1.00E00
neuron development (GO:0048666)	195	2	2.35	-	.85	1.00E00
carbohydrate derivative metabolic process (GO:1901135)	293	3	3.53	-	.85	1.00E00
intracellular monoatomic cation homeostasis (GO:0030003)	98	1	1.18	-	.85	1.00E00
intracellular monoatomic ion homeostasis (GO:0006873)	98	1	1.18	-	.85	1.00E00
signaling (GO:0023052)	1177	12	14.20	-	.85	6.71E-01
RNA splicing (GO:0008380)	99	1	1.19	-	.84	1.00E00
amino acid metabolic process (GO:0006520)	99	1	1.19	-	.84	1.00E00
phosphorylation (GO:0016310)	200	2	2.41	-	.83	1.00E00
organic cyclic compound biosynthetic process (GO:1901362)	202	2	2.44	-	.82	1.00E00
plasma membrane bounded cell projection organization (GO:0120036)	305	3	3.68	-	.82	1.00E00
cell projection organization (GO:0030030)	311	3	3.75	-	.80	1.00E00
cilium assembly (GO:0060271)	104	1	1.25	-	.80	1.00E00
monocarboxylic acid metabolic process (GO:0032787)	104	1	1.25	-	.80	1.00E00
regulation of cytoskeleton organization (GO:0051493)	105	1	1.27	-	.79	1.00E00
export from cell (GO:0140352)	105	1	1.27	-	.79	1.00E00
lipid metabolic process (GO:0006629)	316	3	3.81	-	.79	1.00E00
chromosome organization (GO:0051276)	106	1	1.28	-	.78	1.00E00
intracellular chemical homeostasis (GO:0055082)	108	1	1.30	-	.77	1.00E00
amide metabolic process (GO:0043603)	216	2	2.61	-	.77	1.00E00
regulation of molecular function (GO:0065009)	326	3	3.93	-	.76	1.00E00
cellular response to stress (GO:0033554)	327	3	3.95	-	.76	1.00E00
glycoprotein biosynthetic process (GO:0009101)	111	1	1.34	-	.75	1.00E00
mRNA processing (GO:0006397)	111	1	1.34	-	.75	1.00E00
plasma membrane bounded cell projection assembly (GO:0120031)	112	1	1.35	-	.74	1.00E00
organelle localization (GO:0051640)	113	1	1.36	-	.73	1.00E00
G protein-coupled receptor signaling pathway (GO:0007186)	228	2	2.75	-	.73	1.00E00
organelle organization (GO:0006996)	912	8	11.00	-	.73	4.29E-01
regulation of cellular component biogenesis (GO:0044087)	114	1	1.38	-	.73	1.00E00
DNA metabolic process (GO:0006259)	230	2	2.77	-	.72	1.00E00
proteolysis involved in protein catabolic process (GO:0051603)	231	2	2.79	-	.72	1.00E00
monoatomic cation homeostasis (GO:0055080)	116	1	1.40	-	.71	1.00E00
organic substance catabolic process (GO:1901575)	471	4	5.68	-	.70	6.64E-01
ribosome biogenesis (GO:0042254)	118	1	1.42	-	.70	1.00E00
monoatomic ion homeostasis (GO:0050801)	119	1	1.44	-	.70	1.00E00
cilium organization (GO:0044782)	119	1	1.44	-	.70	1.00E00
cellular component biogenesis (GO:0044085)	597	5	7.20	-	.69	5.61E-01
protein catabolic process (GO:0030163)	241	2	2.91	-	.69	1.00E00
cell projection assembly (GO:0030031)	122	1	1.47	-	.68	1.00E00
chemical synaptic transmission (GO:0007268)	125	1	1.51	-	.66	1.00E00
anterograde trans-synaptic signaling (GO:0098916)	125	1	1.51	-	.66	1.00E00
cellular component assembly (GO:0022607)	501	4	6.04	-	.66	5.30E-01
trans-synaptic signaling (GO:0099537)	126	1	1.52	-	.66	1.00E00
negative regulation of nitrogen compound metabolic process (GO:0051172)	254	2	3.06	-	.65	7.72E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	383	3	4.62	-	.65	6.32E-01
glycoprotein metabolic process (GO:0009100)	128	1	1.54	-	.65	1.00E00
system development (GO:0048731)	513	4	6.19	-	.65	5.31E-01
neuron differentiation (GO:0030182)	259	2	3.12	-	.64	7.73E-01
cellular homeostasis (GO:0019725)	131	1	1.58	-	.63	1.00E00
macromolecule modification (GO:0043412)	798	6	9.63	-	.62	3.10E-01
tissue development (GO:0009888)	133	1	1.60	-	.62	1.00E00
positive regulation of macromolecule metabolic process (GO:0010604)	400	3	4.83	-	.62	6.36E-01
generation of neurons (GO:0048699)	270	2	3.26	-	.61	7.75E-01
synaptic signaling (GO:0099536)	135	1	1.63	-	.61	1.00E00
regulation of cell cycle (GO:0051726)	136	1	1.64	-	.61	1.00E00
neuron projection morphogenesis (GO:0048812)	139	1	1.68	-	.60	1.00E00
cell projection morphogenesis (GO:0048858)	140	1	1.69	-	.59	1.00E00
plasma membrane bounded cell projection morphogenesis (GO:0120039)	140	1	1.69	-	.59	1.00E00
cell differentiation (GO:0030154)	571	4	6.89	-	.58	3.26E-01
cellular developmental process (GO:0048869)	571	4	6.89	-	.58	3.26E-01
protein modification process (GO:0036211)	717	5	8.65	-	.58	2.85E-01
neurogenesis (GO:0022008)	289	2	3.49	-	.57	5.88E-01
cellular response to organic substance (GO:0071310)	149	1	1.80	-	.56	1.00E00
regulation of transport (GO:0051049)	154	1	1.86	-	.54	1.00E00
chemical homeostasis (GO:0048878)	154	1	1.86	-	.54	1.00E00
cell migration (GO:0016477)	157	1	1.89	-	.53	1.00E00
protein ubiquitination (GO:0016567)	158	1	1.91	-	.52	1.00E00
ribonucleoprotein complex biogenesis (GO:0022613)	161	1	1.94	-	.51	1.00E00
cellular anatomical entity morphogenesis (GO:0032989)	162	1	1.95	-	.51	1.00E00
positive regulation of transcription by RNA polymerase II (GO:0045944)	167	1	2.01	-	.50	7.26E-01
cell morphogenesis (GO:0000902)	168	1	2.03	-	.49	7.26E-01
anatomical structure morphogenesis (GO:0009653)	338	2	4.08	-	.49	4.45E-01
regulation of response to stimulus (GO:0048583)	513	3	6.19	-	.48	2.95E-01
protein-containing complex assembly (GO:0065003)	172	1	2.08	-	.48	7.26E-01
organonitrogen compound catabolic process (GO:1901565)	346	2	4.17	-	.48	4.47E-01
regulation of organelle organization (GO:0033043)	177	1	2.14	-	.47	7.27E-01
cell motility (GO:0048870)	178	1	2.15	-	.47	7.27E-01
homeostatic process (GO:0042592)	181	1	2.18	-	.46	7.28E-01
protein modification by small protein conjugation (GO:0032446)	183	1	2.21	-	.45	7.29E-01
carboxylic acid metabolic process (GO:0019752)	189	1	2.28	-	.44	7.31E-01
organic acid metabolic process (GO:0006082)	191	1	2.30	-	.43	7.32E-01
oxoacid metabolic process (GO:0043436)	191	1	2.30	-	.43	7.32E-01
nervous system development (GO:0007399)	382	2	4.61	-	.43	3.34E-01
inorganic cation transmembrane transport (GO:0098662)	193	1	2.33	-	.43	7.33E-01
monoatomic cation transmembrane transport (GO:0098655)	193	1	2.33	-	.43	7.33E-01
DNA damage response (GO:0006974)	199	1	2.40	-	.42	7.36E-01
positive regulation of DNA-templated transcription (GO:0045893)	201	1	2.42	-	.41	5.23E-01
positive regulation of RNA biosynthetic process (GO:1902680)	201	1	2.42	-	.41	5.23E-01
actin cytoskeleton organization (GO:0030036)	202	1	2.44	-	.41	5.23E-01
actin filament-based process (GO:0030029)	207	1	2.50	-	.40	5.23E-01
cellular response to chemical stimulus (GO:0070887)	209	1	2.52	-	.40	5.24E-01
response to organic substance (GO:0010033)	218	1	2.63	-	.38	5.26E-01
cell-cell signaling (GO:0007267)	221	1	2.67	-	.38	5.27E-01
metal ion transport (GO:0030001)	221	1	2.67	-	.38	5.27E-01
inorganic ion transmembrane transport (GO:0098660)	223	1	2.69	-	.37	5.28E-01
monoatomic cation transport (GO:0006812)	236	1	2.85	-	.35	5.36E-01
monoatomic ion transmembrane transport (GO:0034220)	239	1	2.88	-	.35	3.75E-01
protein modification by small protein conjugation or removal (GO:0070647)	246	1	2.97	-	.34	3.75E-01
post-translational protein modification (GO:0043687)	260	1	3.14	-	.32	3.80E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	264	1	3.18	-	.31	3.82E-01
positive regulation of cellular biosynthetic process (GO:0031328)	269	1	3.25	-	.31	3.85E-01
regulation of cellular component organization (GO:0051128)	270	1	3.26	-	.31	3.86E-01
positive regulation of biosynthetic process (GO:0009891)	270	1	3.26	-	.31	3.86E-01
monoatomic ion transport (GO:0006811)	286	1	3.45	-	.29	2.68E-01
response to chemical (GO:0042221)	290	1	3.50	-	.29	2.69E-01
cytoskeleton organization (GO:0007010)	389	1	4.69	-	.21	9.42E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	.02	-	 < 0.01	1.00E00
ribonucleoside triphosphate metabolic process (GO:0009199)	21	0	.25	-	 < 0.01	1.00E00
mononuclear cell migration (GO:0071674)	3	0	.04	-	 < 0.01	1.00E00
intermediate filament organization (GO:0045109)	9	0	.11	-	 < 0.01	1.00E00
tissue morphogenesis (GO:0048729)	21	0	.25	-	 < 0.01	1.00E00
negative regulation of supramolecular fiber organization (GO:1902904)	30	0	.36	-	 < 0.01	1.00E00
centriole assembly (GO:0098534)	9	0	.11	-	 < 0.01	1.00E00
intermediate filament cytoskeleton organization (GO:0045104)	13	0	.16	-	 < 0.01	1.00E00
intermediate filament-based process (GO:0045103)	13	0	.16	-	 < 0.01	1.00E00
vitamin transport (GO:0051180)	9	0	.11	-	 < 0.01	1.00E00
TOR signaling (GO:0031929)	9	0	.11	-	 < 0.01	1.00E00
protein localization to mitochondrion (GO:0070585)	20	0	.24	-	 < 0.01	1.00E00
mitotic cytokinesis (GO:0000281)	12	0	.14	-	 < 0.01	1.00E00
nuclear division (GO:0000280)	67	0	.81	-	 < 0.01	1.00E00
negative regulation of actin filament polymerization (GO:0030837)	22	0	.27	-	 < 0.01	1.00E00
sperm-egg recognition (GO:0035036)	1	0	.01	-	 < 0.01	1.00E00
negative regulation of actin filament depolymerization (GO:0030835)	18	0	.22	-	 < 0.01	1.00E00
regulation of actin filament depolymerization (GO:0030834)	20	0	.24	-	 < 0.01	1.00E00
regulation of actin filament polymerization (GO:0030833)	40	0	.48	-	 < 0.01	1.00E00
regulation of actin filament length (GO:0030832)	43	0	.52	-	 < 0.01	1.00E00
meiotic sister chromatid cohesion (GO:0051177)	2	0	.02	-	 < 0.01	1.00E00
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	17	0	.21	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	15	0	.18	-	 < 0.01	1.00E00
mitotic cell cycle (GO:0000278)	156	0	1.88	-	 < 0.01	2.68E-01
supramolecular fiber organization (GO:0097435)	194	0	2.34	-	 < 0.01	1.79E-01
positive regulation of proteasomal protein catabolic process (GO:1901800)	15	0	.18	-	 < 0.01	1.00E00
lymphocyte mediated immunity (GO:0002449)	2	0	.02	-	 < 0.01	1.00E00
regulation of Rho protein signal transduction (GO:0035023)	21	0	.25	-	 < 0.01	1.00E00
leukocyte mediated immunity (GO:0002443)	2	0	.02	-	 < 0.01	1.00E00
apoptotic cell clearance (GO:0043277)	4	0	.05	-	 < 0.01	1.00E00
nuclear export (GO:0051168)	47	0	.57	-	 < 0.01	1.00E00
oligodendrocyte differentiation (GO:0048709)	5	0	.06	-	 < 0.01	1.00E00
negative regulation of monoatomic ion transport (GO:0043271)	16	0	.19	-	 < 0.01	1.00E00
regulation of lipid biosynthetic process (GO:0046890)	7	0	.08	-	 < 0.01	1.00E00
vesicle-mediated transport to the plasma membrane (GO:0098876)	51	0	.62	-	 < 0.01	1.00E00
endothelial cell differentiation (GO:0045446)	4	0	.05	-	 < 0.01	1.00E00
neutrophil migration (GO:1990266)	3	0	.04	-	 < 0.01	1.00E00
fat cell differentiation (GO:0045444)	2	0	.02	-	 < 0.01	1.00E00
programmed cell death (GO:0012501)	58	0	.70	-	 < 0.01	1.00E00
axo-dendritic transport (GO:0008088)	16	0	.19	-	 < 0.01	1.00E00
regulation of establishment of protein localization (GO:0070201)	13	0	.16	-	 < 0.01	1.00E00
mitochondrial fission (GO:0000266)	8	0	.10	-	 < 0.01	1.00E00
regulation of monoatomic ion transport (GO:0043269)	64	0	.77	-	 < 0.01	1.00E00
positive regulation of hormone secretion (GO:0046887)	1	0	.01	-	 < 0.01	1.00E00
regulation of potassium ion transport (GO:0043266)	15	0	.18	-	 < 0.01	1.00E00
membrane invagination (GO:0010324)	9	0	.11	-	 < 0.01	1.00E00
regulation of peptide secretion (GO:0002791)	3	0	.04	-	 < 0.01	1.00E00
peptide secretion (GO:0002790)	3	0	.04	-	 < 0.01	1.00E00
regulation of hormone secretion (GO:0046883)	5	0	.06	-	 < 0.01	1.00E00
purine ribonucleoside monophosphate metabolic process (GO:0009167)	13	0	.16	-	 < 0.01	1.00E00
glucose 6-phosphate metabolic process (GO:0051156)	8	0	.10	-	 < 0.01	1.00E00
nucleotide catabolic process (GO:0009166)	23	0	.28	-	 < 0.01	1.00E00
regulation of cell projection assembly (GO:0060491)	22	0	.27	-	 < 0.01	1.00E00
nucleoside catabolic process (GO:0009164)	8	0	.10	-	 < 0.01	1.00E00
ribonucleoside monophosphate metabolic process (GO:0009161)	14	0	.17	-	 < 0.01	1.00E00
negative regulation of protein catabolic process (GO:0042177)	11	0	.13	-	 < 0.01	1.00E00
regulation of protein catabolic process (GO:0042176)	41	0	.49	-	 < 0.01	1.00E00
response to interleukin-1 (GO:0070555)	2	0	.02	-	 < 0.01	1.00E00
cellular response to fibroblast growth factor stimulus (GO:0044344)	24	0	.29	-	 < 0.01	1.00E00
immune response-activating cell surface receptor signaling pathway (GO:0002429)	29	0	.35	-	 < 0.01	1.00E00
actin filament bundle organization (GO:0061572)	19	0	.23	-	 < 0.01	1.00E00
hormone secretion (GO:0046879)	3	0	.04	-	 < 0.01	1.00E00
ceramide biosynthetic process (GO:0046513)	22	0	.27	-	 < 0.01	1.00E00
regulation of protein-containing complex assembly (GO:0043254)	52	0	.63	-	 < 0.01	1.00E00
striated muscle cell differentiation (GO:0051146)	30	0	.36	-	 < 0.01	1.00E00
purine ribonucleotide catabolic process (GO:0009154)	16	0	.19	-	 < 0.01	1.00E00
heme metabolic process (GO:0042168)	8	0	.10	-	 < 0.01	1.00E00
positive regulation of cell cycle (GO:0045787)	23	0	.28	-	 < 0.01	1.00E00
negative regulation of cell cycle (GO:0045786)	56	0	.68	-	 < 0.01	1.00E00
response to fatty acid (GO:0070542)	1	0	.01	-	 < 0.01	1.00E00
spliceosomal complex assembly (GO:0000245)	18	0	.22	-	 < 0.01	1.00E00
regulation of actin polymerization or depolymerization (GO:0008064)	41	0	.49	-	 < 0.01	1.00E00
regulation of lipid metabolic process (GO:0019216)	11	0	.13	-	 < 0.01	1.00E00
axon development (GO:0061564)	129	0	1.56	-	 < 0.01	4.11E-01
respiratory electron transport chain (GO:0022904)	11	0	.13	-	 < 0.01	1.00E00
protein hydroxylation (GO:0018126)	14	0	.17	-	 < 0.01	1.00E00
electron transport chain (GO:0022900)	14	0	.17	-	 < 0.01	1.00E00
glycerolipid catabolic process (GO:0046503)	14	0	.17	-	 < 0.01	1.00E00
regulation of protein-containing complex disassembly (GO:0043244)	33	0	.40	-	 < 0.01	1.00E00
negative regulation of protein-containing complex disassembly (GO:0043242)	25	0	.30	-	 < 0.01	1.00E00
multivesicular body sorting pathway (GO:0071985)	21	0	.25	-	 < 0.01	1.00E00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	1	0	.01	-	 < 0.01	1.00E00
purine nucleoside triphosphate metabolic process (GO:0009144)	18	0	.22	-	 < 0.01	1.00E00
nucleoside triphosphate catabolic process (GO:0009143)	5	0	.06	-	 < 0.01	1.00E00
negative regulation of cytoskeleton organization (GO:0051494)	31	0	.37	-	 < 0.01	1.00E00
nucleoside triphosphate biosynthetic process (GO:0009142)	6	0	.07	-	 < 0.01	1.00E00
chaperone-mediated protein complex assembly (GO:0051131)	2	0	.02	-	 < 0.01	1.00E00
nucleoside triphosphate metabolic process (GO:0009141)	28	0	.34	-	 < 0.01	1.00E00
regulation of stress fiber assembly (GO:0051492)	5	0	.06	-	 < 0.01	1.00E00
negative regulation of blood pressure (GO:0045776)	6	0	.07	-	 < 0.01	1.00E00
protein K63-linked deubiquitination (GO:0070536)	7	0	.08	-	 < 0.01	1.00E00
protein K63-linked ubiquitination (GO:0070534)	4	0	.05	-	 < 0.01	1.00E00
mitochondrial fusion (GO:0008053)	9	0	.11	-	 < 0.01	1.00E00
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	30	0	.36	-	 < 0.01	1.00E00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	6	0	.07	-	 < 0.01	1.00E00
immune response-regulating signaling pathway (GO:0002764)	36	0	.43	-	 < 0.01	1.00E00
phosphatidylinositol dephosphorylation (GO:0046856)	24	0	.29	-	 < 0.01	1.00E00
negative regulation of cellular component organization (GO:0051129)	61	0	.74	-	 < 0.01	1.00E00
regulation of filopodium assembly (GO:0051489)	6	0	.07	-	 < 0.01	1.00E00
intracellular glucose homeostasis (GO:0001678)	5	0	.06	-	 < 0.01	1.00E00
regulation of bone remodeling (GO:0046850)	3	0	.04	-	 < 0.01	1.00E00
nucleoside diphosphate catabolic process (GO:0009134)	20	0	.24	-	 < 0.01	1.00E00
RNA polymerase II preinitiation complex assembly (GO:0051123)	6	0	.07	-	 < 0.01	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	10	0	.12	-	 < 0.01	1.00E00
nucleoside diphosphate metabolic process (GO:0009132)	23	0	.28	-	 < 0.01	1.00E00
retrograde transport, endosome to Golgi (GO:0042147)	31	0	.37	-	 < 0.01	1.00E00
regulation of angiogenesis (GO:0045765)	21	0	.25	-	 < 0.01	1.00E00
regulation of cytosolic calcium ion concentration (GO:0051480)	17	0	.21	-	 < 0.01	1.00E00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of adenylate cyclase activity (GO:0045762)	5	0	.06	-	 < 0.01	1.00E00
regulation of adenylate cyclase activity (GO:0045761)	7	0	.08	-	 < 0.01	1.00E00
regulation of sodium ion transmembrane transporter activity (GO:2000649)	13	0	.16	-	 < 0.01	1.00E00
microtubule cytoskeleton organization (GO:0000226)	154	0	1.86	-	 < 0.01	2.68E-01
motor neuron axon guidance (GO:0008045)	6	0	.07	-	 < 0.01	1.00E00
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	15	0	.18	-	 < 0.01	1.00E00
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	0	.06	-	 < 0.01	1.00E00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	29	0	.35	-	 < 0.01	1.00E00
innate immune response-activating signaling pathway (GO:0002758)	11	0	.13	-	 < 0.01	1.00E00
immune response-activating signaling pathway (GO:0002757)	35	0	.42	-	 < 0.01	1.00E00
peptidyl-tyrosine phosphorylation (GO:0018108)	5	0	.06	-	 < 0.01	1.00E00
peptidyl-threonine phosphorylation (GO:0018107)	17	0	.21	-	 < 0.01	1.00E00
peptidyl-tyrosine dephosphorylation (GO:0035335)	14	0	.17	-	 < 0.01	1.00E00
negative regulation of cell communication (GO:0010648)	154	0	1.86	-	 < 0.01	2.68E-01
