PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	(327)	(expected)	(over/under)	(fold Enrichment)	P-value
positive regulation of protein modification process (GO:0031401)	72	3	1.98	+	1.52	4.51E-01
regulation of apoptotic signaling pathway (GO:2001233)	24	1	.66	+	1.52	4.88E-01
pyrimidine-containing compound metabolic process (GO:0072527)	24	1	.66	+	1.52	4.88E-01
purine-containing compound catabolic process (GO:0072523)	24	1	.66	+	1.52	4.88E-01
cellular response to starvation (GO:0009267)	24	1	.66	+	1.52	4.88E-01
regulation of synaptic plasticity (GO:0048167)	24	1	.66	+	1.52	4.88E-01
transcription by RNA polymerase II (GO:0006366)	49	2	1.35	+	1.48	3.92E-01
regulation of cellular catabolic process (GO:0031329)	98	4	2.70	+	1.48	3.48E-01
cell adhesion (GO:0007155)	221	9	6.08	+	1.48	2.11E-01
regulation of signaling (GO:0023051)	517	21	14.22	+	1.48	7.22E-02
modification-dependent protein catabolic process (GO:0019941)	197	8	5.42	+	1.48	2.65E-01
protein phosphorylation (GO:0006468)	199	8	5.47	+	1.46	2.68E-01
nucleotide catabolic process (GO:0009166)	25	1	.69	+	1.45	5.02E-01
lipoprotein biosynthetic process (GO:0042158)	50	2	1.38	+	1.45	4.02E-01
phosphatidylinositol dephosphorylation (GO:0046856)	25	1	.69	+	1.45	5.02E-01
nucleoside diphosphate metabolic process (GO:0009132)	25	1	.69	+	1.45	5.02E-01
positive regulation of cell cycle process (GO:0090068)	25	1	.69	+	1.45	5.02E-01
protein lipidation (GO:0006497)	50	2	1.38	+	1.45	4.02E-01
mitochondrial gene expression (GO:0140053)	25	1	.69	+	1.45	5.02E-01
establishment or maintenance of cell polarity (GO:0007163)	50	2	1.38	+	1.45	4.02E-01
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	25	1	.69	+	1.45	5.02E-01
regulation of sequestering of calcium ion (GO:0051282)	25	1	.69	+	1.45	5.02E-01
maintenance of location (GO:0051235)	25	1	.69	+	1.45	5.02E-01
modification-dependent macromolecule catabolic process (GO:0043632)	200	8	5.50	+	1.45	2.70E-01
positive regulation of immune response (GO:0050778)	50	2	1.38	+	1.45	4.02E-01
cellular response to nutrient levels (GO:0031669)	25	1	.69	+	1.45	5.02E-01
cellular response to extracellular stimulus (GO:0031668)	25	1	.69	+	1.45	5.02E-01
regulation of multicellular organismal process (GO:0051239)	177	7	4.87	+	1.44	3.46E-01
regulation of cell communication (GO:0010646)	513	20	14.11	+	1.42	1.26E-01
positive regulation of macromolecule metabolic process (GO:0010604)	437	17	12.02	+	1.41	1.36E-01
positive regulation of response to stimulus (GO:0048584)	234	9	6.44	+	1.40	3.07E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	52	2	1.43	+	1.40	6.55E-01
positive regulation of cell cycle (GO:0045787)	26	1	.72	+	1.40	5.16E-01
regulation of intracellular pH (GO:0051453)	26	1	.72	+	1.40	5.16E-01
innate immune response (GO:0045087)	26	1	.72	+	1.40	5.16E-01
protein-containing complex localization (GO:0031503)	52	2	1.43	+	1.40	6.55E-01
mRNA destabilization (GO:0061157)	26	1	.72	+	1.40	5.16E-01
carbohydrate metabolic process (GO:0005975)	78	3	2.15	+	1.40	4.76E-01
telomere maintenance (GO:0000723)	26	1	.72	+	1.40	5.16E-01
telomere organization (GO:0032200)	26	1	.72	+	1.40	5.16E-01
organic acid transmembrane transport (GO:1903825)	52	2	1.43	+	1.40	6.55E-01
cellular response to external stimulus (GO:0071496)	26	1	.72	+	1.40	5.16E-01
carboxylic acid transmembrane transport (GO:1905039)	52	2	1.43	+	1.40	6.55E-01
regulation of exocytosis (GO:0017157)	26	1	.72	+	1.40	5.16E-01
mitotic spindle organization (GO:0007052)	26	1	.72	+	1.40	5.16E-01
RNA destabilization (GO:0050779)	26	1	.72	+	1.40	5.16E-01
regulation of developmental process (GO:0050793)	183	7	5.03	+	1.39	3.56E-01
regulation of response to stimulus (GO:0048583)	523	20	14.38	+	1.39	1.31E-01
fatty acid metabolic process (GO:0006631)	79	3	2.17	+	1.38	4.80E-01
phosphorylation (GO:0016310)	212	8	5.83	+	1.37	3.90E-01
establishment of protein localization to membrane (GO:0090150)	53	2	1.46	+	1.37	6.58E-01
intracellular calcium ion homeostasis (GO:0006874)	53	2	1.46	+	1.37	6.58E-01
positive regulation of metabolic process (GO:0009893)	504	19	13.86	+	1.37	1.62E-01
lipid transport (GO:0006869)	80	3	2.20	+	1.36	4.85E-01
positive regulation of cellular metabolic process (GO:0031325)	455	17	12.51	+	1.36	1.87E-01
response to organic cyclic compound (GO:0014070)	27	1	.74	+	1.35	5.29E-01
regulation of cellular pH (GO:0030641)	27	1	.74	+	1.35	5.29E-01
regulation of protein metabolic process (GO:0051246)	270	10	7.43	+	1.35	3.42E-01
positive regulation of protein kinase activity (GO:0045860)	27	1	.74	+	1.35	5.29E-01
neural crest cell migration (GO:0001755)	27	1	.74	+	1.35	5.29E-01
regulation of pH (GO:0006885)	27	1	.74	+	1.35	5.29E-01
positive regulation of cellular process (GO:0048522)	813	30	22.36	+	1.34	9.50E-02
cellular response to endogenous stimulus (GO:0071495)	163	6	4.48	+	1.34	4.62E-01
positive regulation of biological process (GO:0048518)	899	33	24.72	+	1.33	8.87E-02
monocarboxylic acid metabolic process (GO:0032787)	109	4	3.00	+	1.33	5.46E-01
carboxylic acid biosynthetic process (GO:0046394)	55	2	1.51	+	1.32	6.64E-01
organic acid biosynthetic process (GO:0016053)	55	2	1.51	+	1.32	6.64E-01
tissue development (GO:0009888)	138	5	3.80	+	1.32	4.34E-01
multicellular organism development (GO:0007275)	667	24	18.34	+	1.31	1.78E-01
lipoprotein metabolic process (GO:0042157)	56	2	1.54	+	1.30	6.67E-01
protein acylation (GO:0043543)	28	1	.77	+	1.30	5.42E-01
regulation of TOR signaling (GO:0032006)	28	1	.77	+	1.30	5.42E-01
calcium ion transmembrane import into cytosol (GO:0097553)	28	1	.77	+	1.30	5.42E-01
defense response to symbiont (GO:0140546)	28	1	.77	+	1.30	5.42E-01
regulatory ncRNA-mediated gene silencing (GO:0031047)	28	1	.77	+	1.30	5.42E-01
generation of neurons (GO:0048699)	280	10	7.70	+	1.30	3.55E-01
nucleoside phosphate metabolic process (GO:0006753)	113	4	3.11	+	1.29	5.55E-01
glycoprotein biosynthetic process (GO:0009101)	114	4	3.14	+	1.28	5.58E-01
membrane lipid biosynthetic process (GO:0046467)	57	2	1.57	+	1.28	6.71E-01
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	57	2	1.57	+	1.28	6.71E-01
anatomical structure development (GO:0048856)	885	31	24.34	+	1.27	1.64E-01
regulation of protein modification process (GO:0031399)	143	5	3.93	+	1.27	6.00E-01
system development (GO:0048731)	546	19	15.02	+	1.27	2.82E-01
nucleotide biosynthetic process (GO:0009165)	58	2	1.60	+	1.25	6.74E-01
neural crest cell differentiation (GO:0014033)	29	1	.80	+	1.25	5.55E-01
neural crest cell development (GO:0014032)	29	1	.80	+	1.25	5.55E-01
microtubule polymerization or depolymerization (GO:0031109)	29	1	.80	+	1.25	5.55E-01
stem cell development (GO:0048864)	29	1	.80	+	1.25	5.55E-01
stem cell differentiation (GO:0048863)	29	1	.80	+	1.25	5.55E-01
positive regulation of mRNA catabolic process (GO:0061014)	29	1	.80	+	1.25	5.55E-01
protein polymerization (GO:0051258)	29	1	.80	+	1.25	5.55E-01
glycolipid biosynthetic process (GO:0009247)	29	1	.80	+	1.25	5.55E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	29	1	.80	+	1.25	5.55E-01
negative regulation of cellular catabolic process (GO:0031330)	29	1	.80	+	1.25	5.55E-01
cell fate commitment (GO:0045165)	58	2	1.60	+	1.25	6.74E-01
carbohydrate derivative biosynthetic process (GO:1901137)	205	7	5.64	+	1.24	5.15E-01
neuron development (GO:0048666)	205	7	5.64	+	1.24	5.15E-01
regulation of signal transduction (GO:0009966)	441	15	12.13	+	1.24	3.72E-01
enzyme-linked receptor protein signaling pathway (GO:0007167)	206	7	5.67	+	1.24	5.16E-01
nucleoside phosphate biosynthetic process (GO:1901293)	59	2	1.62	+	1.23	6.78E-01
response to endoplasmic reticulum stress (GO:0034976)	59	2	1.62	+	1.23	6.78E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	296	10	8.14	+	1.23	4.69E-01
regulation of mRNA metabolic process (GO:1903311)	89	3	2.45	+	1.23	7.38E-01
response to endogenous stimulus (GO:0009719)	178	6	4.90	+	1.23	6.39E-01
neuron differentiation (GO:0030182)	268	9	7.37	+	1.22	4.53E-01
regulated exocytosis (GO:0045055)	30	1	.83	+	1.21	5.67E-01
fatty acid catabolic process (GO:0009062)	30	1	.83	+	1.21	5.67E-01
negative regulation of transport (GO:0051051)	30	1	.83	+	1.21	5.67E-01
protein targeting to membrane (GO:0006612)	30	1	.83	+	1.21	5.67E-01
negative regulation of catalytic activity (GO:0043086)	60	2	1.65	+	1.21	6.81E-01
cytokinesis (GO:0000910)	30	1	.83	+	1.21	5.67E-01
cell development (GO:0048468)	300	10	8.25	+	1.21	4.74E-01
positive regulation of cellular biosynthetic process (GO:0031328)	301	10	8.28	+	1.21	4.76E-01
cell differentiation (GO:0030154)	603	20	16.58	+	1.21	3.70E-01
cellular developmental process (GO:0048869)	603	20	16.58	+	1.21	3.70E-01
positive regulation of biosynthetic process (GO:0009891)	302	10	8.31	+	1.20	4.77E-01
regulation of multicellular organismal development (GO:2000026)	91	3	2.50	+	1.20	7.40E-01
regulation of intracellular signal transduction (GO:1902531)	243	8	6.68	+	1.20	5.50E-01
neurogenesis (GO:0022008)	304	10	8.36	+	1.20	4.80E-01
calcium ion homeostasis (GO:0055074)	61	2	1.68	+	1.19	6.85E-01
lipid modification (GO:0030258)	61	2	1.68	+	1.19	6.85E-01
potassium ion transmembrane transport (GO:0071805)	92	3	2.53	+	1.19	7.42E-01
nucleobase-containing compound catabolic process (GO:0034655)	92	3	2.53	+	1.19	7.42E-01
potassium ion transport (GO:0006813)	92	3	2.53	+	1.19	7.42E-01
carbohydrate derivative metabolic process (GO:1901135)	307	10	8.44	+	1.18	5.93E-01
proteolysis involved in protein catabolic process (GO:0051603)	246	8	6.77	+	1.18	5.54E-01
organic substance catabolic process (GO:1901575)	493	16	13.56	+	1.18	4.80E-01
purine ribonucleotide biosynthetic process (GO:0009152)	31	1	.85	+	1.17	5.79E-01
amino acid catabolic process (GO:0009063)	31	1	.85	+	1.17	5.79E-01
regulation of apoptotic process (GO:0042981)	93	3	2.56	+	1.17	7.44E-01
positive regulation of apoptotic process (GO:0043065)	31	1	.85	+	1.17	5.79E-01
muscle contraction (GO:0006936)	31	1	.85	+	1.17	5.79E-01
response to starvation (GO:0042594)	31	1	.85	+	1.17	5.79E-01
nervous system development (GO:0007399)	403	13	11.08	+	1.17	5.34E-01
multicellular organismal process (GO:0032501)	840	27	23.10	+	1.17	3.81E-01
developmental process (GO:0032502)	997	32	27.42	+	1.17	3.62E-01
catabolic process (GO:0009056)	562	18	15.46	+	1.16	5.07E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	282	9	7.76	+	1.16	5.80E-01
protein modification by small protein conjugation or removal (GO:0070647)	254	8	6.99	+	1.15	6.95E-01
positive regulation of nitrogen compound metabolic process (GO:0051173)	416	13	11.44	+	1.14	6.45E-01
phospholipid dephosphorylation (GO:0046839)	32	1	.88	+	1.14	5.91E-01
protein catabolic process (GO:0030163)	256	8	7.04	+	1.14	6.97E-01
synapse organization (GO:0050808)	64	2	1.76	+	1.14	6.96E-01
muscle system process (GO:0003012)	32	1	.88	+	1.14	5.91E-01
positive regulation of programmed cell death (GO:0043068)	32	1	.88	+	1.14	5.91E-01
vesicle organization (GO:0016050)	96	3	2.64	+	1.14	7.49E-01
regulation of programmed cell death (GO:0043067)	97	3	2.67	+	1.12	7.50E-01
regulation of biological quality (GO:0065008)	421	13	11.58	+	1.12	6.48E-01
protein targeting (GO:0006605)	65	2	1.79	+	1.12	7.00E-01
regulation of catalytic activity (GO:0050790)	262	8	7.21	+	1.11	7.01E-01
microtubule cytoskeleton organization (GO:0000226)	164	5	4.51	+	1.11	8.07E-01
purine ribonucleotide metabolic process (GO:0009150)	66	2	1.82	+	1.10	7.04E-01
glycoprotein metabolic process (GO:0009100)	132	4	3.63	+	1.10	7.86E-01
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	33	1	.91	+	1.10	6.02E-01
neurotransmitter secretion (GO:0007269)	33	1	.91	+	1.10	6.02E-01
chemical synaptic transmission (GO:0007268)	132	4	3.63	+	1.10	7.86E-01
monocarboxylic acid catabolic process (GO:0072329)	33	1	.91	+	1.10	6.02E-01
cellular respiration (GO:0045333)	33	1	.91	+	1.10	6.02E-01
chloride transmembrane transport (GO:1902476)	33	1	.91	+	1.10	6.02E-01
DNA-templated transcription initiation (GO:0006352)	33	1	.91	+	1.10	6.02E-01
mitotic cell cycle phase transition (GO:0044772)	33	1	.91	+	1.10	6.02E-01
cell cycle phase transition (GO:0044770)	33	1	.91	+	1.10	6.02E-01
anterograde trans-synaptic signaling (GO:0098916)	132	4	3.63	+	1.10	7.86E-01
signal release from synapse (GO:0099643)	33	1	.91	+	1.10	6.02E-01
defense response to other organism (GO:0098542)	33	1	.91	+	1.10	6.02E-01
organonitrogen compound catabolic process (GO:1901565)	365	11	10.04	+	1.10	7.44E-01
trans-synaptic signaling (GO:0099537)	133	4	3.66	+	1.09	7.87E-01
extracellular matrix organization (GO:0030198)	100	3	2.75	+	1.09	7.56E-01
extracellular structure organization (GO:0043062)	100	3	2.75	+	1.09	7.56E-01
external encapsulating structure organization (GO:0045229)	100	3	2.75	+	1.09	7.56E-01
protein maturation (GO:0051604)	167	5	4.59	+	1.09	8.09E-01
positive regulation of protein phosphorylation (GO:0001934)	67	2	1.84	+	1.09	7.07E-01
positive regulation of protein metabolic process (GO:0051247)	134	4	3.69	+	1.09	7.88E-01
post-translational protein modification (GO:0043687)	268	8	7.37	+	1.09	7.07E-01
axon guidance (GO:0007411)	101	3	2.78	+	1.08	7.58E-01
neuron projection guidance (GO:0097485)	101	3	2.78	+	1.08	7.58E-01
cell surface receptor signaling pathway (GO:0007166)	439	13	12.07	+	1.08	7.65E-01
nucleobase-containing compound biosynthetic process (GO:0034654)	169	5	4.65	+	1.08	8.11E-01
DNA damage response (GO:0006974)	203	6	5.58	+	1.07	8.27E-01
proteolysis (GO:0006508)	373	11	10.26	+	1.07	7.47E-01
positive regulation of mRNA metabolic process (GO:1903313)	34	1	.94	+	1.07	6.13E-01
monocarboxylic acid transport (GO:0015718)	34	1	.94	+	1.07	6.13E-01
positive regulation of hydrolase activity (GO:0051345)	68	2	1.87	+	1.07	7.11E-01
positive regulation of MAPK cascade (GO:0043410)	68	2	1.87	+	1.07	7.11E-01
regulation of localization (GO:0032879)	204	6	5.61	+	1.07	8.27E-01
carboxylic acid catabolic process (GO:0046395)	68	2	1.87	+	1.07	7.11E-01
organic acid catabolic process (GO:0016054)	68	2	1.87	+	1.07	7.11E-01
inorganic ion transmembrane transport (GO:0098660)	239	7	6.57	+	1.06	8.40E-01
axon development (GO:0061564)	137	4	3.77	+	1.06	7.91E-01
cell communication (GO:0007154)	1270	37	34.93	+	1.06	7.16E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	103	3	2.83	+	1.06	7.62E-01
inorganic cation transmembrane transport (GO:0098662)	206	6	5.67	+	1.06	8.28E-01
monoatomic cation transmembrane transport (GO:0098655)	206	6	5.67	+	1.06	8.28E-01
cytoskeleton organization (GO:0007010)	412	12	11.33	+	1.06	7.60E-01
glycerophospholipid biosynthetic process (GO:0046474)	69	2	1.90	+	1.05	7.15E-01
regulation of GTPase activity (GO:0043087)	69	2	1.90	+	1.05	7.15E-01
Unclassified (UNCLASSIFIED)	4181	121	114.99	+	1.05	4.81E-01
signaling (GO:0023052)	1244	36	34.21	+	1.05	7.14E-01
post-transcriptional regulation of gene expression (GO:0010608)	104	3	2.86	+	1.05	7.64E-01
protein localization to membrane (GO:0072657)	104	3	2.86	+	1.05	7.64E-01
cell junction organization (GO:0034330)	104	3	2.86	+	1.05	7.64E-01
macromolecule catabolic process (GO:0009057)	314	9	8.64	+	1.04	8.60E-01
nucleotide metabolic process (GO:0009117)	105	3	2.89	+	1.04	7.66E-01
activation of GTPase activity (GO:0090630)	35	1	.96	+	1.04	6.24E-01
regulation of autophagy (GO:0010506)	35	1	.96	+	1.04	6.24E-01
taxis (GO:0042330)	35	1	.96	+	1.04	6.24E-01
response to extracellular stimulus (GO:0009991)	35	1	.96	+	1.04	6.24E-01
chemotaxis (GO:0006935)	35	1	.96	+	1.04	6.24E-01
locomotion (GO:0040011)	35	1	.96	+	1.04	6.24E-01
response to nutrient levels (GO:0031667)	35	1	.96	+	1.04	6.24E-01
signal transduction (GO:0007165)	1121	32	30.83	+	1.04	7.74E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	141	4	3.88	+	1.03	7.97E-01
biological regulation (GO:0065007)	3708	105	101.98	+	1.03	7.17E-01
small molecule biosynthetic process (GO:0044283)	106	3	2.92	+	1.03	7.68E-01
cellular nitrogen compound catabolic process (GO:0044270)	106	3	2.92	+	1.03	7.68E-01
heterocycle catabolic process (GO:0046700)	106	3	2.92	+	1.03	7.68E-01
actin cytoskeleton organization (GO:0030036)	212	6	5.83	+	1.03	8.32E-01
intracellular monoatomic cation homeostasis (GO:0030003)	106	3	2.92	+	1.03	7.68E-01
intracellular monoatomic ion homeostasis (GO:0006873)	106	3	2.92	+	1.03	7.68E-01
regulation of biological process (GO:0050789)	3509	99	96.50	+	1.03	7.59E-01
sulfur compound metabolic process (GO:0006790)	71	2	1.95	+	1.02	7.23E-01
synaptic signaling (GO:0099536)	142	4	3.91	+	1.02	7.98E-01
positive regulation of kinase activity (GO:0033674)	71	2	1.95	+	1.02	7.23E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1534	43	42.19	+	1.02	8.67E-01
ameboidal-type cell migration (GO:0001667)	36	1	.99	+	1.01	1.00E00
phosphate-containing compound metabolic process (GO:0006796)	540	15	14.85	+	1.01	8.93E-01
positive regulation of transferase activity (GO:0051347)	72	2	1.98	+	1.01	1.00E00
autophagy of mitochondrion (GO:0000422)	36	1	.99	+	1.01	1.00E00
glycolipid metabolic process (GO:0006664)	36	1	.99	+	1.01	1.00E00
ribonucleotide biosynthetic process (GO:0009260)	36	1	.99	+	1.01	1.00E00
negative regulation of catabolic process (GO:0009895)	36	1	.99	+	1.01	1.00E00
neurotransmitter transport (GO:0006836)	36	1	.99	+	1.01	1.00E00
macromolecule modification (GO:0043412)	830	23	22.83	+	1.01	9.13E-01
regulation of primary metabolic process (GO:0080090)	1553	43	42.71	+	1.01	9.34E-01
protein metabolic process (GO:0019538)	1267	35	34.85	+	1.00	9.28E-01
phosphorus metabolic process (GO:0006793)	543	15	14.93	+	1.00	1.00E00
response to nitrogen compound (GO:1901698)	109	3	3.00	+	1.00	1.00E00
cellular response to stimulus (GO:0051716)	1418	39	39.00	+	1.00	1.00E00
regulation of phosphorus metabolic process (GO:0051174)	182	5	5.01	-	1.00	1.00E00
regulation of phosphate metabolic process (GO:0019220)	182	5	5.01	-	1.00	1.00E00
protein polyubiquitination (GO:0000209)	73	2	2.01	-	1.00	1.00E00
membrane lipid metabolic process (GO:0006643)	73	2	2.01	-	1.00	1.00E00
ribonucleotide metabolic process (GO:0009259)	73	2	2.01	-	1.00	1.00E00
actin filament-based process (GO:0030029)	219	6	6.02	-	1.00	1.00E00
localization within membrane (GO:0051668)	147	4	4.04	-	.99	1.00E00
organophosphate biosynthetic process (GO:0090407)	147	4	4.04	-	.99	1.00E00
regulation of cellular process (GO:0050794)	3314	90	91.14	-	.99	9.50E-01
monoatomic ion transmembrane transport (GO:0034220)	258	7	7.10	-	.99	1.00E00
response to stimulus (GO:0050896)	1550	42	42.63	-	.99	1.00E00
regulation of metabolic process (GO:0019222)	1772	48	48.73	-	.98	1.00E00
regulation of macromolecule metabolic process (GO:0060255)	1664	45	45.76	-	.98	1.00E00
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	37	1	1.02	-	.98	1.00E00
cell division (GO:0051301)	37	1	1.02	-	.98	1.00E00
liposaccharide metabolic process (GO:1903509)	37	1	1.02	-	.98	1.00E00
cell cycle checkpoint signaling (GO:0000075)	37	1	1.02	-	.98	1.00E00
cellular response to stress (GO:0033554)	333	9	9.16	-	.98	1.00E00
chloride transport (GO:0006821)	37	1	1.02	-	.98	1.00E00
response to stress (GO:0006950)	446	12	12.27	-	.98	1.00E00
protein modification process (GO:0036211)	745	20	20.49	-	.98	1.00E00
positive regulation of RNA metabolic process (GO:0051254)	261	7	7.18	-	.98	1.00E00
aromatic compound catabolic process (GO:0019439)	112	3	3.08	-	.97	1.00E00
positive regulation of phosphorylation (GO:0042327)	112	3	3.08	-	.97	1.00E00
biological_process (GO:0008150)	7709	206	212.01	-	.97	4.81E-01
RNA modification (GO:0009451)	75	2	2.06	-	.97	1.00E00
positive regulation of developmental process (GO:0051094)	75	2	2.06	-	.97	1.00E00
heterocycle biosynthetic process (GO:0018130)	188	5	5.17	-	.97	1.00E00
organonitrogen compound metabolic process (GO:1901564)	1584	42	43.56	-	.96	8.69E-01
positive regulation of DNA-templated transcription (GO:0045893)	227	6	6.24	-	.96	1.00E00
positive regulation of RNA biosynthetic process (GO:1902680)	227	6	6.24	-	.96	1.00E00
signal release (GO:0023061)	38	1	1.05	-	.96	1.00E00
proteinogenic amino acid metabolic process (GO:0170039)	38	1	1.05	-	.96	1.00E00
tRNA modification (GO:0006400)	38	1	1.05	-	.96	1.00E00
regulation of MAPK cascade (GO:0043408)	114	3	3.14	-	.96	1.00E00
central nervous system development (GO:0007417)	76	2	2.09	-	.96	1.00E00
regulation of cell cycle phase transition (GO:1901987)	76	2	2.09	-	.96	1.00E00
positive regulation of cell communication (GO:0010647)	191	5	5.25	-	.95	1.00E00
positive regulation of signaling (GO:0023056)	191	5	5.25	-	.95	1.00E00
positive regulation of catalytic activity (GO:0043085)	153	4	4.21	-	.95	1.00E00
aromatic compound biosynthetic process (GO:0019438)	192	5	5.28	-	.95	1.00E00
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1269	33	34.90	-	.95	7.86E-01
small molecule metabolic process (GO:0044281)	386	10	10.62	-	.94	1.00E00
cell-cell signaling (GO:0007267)	232	6	6.38	-	.94	1.00E00
positive regulation of phosphorus metabolic process (GO:0010562)	116	3	3.19	-	.94	1.00E00
positive regulation of phosphate metabolic process (GO:0045937)	116	3	3.19	-	.94	1.00E00
organophosphate metabolic process (GO:0019637)	271	7	7.45	-	.94	1.00E00
monoatomic ion transport (GO:0006811)	310	8	8.53	-	.94	1.00E00
cellular process (GO:0009987)	5614	144	154.40	-	.93	2.61E-01
intracellular chemical homeostasis (GO:0055082)	117	3	3.22	-	.93	1.00E00
organic cyclic compound catabolic process (GO:1901361)	117	3	3.22	-	.93	1.00E00
endocytosis (GO:0006897)	117	3	3.22	-	.93	1.00E00
sphingolipid biosynthetic process (GO:0030148)	39	1	1.07	-	.93	1.00E00
RNA methylation (GO:0001510)	39	1	1.07	-	.93	1.00E00
skeletal system development (GO:0001501)	39	1	1.07	-	.93	1.00E00
ribose phosphate biosynthetic process (GO:0046390)	39	1	1.07	-	.93	1.00E00
energy derivation by oxidation of organic compounds (GO:0015980)	39	1	1.07	-	.93	1.00E00
monoatomic anion transmembrane transport (GO:0098656)	39	1	1.07	-	.93	1.00E00
carboxylic acid metabolic process (GO:0019752)	196	5	5.39	-	.93	1.00E00
glycerophospholipid metabolic process (GO:0006650)	118	3	3.25	-	.92	1.00E00
phospholipid biosynthetic process (GO:0008654)	79	2	2.17	-	.92	1.00E00
glycerolipid biosynthetic process (GO:0045017)	79	2	2.17	-	.92	1.00E00
metal ion transport (GO:0030001)	237	6	6.52	-	.92	1.00E00
ribose phosphate metabolic process (GO:0019693)	79	2	2.17	-	.92	1.00E00
organic acid metabolic process (GO:0006082)	198	5	5.45	-	.92	1.00E00
oxoacid metabolic process (GO:0043436)	198	5	5.45	-	.92	1.00E00
regulation of cellular metabolic process (GO:0031323)	1671	42	45.96	-	.91	5.73E-01
organelle organization (GO:0006996)	957	24	26.32	-	.91	7.57E-01
anatomical structure morphogenesis (GO:0009653)	359	9	9.87	-	.91	1.00E00
regulation of neuron projection development (GO:0010975)	40	1	1.10	-	.91	1.00E00
regulation of transport (GO:0051049)	160	4	4.40	-	.91	1.00E00
RNA 3'-end processing (GO:0031123)	40	1	1.10	-	.91	1.00E00
DNA-templated transcription (GO:0006351)	80	2	2.20	-	.91	1.00E00
axonogenesis (GO:0007409)	120	3	3.30	-	.91	1.00E00
inorganic anion transmembrane transport (GO:0098661)	40	1	1.10	-	.91	1.00E00
spindle organization (GO:0007051)	40	1	1.10	-	.91	1.00E00
Golgi organization (GO:0007030)	40	1	1.10	-	.91	1.00E00
DNA metabolic process (GO:0006259)	240	6	6.60	-	.91	1.00E00
DNA repair (GO:0006281)	163	4	4.48	-	.89	1.00E00
nitrogen compound metabolic process (GO:0006807)	2243	55	61.69	-	.89	3.90E-01
cytokine-mediated signaling pathway (GO:0019221)	41	1	1.13	-	.89	1.00E00
protein ubiquitination (GO:0016567)	164	4	4.51	-	.89	1.00E00
protein-containing complex disassembly (GO:0032984)	41	1	1.13	-	.89	1.00E00
cellular catabolic process (GO:0044248)	287	7	7.89	-	.89	1.00E00
cellular component disassembly (GO:0022411)	82	2	2.26	-	.89	1.00E00
activation of immune response (GO:0002253)	41	1	1.13	-	.89	1.00E00
cell-cell junction organization (GO:0045216)	41	1	1.13	-	.89	1.00E00
regulation of RNA metabolic process (GO:0051252)	1230	30	33.83	-	.89	5.20E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	41	1	1.13	-	.89	1.00E00
RNA biosynthetic process (GO:0032774)	82	2	2.26	-	.89	1.00E00
organonitrogen compound biosynthetic process (GO:1901566)	453	11	12.46	-	.88	7.71E-01
cilium organization (GO:0044782)	124	3	3.41	-	.88	1.00E00
metabolic process (GO:0008152)	2693	65	74.06	-	.88	2.55E-01
cellular component organization (GO:0016043)	1576	38	43.34	-	.88	4.09E-01
small molecule catabolic process (GO:0044282)	83	2	2.28	-	.88	1.00E00
negative regulation of molecular function (GO:0044092)	83	2	2.28	-	.88	1.00E00
cell morphogenesis involved in neuron differentiation (GO:0048667)	125	3	3.44	-	.87	1.00E00
monoatomic cation homeostasis (GO:0055080)	125	3	3.44	-	.87	1.00E00
actin filament organization (GO:0007015)	125	3	3.44	-	.87	1.00E00
regulation of gene expression (GO:0010468)	1420	34	39.05	-	.87	4.36E-01
regulation of secretion by cell (GO:1903530)	42	1	1.16	-	.87	1.00E00
amino acid transmembrane transport (GO:0003333)	42	1	1.16	-	.87	1.00E00
vesicle fusion (GO:0006906)	42	1	1.16	-	.87	1.00E00
transmembrane transport (GO:0055085)	421	10	11.58	-	.86	7.62E-01
organic cyclic compound biosynthetic process (GO:1901362)	211	5	5.80	-	.86	1.00E00
organic substance metabolic process (GO:0071704)	2575	61	70.82	-	.86	1.96E-01
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	169	4	4.65	-	.86	1.00E00
cell migration (GO:0016477)	169	4	4.65	-	.86	1.00E00
positive regulation of signal transduction (GO:0009967)	169	4	4.65	-	.86	1.00E00
primary metabolic process (GO:0044238)	2451	58	67.41	-	.86	2.12E-01
monoatomic cation transport (GO:0006812)	254	6	6.99	-	.86	8.47E-01
regulation of macromolecule biosynthetic process (GO:0010556)	1440	34	39.60	-	.86	3.90E-01
regulation of molecular function (GO:0065009)	339	8	9.32	-	.86	8.65E-01
