




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	for.delta_af.windows.1percent.genenames.txt (Gallus gallus)
Reference List:	background_genes.fst.txt (Gallus gallus)
Test Type:	FISHER
Correction:	NONE
PANTHER GO-Slim Biological Process	background_genes.fst.txt - REFLIST (11890)	for.delta_af.windows.1percent.genenames.txt (262)	for.delta_af.windows.1percent.genenames.txt (expected)	for.delta_af.windows.1percent.genenames.txt (over/under)	for.delta_af.windows.1percent.genenames.txt (fold Enrichment)	for.delta_af.windows.1percent.genenames.txt (raw P-value)
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	92	3	2.03	+	1.48	4.58E-01
RNA splicing, via transesterification reactions (GO:0000375)	92	3	2.03	+	1.48	4.58E-01
regulation of response to stimulus (GO:0048583)	523	17	11.52	+	1.48	9.45E-02
purine ribonucleotide biosynthetic process (GO:0009152)	31	1	.68	+	1.46	4.99E-01
negative regulation of protein kinase activity (GO:0006469)	31	1	.68	+	1.46	4.99E-01
regulation of canonical NF-kappaB signal transduction (GO:0043122)	31	1	.68	+	1.46	4.99E-01
chromatin remodeling (GO:0006338)	93	3	2.05	+	1.46	4.62E-01
positive regulation of apoptotic process (GO:0043065)	31	1	.68	+	1.46	4.99E-01
muscle contraction (GO:0006936)	31	1	.68	+	1.46	4.99E-01
response to starvation (GO:0042594)	31	1	.68	+	1.46	4.99E-01
inorganic ion homeostasis (GO:0098771)	94	3	2.07	+	1.45	4.65E-01
negative regulation of cell communication (GO:0010648)	157	5	3.46	+	1.45	4.01E-01
negative regulation of signaling (GO:0023057)	157	5	3.46	+	1.45	4.01E-01
protein-containing complex organization (GO:0043933)	314	10	6.92	+	1.45	2.37E-01
negative regulation of cellular component organization (GO:0051129)	63	2	1.39	+	1.44	4.06E-01
cellular response to hormone stimulus (GO:0032870)	63	2	1.39	+	1.44	4.06E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	191	6	4.21	+	1.43	3.19E-01
phospholipid dephosphorylation (GO:0046839)	32	1	.71	+	1.42	5.10E-01
muscle system process (GO:0003012)	32	1	.71	+	1.42	5.10E-01
positive regulation of programmed cell death (GO:0043068)	32	1	.71	+	1.42	5.10E-01
autophagy (GO:0006914)	64	2	1.41	+	1.42	6.53E-01
nucleoside phosphate catabolic process (GO:1901292)	32	1	.71	+	1.42	5.10E-01
process utilizing autophagic mechanism (GO:0061919)	64	2	1.41	+	1.42	6.53E-01
positive regulation of intracellular signal transduction (GO:1902533)	130	4	2.86	+	1.40	5.37E-01
protein targeting (GO:0006605)	65	2	1.43	+	1.40	6.55E-01
modification-dependent protein catabolic process (GO:0019941)	197	6	4.34	+	1.38	4.55E-01
purine ribonucleotide metabolic process (GO:0009150)	66	2	1.45	+	1.38	6.58E-01
negative regulation of protein phosphorylation (GO:0001933)	33	1	.73	+	1.38	5.21E-01
cellular respiration (GO:0045333)	33	1	.73	+	1.38	5.21E-01
non-membrane-bounded organelle assembly (GO:0140694)	99	3	2.18	+	1.38	4.82E-01
action potential (GO:0001508)	33	1	.73	+	1.38	5.21E-01
negative regulation of phosphorylation (GO:0042326)	33	1	.73	+	1.38	5.21E-01
chloride transmembrane transport (GO:1902476)	33	1	.73	+	1.38	5.21E-01
DNA-templated transcription initiation (GO:0006352)	33	1	.73	+	1.38	5.21E-01
purine-containing compound metabolic process (GO:0072521)	99	3	2.18	+	1.38	4.82E-01
epigenetic regulation of gene expression (GO:0040029)	33	1	.73	+	1.38	5.21E-01
regulation of defense response (GO:0031347)	33	1	.73	+	1.38	5.21E-01
modification-dependent macromolecule catabolic process (GO:0043632)	200	6	4.41	+	1.36	4.58E-01
protein maturation (GO:0051604)	167	5	3.68	+	1.36	4.21E-01
positive regulation of protein phosphorylation (GO:0001934)	67	2	1.48	+	1.35	6.60E-01
RNA splicing (GO:0008380)	102	3	2.25	+	1.33	4.93E-01
positive regulation of mRNA metabolic process (GO:1903313)	34	1	.75	+	1.33	5.32E-01
G protein-coupled receptor signaling pathway (GO:0007186)	238	7	5.24	+	1.33	3.72E-01
neuron development (GO:0048666)	205	6	4.52	+	1.33	4.64E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	103	3	2.27	+	1.32	4.97E-01
inorganic cation transmembrane transport (GO:0098662)	206	6	4.54	+	1.32	4.66E-01
monoatomic cation transmembrane transport (GO:0098655)	206	6	4.54	+	1.32	4.66E-01
tissue development (GO:0009888)	138	4	3.04	+	1.32	5.50E-01
negative regulation of cellular process (GO:0048523)	693	20	15.27	+	1.31	2.28E-01
response to extracellular stimulus (GO:0009991)	35	1	.77	+	1.30	5.42E-01
response to nutrient levels (GO:0031667)	35	1	.77	+	1.30	5.42E-01
negative regulation of biological process (GO:0048519)	741	21	16.33	+	1.29	2.43E-01
nuclear division (GO:0000280)	71	2	1.56	+	1.28	6.71E-01
positive regulation of kinase activity (GO:0033674)	71	2	1.56	+	1.28	6.71E-01
calcium ion transport (GO:0006816)	71	2	1.56	+	1.28	6.71E-01
mitochondrial transmembrane transport (GO:1990542)	36	1	.79	+	1.26	5.52E-01
endomembrane system organization (GO:0010256)	108	3	2.38	+	1.26	5.16E-01
positive regulation of transferase activity (GO:0051347)	72	2	1.59	+	1.26	6.73E-01
autophagy of mitochondrion (GO:0000422)	36	1	.79	+	1.26	5.52E-01
glycolipid metabolic process (GO:0006664)	36	1	.79	+	1.26	5.52E-01
positive regulation of protein modification process (GO:0031401)	72	2	1.59	+	1.26	6.73E-01
ribonucleotide biosynthetic process (GO:0009260)	36	1	.79	+	1.26	5.52E-01
negative regulation of catabolic process (GO:0009895)	36	1	.79	+	1.26	5.52E-01
protein polyubiquitination (GO:0000209)	73	2	1.61	+	1.24	6.76E-01
ribonucleotide metabolic process (GO:0009259)	73	2	1.61	+	1.24	6.76E-01
negative regulation of phosphorus metabolic process (GO:0010563)	37	1	.82	+	1.23	5.62E-01
blood vessel development (GO:0001568)	37	1	.82	+	1.23	5.62E-01
cell division (GO:0051301)	37	1	.82	+	1.23	5.62E-01
negative regulation of phosphate metabolic process (GO:0045936)	37	1	.82	+	1.23	5.62E-01
liposaccharide metabolic process (GO:1903509)	37	1	.82	+	1.23	5.62E-01
sexual reproduction (GO:0019953)	74	2	1.63	+	1.23	6.79E-01
cellular response to stress (GO:0033554)	333	9	7.34	+	1.23	4.51E-01
chloride transport (GO:0006821)	37	1	.82	+	1.23	5.62E-01
import into cell (GO:0098657)	186	5	4.10	+	1.22	6.09E-01
proteolysis (GO:0006508)	373	10	8.22	+	1.22	4.73E-01
positive regulation of phosphorylation (GO:0042327)	112	3	2.47	+	1.22	7.39E-01
mRNA processing (GO:0006397)	113	3	2.49	+	1.20	7.40E-01
regulation of molecular function (GO:0065009)	339	9	7.47	+	1.20	5.70E-01
neuron projection development (GO:0031175)	189	5	4.16	+	1.20	6.13E-01
amide metabolic process (GO:0043603)	227	6	5.00	+	1.20	6.43E-01
vasculature development (GO:0001944)	38	1	.84	+	1.19	5.72E-01
neuron differentiation (GO:0030182)	268	7	5.91	+	1.19	6.70E-01
reproductive process (GO:0022414)	77	2	1.70	+	1.18	6.88E-01
organic hydroxy compound metabolic process (GO:1901615)	77	2	1.70	+	1.18	6.88E-01
reproduction (GO:0000003)	77	2	1.70	+	1.18	6.88E-01
cell-cell signaling (GO:0007267)	232	6	5.11	+	1.17	6.48E-01
positive regulation of phosphorus metabolic process (GO:0010562)	116	3	2.56	+	1.17	7.44E-01
positive regulation of phosphate metabolic process (GO:0045937)	116	3	2.56	+	1.17	7.44E-01
positive regulation of cellular process (GO:0048522)	813	21	17.91	+	1.17	4.56E-01
response to hormone (GO:0009725)	78	2	1.72	+	1.16	6.91E-01
regulation of trans-synaptic signaling (GO:0099177)	78	2	1.72	+	1.16	6.91E-01
ribose phosphate biosynthetic process (GO:0046390)	39	1	.86	+	1.16	5.81E-01
energy derivation by oxidation of organic compounds (GO:0015980)	39	1	.86	+	1.16	5.81E-01
modulation of chemical synaptic transmission (GO:0050804)	78	2	1.72	+	1.16	6.91E-01
monoatomic anion transmembrane transport (GO:0098656)	39	1	.86	+	1.16	5.81E-01
regulation of anatomical structure morphogenesis (GO:0022603)	78	2	1.72	+	1.16	6.91E-01
metal ion transport (GO:0030001)	237	6	5.22	+	1.15	6.53E-01
fatty acid metabolic process (GO:0006631)	79	2	1.74	+	1.15	6.94E-01
ribose phosphate metabolic process (GO:0019693)	79	2	1.74	+	1.15	6.94E-01
regulation of protein kinase activity (GO:0045859)	79	2	1.74	+	1.15	6.94E-01
inorganic ion transmembrane transport (GO:0098660)	239	6	5.27	+	1.14	6.55E-01
regulation of cell adhesion (GO:0030155)	40	1	.88	+	1.13	5.90E-01
generation of neurons (GO:0048699)	280	7	6.17	+	1.13	6.78E-01
DNA-templated transcription (GO:0006351)	80	2	1.76	+	1.13	6.97E-01
inorganic anion transmembrane transport (GO:0098661)	40	1	.88	+	1.13	5.90E-01
plasma membrane bounded cell projection organization (GO:0120036)	321	8	7.07	+	1.13	6.97E-01
cellular component organization (GO:0016043)	1576	39	34.73	+	1.12	4.08E-01
organelle fission (GO:0048285)	81	2	1.78	+	1.12	7.00E-01
regulation of protein phosphorylation (GO:0001932)	122	3	2.69	+	1.12	7.52E-01
mRNA metabolic process (GO:0016071)	163	4	3.59	+	1.11	7.84E-01
positive regulation of biological process (GO:0048518)	899	22	19.81	+	1.11	5.56E-01
cell projection organization (GO:0030030)	327	8	7.21	+	1.11	7.01E-01
regulation of kinase activity (GO:0043549)	123	3	2.71	+	1.11	7.53E-01
proteolysis involved in protein catabolic process (GO:0051603)	246	6	5.42	+	1.11	6.64E-01
activation of immune response (GO:0002253)	41	1	.90	+	1.11	6.00E-01
chromosome segregation (GO:0007059)	82	2	1.81	+	1.11	7.03E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	41	1	.90	+	1.11	6.00E-01
RNA biosynthetic process (GO:0032774)	82	2	1.81	+	1.11	7.03E-01
cilium organization (GO:0044782)	124	3	2.73	+	1.10	7.55E-01
cell morphogenesis involved in neuron differentiation (GO:0048667)	125	3	2.75	+	1.09	7.57E-01
monoatomic cation homeostasis (GO:0055080)	125	3	2.75	+	1.09	7.57E-01
regulation of phosphorylation (GO:0042325)	167	4	3.68	+	1.09	7.88E-01
regulation of transferase activity (GO:0051338)	126	3	2.78	+	1.08	7.58E-01
amino acid transmembrane transport (GO:0003333)	42	1	.93	+	1.08	6.08E-01
vesicle fusion (GO:0006906)	42	1	.93	+	1.08	6.08E-01
monoatomic cation transport (GO:0006812)	254	6	5.60	+	1.07	8.27E-01
protein catabolic process (GO:0030163)	256	6	5.64	+	1.06	8.28E-01
monoatomic ion homeostasis (GO:0050801)	128	3	2.82	+	1.06	7.61E-01
cellular component organization or biogenesis (GO:0071840)	1671	39	36.82	+	1.06	6.54E-01
monoatomic ion transmembrane transport (GO:0034220)	258	6	5.69	+	1.06	8.29E-01
negative regulation of protein modification process (GO:0031400)	43	1	.95	+	1.06	6.17E-01
organelle membrane fusion (GO:0090174)	43	1	.95	+	1.06	6.17E-01
mitochondrial transport (GO:0006839)	43	1	.95	+	1.06	6.17E-01
nucleic acid metabolic process (GO:0090304)	689	16	15.18	+	1.05	7.89E-01
organelle assembly (GO:0070925)	260	6	5.73	+	1.05	8.30E-01
neurogenesis (GO:0022008)	304	7	6.70	+	1.04	8.42E-01
nucleobase-containing compound metabolic process (GO:0006139)	830	19	18.29	+	1.04	8.07E-01
protein glycosylation (GO:0006486)	88	2	1.94	+	1.03	7.21E-01
mRNA catabolic process (GO:0006402)	44	1	.97	+	1.03	6.26E-01
organophosphate catabolic process (GO:0046434)	44	1	.97	+	1.03	6.26E-01
macromolecule glycosylation (GO:0043413)	88	2	1.94	+	1.03	7.21E-01
autophagosome assembly (GO:0000045)	44	1	.97	+	1.03	6.26E-01
animal organ morphogenesis (GO:0009887)	88	2	1.94	+	1.03	7.21E-01
monoatomic anion transport (GO:0006820)	44	1	.97	+	1.03	6.26E-01
Unclassified (UNCLASSIFIED)	4181	95	92.13	+	1.03	6.95E-01
biological regulation (GO:0065007)	3708	84	81.71	+	1.03	7.87E-01
regulation of multicellular organismal process (GO:0051239)	177	4	3.90	+	1.03	7.98E-01
cell morphogenesis (GO:0000902)	177	4	3.90	+	1.03	7.98E-01
purine nucleotide metabolic process (GO:0006163)	89	2	1.96	+	1.02	7.24E-01
nervous system development (GO:0007399)	403	9	8.88	+	1.01	8.63E-01
macromolecule catabolic process (GO:0009057)	314	7	6.92	+	1.01	8.47E-01
circulatory system development (GO:0072359)	90	2	1.98	+	1.01	1.00E00
phosphatidylinositol metabolic process (GO:0046488)	90	2	1.98	+	1.01	1.00E00
proteasomal protein catabolic process (GO:0010498)	136	3	3.00	+	1.00	1.00E00
regulation of phosphorus metabolic process (GO:0051174)	182	4	4.01	-	1.00	1.00E00
regulation of phosphate metabolic process (GO:0019220)	182	4	4.01	-	1.00	1.00E00
dephosphorylation (GO:0016311)	91	2	2.01	-	1.00	1.00E00
response to stimulus (GO:0050896)	1550	34	34.15	-	1.00	1.00E00
organonitrogen compound catabolic process (GO:1901565)	365	8	8.04	-	.99	1.00E00
heterocycle metabolic process (GO:0046483)	872	19	19.21	-	.99	1.00E00
positive regulation of cellular component organization (GO:0051130)	92	2	2.03	-	.99	1.00E00
organelle disassembly (GO:1903008)	46	1	1.01	-	.99	1.00E00
purine nucleotide biosynthetic process (GO:0006164)	46	1	1.01	-	.99	1.00E00
protein folding (GO:0006457)	92	2	2.03	-	.99	1.00E00
nucleobase-containing compound catabolic process (GO:0034655)	92	2	2.03	-	.99	1.00E00
positive regulation of cellular catabolic process (GO:0031331)	46	1	1.01	-	.99	1.00E00
biological_process (GO:0008150)	7709	167	169.87	-	.98	6.95E-01
regulation of biological process (GO:0050789)	3509	76	77.32	-	.98	8.91E-01
cellular aromatic compound metabolic process (GO:0006725)	880	19	19.39	-	.98	1.00E00
response to external stimulus (GO:0009605)	139	3	3.06	-	.98	1.00E00
double-strand break repair (GO:0006302)	93	2	2.05	-	.98	1.00E00
anatomical structure development (GO:0048856)	885	19	19.50	-	.97	1.00E00
catabolic process (GO:0009056)	562	12	12.38	-	.97	1.00E00
nucleobase-containing small molecule metabolic process (GO:0055086)	141	3	3.11	-	.97	1.00E00
regulation of cellular process (GO:0050794)	3314	70	73.03	-	.96	7.28E-01
cellular nitrogen compound metabolic process (GO:0034641)	996	21	21.95	-	.96	9.10E-01
multicellular organism development (GO:0007275)	667	14	14.70	-	.95	1.00E00
regulation of protein modification process (GO:0031399)	143	3	3.15	-	.95	1.00E00
regulation of organelle organization (GO:0033043)	191	4	4.21	-	.95	1.00E00
organelle organization (GO:0006996)	957	20	21.09	-	.95	9.09E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	48	1	1.06	-	.95	1.00E00
RNA catabolic process (GO:0006401)	48	1	1.06	-	.95	1.00E00
positive regulation of cell migration (GO:0030335)	48	1	1.06	-	.95	1.00E00
vesicle organization (GO:0016050)	96	2	2.12	-	.95	1.00E00
regulation of response to external stimulus (GO:0032101)	48	1	1.06	-	.95	1.00E00
organic cyclic compound metabolic process (GO:1901360)	919	19	20.25	-	.94	9.07E-01
regulation of immune system process (GO:0002682)	97	2	2.14	-	.94	1.00E00
cell surface receptor signaling pathway (GO:0007166)	439	9	9.67	-	.93	1.00E00
animal organ development (GO:0048513)	293	6	6.46	-	.93	1.00E00
nuclear export (GO:0051168)	49	1	1.08	-	.93	1.00E00
transcription by RNA polymerase II (GO:0006366)	49	1	1.08	-	.93	1.00E00
inorganic anion transport (GO:0015698)	49	1	1.08	-	.93	1.00E00
membrane fusion (GO:0061025)	49	1	1.08	-	.93	1.00E00
homeostatic process (GO:0042592)	196	4	4.32	-	.93	1.00E00
regulation of cellular catabolic process (GO:0031329)	98	2	2.16	-	.93	1.00E00
microtubule-based process (GO:0007017)	246	5	5.42	-	.92	1.00E00
cellular process (GO:0009987)	5614	114	123.71	-	.92	2.35E-01
system development (GO:0048731)	546	11	12.03	-	.91	8.82E-01
lipoprotein biosynthetic process (GO:0042158)	50	1	1.10	-	.91	1.00E00
protein lipidation (GO:0006497)	50	1	1.10	-	.91	1.00E00
protein dephosphorylation (GO:0006470)	50	1	1.10	-	.91	1.00E00
establishment or maintenance of cell polarity (GO:0007163)	50	1	1.10	-	.91	1.00E00
positive regulation of immune response (GO:0050778)	50	1	1.10	-	.91	1.00E00
cell development (GO:0048468)	300	6	6.61	-	.91	1.00E00
cellular response to stimulus (GO:0051716)	1418	28	31.25	-	.90	6.29E-01
cell communication (GO:0007154)	1270	25	27.98	-	.89	6.13E-01
heart development (GO:0007507)	51	1	1.12	-	.89	1.00E00
positive regulation of cell motility (GO:2000147)	51	1	1.12	-	.89	1.00E00
purine-containing compound biosynthetic process (GO:0072522)	51	1	1.12	-	.89	1.00E00
positive regulation of locomotion (GO:0040017)	51	1	1.12	-	.89	1.00E00
carbohydrate derivative biosynthetic process (GO:1901137)	205	4	4.52	-	.89	1.00E00
monoatomic ion transport (GO:0006811)	310	6	6.83	-	.88	1.00E00
signaling (GO:0023052)	1244	24	27.41	-	.88	5.41E-01
cellular metabolic process (GO:0044237)	2079	40	45.81	-	.87	3.66E-01
protein localization to membrane (GO:0072657)	104	2	2.29	-	.87	1.00E00
regulation of mRNA stability (GO:0043488)	52	1	1.15	-	.87	1.00E00
organic acid transmembrane transport (GO:1903825)	52	1	1.15	-	.87	1.00E00
carboxylic acid transmembrane transport (GO:1905039)	52	1	1.15	-	.87	1.00E00
developmental process (GO:0032502)	997	19	21.97	-	.86	5.74E-01
nucleotide metabolic process (GO:0009117)	105	2	2.31	-	.86	1.00E00
multicellular organismal process (GO:0032501)	840	16	18.51	-	.86	6.26E-01
transmembrane transport (GO:0055085)	421	8	9.28	-	.86	8.65E-01
regulation of biological quality (GO:0065008)	421	8	9.28	-	.86	8.65E-01
cellular nitrogen compound catabolic process (GO:0044270)	106	2	2.34	-	.86	1.00E00
regulation of RNA stability (GO:0043487)	53	1	1.17	-	.86	1.00E00
heterocycle catabolic process (GO:0046700)	106	2	2.34	-	.86	1.00E00
phosphatidylinositol biosynthetic process (GO:0006661)	53	1	1.17	-	.86	1.00E00
establishment of protein localization to membrane (GO:0090150)	53	1	1.17	-	.86	1.00E00
macromolecule metabolic process (GO:0043170)	1962	37	43.23	-	.86	3.14E-01
cellular component assembly (GO:0022607)	534	10	11.77	-	.85	7.62E-01
regulation of RNA metabolic process (GO:0051252)	1230	23	27.10	-	.85	4.72E-01
regulation of primary metabolic process (GO:0080090)	1553	29	34.22	-	.85	4.03E-01
macromolecule localization (GO:0033036)	538	10	11.86	-	.84	7.63E-01
metabolic process (GO:0008152)	2693	50	59.34	-	.84	1.79E-01
regulation of protein metabolic process (GO:0051246)	270	5	5.95	-	.84	1.00E00
cellular response to endogenous stimulus (GO:0071495)	163	3	3.59	-	.84	1.00E00
negative regulation of nitrogen compound metabolic process (GO:0051172)	272	5	5.99	-	.83	8.36E-01
protein transport (GO:0015031)	218	4	4.80	-	.83	1.00E00
cilium assembly (GO:0060271)	109	2	2.40	-	.83	1.00E00
monocarboxylic acid metabolic process (GO:0032787)	109	2	2.40	-	.83	1.00E00
negative regulation of macromolecule biosynthetic process (GO:0010558)	273	5	6.02	-	.83	8.36E-01
protein ubiquitination (GO:0016567)	164	3	3.61	-	.83	1.00E00
organic substance catabolic process (GO:1901575)	493	9	10.86	-	.83	7.53E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1534	28	33.80	-	.83	3.06E-01
cell differentiation (GO:0030154)	603	11	13.29	-	.83	6.68E-01
cellular developmental process (GO:0048869)	603	11	13.29	-	.83	6.68E-01
canonical Wnt signaling pathway (GO:0060070)	55	1	1.21	-	.83	1.00E00
organelle fusion (GO:0048284)	55	1	1.21	-	.83	1.00E00
regulation of mRNA catabolic process (GO:0061013)	55	1	1.21	-	.83	1.00E00
apoptotic process (GO:0006915)	55	1	1.21	-	.83	1.00E00
negative regulation of biosynthetic process (GO:0009890)	275	5	6.06	-	.83	8.36E-01
negative regulation of cellular biosynthetic process (GO:0031327)	275	5	6.06	-	.83	8.36E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1269	23	27.96	-	.82	3.62E-01
intracellular protein transport (GO:0006886)	166	3	3.66	-	.82	1.00E00
regulation of macromolecule biosynthetic process (GO:0010556)	1440	26	31.73	-	.82	2.94E-01
establishment of localization in cell (GO:0051649)	499	9	11.00	-	.82	6.41E-01
localization (GO:0051179)	1443	26	31.80	-	.82	2.93E-01
immune system process (GO:0002376)	111	2	2.45	-	.82	1.00E00
ribonucleoprotein complex biogenesis (GO:0022613)	167	3	3.68	-	.82	1.00E00
regulation of cellular biosynthetic process (GO:0031326)	1448	26	31.91	-	.81	2.93E-01
regulation of cellular metabolic process (GO:0031323)	1671	30	36.82	-	.81	2.43E-01
primary metabolic process (GO:0044238)	2451	44	54.01	-	.81	1.42E-01
regulation of biosynthetic process (GO:0009889)	1453	26	32.02	-	.81	2.94E-01
lipoprotein metabolic process (GO:0042157)	56	1	1.23	-	.81	1.00E00
aromatic compound catabolic process (GO:0019439)	112	2	2.47	-	.81	1.00E00
regulation of cellular component size (GO:0032535)	56	1	1.23	-	.81	1.00E00
signal transduction (GO:0007165)	1121	20	24.70	-	.81	3.91E-01
nitrogen compound metabolic process (GO:0006807)	2243	40	49.43	-	.81	1.50E-01
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	169	3	3.72	-	.81	1.00E00
chemical homeostasis (GO:0048878)	169	3	3.72	-	.81	1.00E00
nucleobase-containing compound biosynthetic process (GO:0034654)	169	3	3.72	-	.81	1.00E00
nucleoside phosphate metabolic process (GO:0006753)	113	2	2.49	-	.80	1.00E00
establishment of protein localization to organelle (GO:0072594)	113	2	2.49	-	.80	1.00E00
glycoprotein biosynthetic process (GO:0009101)	114	2	2.51	-	.80	1.00E00
membrane lipid biosynthetic process (GO:0046467)	57	1	1.26	-	.80	1.00E00
Wnt signaling pathway (GO:0016055)	57	1	1.26	-	.80	1.00E00
amino acid transport (GO:0006865)	57	1	1.26	-	.80	1.00E00
regulation of metabolic process (GO:0019222)	1772	31	39.05	-	.79	1.88E-01
regulation of macromolecule metabolic process (GO:0060255)	1664	29	36.67	-	.79	1.78E-01
regulation of cellular component organization (GO:0051128)	287	5	6.32	-	.79	8.37E-01
cellular catabolic process (GO:0044248)	287	5	6.32	-	.79	8.37E-01
negative regulation of gene expression (GO:0010629)	115	2	2.53	-	.79	1.00E00
gene expression (GO:0010467)	691	12	15.23	-	.79	5.03E-01
nucleotide biosynthetic process (GO:0009165)	58	1	1.28	-	.78	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	58	1	1.28	-	.78	1.00E00
regulation of cellular component biogenesis (GO:0044087)	116	2	2.56	-	.78	1.00E00
negative regulation of cellular metabolic process (GO:0031324)	348	6	7.67	-	.78	7.10E-01
organic cyclic compound catabolic process (GO:1901361)	117	2	2.58	-	.78	1.00E00
organic substance metabolic process (GO:0071704)	2575	44	56.74	-	.78	5.77E-02
macromolecule biosynthetic process (GO:0009059)	879	15	19.37	-	.77	3.40E-01
regulation of DNA-templated transcription (GO:0006355)	1114	19	24.55	-	.77	2.83E-01
regulation of RNA biosynthetic process (GO:2001141)	1114	19	24.55	-	.77	2.83E-01
cellular lipid metabolic process (GO:0044255)	294	5	6.48	-	.77	6.89E-01
glycerophospholipid metabolic process (GO:0006650)	118	2	2.60	-	.77	1.00E00
intracellular transport (GO:0046907)	413	7	9.10	-	.77	6.08E-01
nucleoside phosphate biosynthetic process (GO:1901293)	59	1	1.30	-	.77	1.00E00
plasma membrane bounded cell projection assembly (GO:0120031)	118	2	2.60	-	.77	1.00E00
response to endoplasmic reticulum stress (GO:0034976)	59	1	1.30	-	.77	1.00E00
cell-cell signaling by wnt (GO:0198738)	59	1	1.30	-	.77	1.00E00
regulation of gene expression (GO:0010468)	1420	24	31.29	-	.77	1.77E-01
response to endogenous stimulus (GO:0009719)	178	3	3.92	-	.76	1.00E00
Golgi vesicle transport (GO:0048193)	119	2	2.62	-	.76	1.00E00
programmed cell death (GO:0012501)	60	1	1.32	-	.76	1.00E00
cell death (GO:0008219)	60	1	1.32	-	.76	1.00E00
regulation of actin filament organization (GO:0110053)	60	1	1.32	-	.76	1.00E00
negative regulation of catalytic activity (GO:0043086)	60	1	1.32	-	.76	1.00E00
protein metabolic process (GO:0019538)	1267	21	27.92	-	.75	1.87E-01
cellular localization (GO:0051641)	725	12	15.98	-	.75	3.60E-01
negative regulation of macromolecule metabolic process (GO:0010605)	364	6	8.02	-	.75	5.87E-01
regulation of intracellular signal transduction (GO:1902531)	243	4	5.35	-	.75	8.23E-01
cellular macromolecule localization (GO:0070727)	426	7	9.39	-	.75	5.04E-01
protein localization (GO:0008104)	426	7	9.39	-	.75	5.04E-01
translation (GO:0006412)	122	2	2.69	-	.74	1.00E00
lipid modification (GO:0030258)	61	1	1.34	-	.74	1.00E00
carbohydrate derivative metabolic process (GO:1901135)	307	5	6.76	-	.74	6.91E-01
positive regulation of cell population proliferation (GO:0008284)	62	1	1.37	-	.73	1.00E00
peptide biosynthetic process (GO:0043043)	125	2	2.75	-	.73	1.00E00
heterocycle biosynthetic process (GO:0018130)	188	3	4.14	-	.72	8.02E-01
negative regulation of metabolic process (GO:0009892)	376	6	8.29	-	.72	5.90E-01
vacuole organization (GO:0007033)	63	1	1.39	-	.72	1.00E00
cellular component biogenesis (GO:0044085)	631	10	13.90	-	.72	3.30E-01
protein modification by small protein conjugation (GO:0032446)	190	3	4.19	-	.72	8.02E-01
vesicle-mediated transport (GO:0016192)	444	7	9.78	-	.72	5.07E-01
aromatic compound biosynthetic process (GO:0019438)	192	3	4.23	-	.71	8.02E-01
generation of precursor metabolites and energy (GO:0006091)	64	1	1.41	-	.71	1.00E00
cell projection assembly (GO:0030031)	128	2	2.82	-	.71	1.00E00
small molecule metabolic process (GO:0044281)	386	6	8.51	-	.71	4.81E-01
transport (GO:0006810)	1231	19	27.13	-	.70	1.01E-01
RNA metabolic process (GO:0016070)	459	7	10.11	-	.69	4.15E-01
establishment of protein localization (GO:0045184)	263	4	5.80	-	.69	6.68E-01
glycoprotein metabolic process (GO:0009100)	132	2	2.91	-	.69	1.00E00
import across plasma membrane (GO:0098739)	66	1	1.45	-	.69	1.00E00
organonitrogen compound metabolic process (GO:1901564)	1584	24	34.90	-	.69	4.32E-02
lipid metabolic process (GO:0006629)	333	5	7.34	-	.68	5.66E-01
regulation of anatomical structure size (GO:0090066)	67	1	1.48	-	.68	1.00E00
positive regulation of protein metabolic process (GO:0051247)	134	2	2.95	-	.68	1.00E00
glycerolipid metabolic process (GO:0046486)	135	2	2.97	-	.67	7.72E-01
organophosphate metabolic process (GO:0019637)	271	4	5.97	-	.67	5.32E-01
positive regulation of immune system process (GO:0002684)	68	1	1.50	-	.67	1.00E00
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	68	1	1.50	-	.67	1.00E00
positive regulation of MAPK cascade (GO:0043410)	68	1	1.50	-	.67	1.00E00
cellular response to nitrogen compound (GO:1901699)	68	1	1.50	-	.67	1.00E00
regulation of catabolic process (GO:0009894)	136	2	3.00	-	.67	7.72E-01
regulation of transcription by RNA polymerase II (GO:0006357)	953	14	21.00	-	.67	1.33E-01
establishment of localization (GO:0051234)	1296	19	28.56	-	.67	5.65E-02
enzyme-linked receptor protein signaling pathway (GO:0007167)	206	3	4.54	-	.66	6.33E-01
nitrogen compound transport (GO:0071705)	345	5	7.60	-	.66	4.54E-01
glycerophospholipid biosynthetic process (GO:0046474)	69	1	1.52	-	.66	1.00E00
