PANTHER GO-Slim Biological Process	background_genes.thetas.txt - REFLIST (11894)	(457)	(expected)	(over/under)	(fold Enrichment)	P-value
regulation of endopeptidase activity (GO:0052548)	41	3	1.58	+	1.90	2.08E-01
cell-cell junction organization (GO:0045216)	41	3	1.58	+	1.90	2.08E-01
nuclear-transcribed mRNA catabolic process (GO:0000956)	41	3	1.58	+	1.90	2.08E-01
regulation of mRNA catabolic process (GO:0061013)	55	4	2.11	+	1.89	1.60E-01
intracellular protein transport (GO:0006886)	166	12	6.38	+	1.88	3.75E-02
mitotic cytokinesis (GO:0000281)	14	1	.54	+	1.86	4.22E-01
regulation of cell shape (GO:0008360)	28	2	1.08	+	1.86	2.93E-01
endosome to lysosome transport (GO:0008333)	14	1	.54	+	1.86	4.22E-01
glutathione metabolic process (GO:0006749)	14	1	.54	+	1.86	4.22E-01
protein peptidyl-prolyl isomerization (GO:0000413)	14	1	.54	+	1.86	4.22E-01
glycosaminoglycan biosynthetic process (GO:0006024)	14	1	.54	+	1.86	4.22E-01
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	14	1	.54	+	1.86	4.22E-01
regulation of peptidase activity (GO:0052547)	42	3	1.61	+	1.86	2.18E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	42	3	1.61	+	1.86	2.18E-01
amino acid transmembrane transport (GO:0003333)	42	3	1.61	+	1.86	2.18E-01
establishment of protein localization to organelle (GO:0072594)	113	8	4.34	+	1.84	8.10E-02
membrane lipid biosynthetic process (GO:0046467)	57	4	2.19	+	1.83	2.82E-01
microtubule-based movement (GO:0007018)	100	7	3.84	+	1.82	1.10E-01
negative regulation of protein modification process (GO:0031400)	43	3	1.65	+	1.82	2.28E-01
positive regulation of mRNA catabolic process (GO:0061014)	29	2	1.11	+	1.79	3.07E-01
glycolipid biosynthetic process (GO:0009247)	29	2	1.11	+	1.79	3.07E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	29	2	1.11	+	1.79	3.07E-01
positive regulation of response to external stimulus (GO:0032103)	29	2	1.11	+	1.79	3.07E-01
endocytic recycling (GO:0032456)	29	2	1.11	+	1.79	3.07E-01
intracellular chemical homeostasis (GO:0055082)	117	8	4.50	+	1.78	9.11E-02
cell-substrate adhesion (GO:0031589)	44	3	1.69	+	1.77	2.38E-01
regulation of cellular response to growth factor stimulus (GO:0090287)	44	3	1.69	+	1.77	2.38E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	191	13	7.34	+	1.77	5.33E-02
cell adhesion (GO:0007155)	221	15	8.49	+	1.77	3.16E-02
regulation of monoatomic ion transmembrane transport (GO:0034765)	59	4	2.27	+	1.76	2.89E-01
regulation of immune response (GO:0050776)	59	4	2.27	+	1.76	2.89E-01
purine nucleotide metabolic process (GO:0006163)	89	6	3.42	+	1.75	1.57E-01
regulation of mRNA metabolic process (GO:1903311)	89	6	3.42	+	1.75	1.57E-01
nucleotide metabolic process (GO:0009117)	105	7	4.03	+	1.74	1.25E-01
protein localization to cilium (GO:0061512)	15	1	.58	+	1.74	4.45E-01
fatty acid catabolic process (GO:0009062)	30	2	1.15	+	1.74	3.21E-01
negative regulation of transport (GO:0051051)	30	2	1.15	+	1.74	3.21E-01
regulation of monoatomic cation transmembrane transport (GO:1904062)	45	3	1.73	+	1.74	2.49E-01
cell-matrix adhesion (GO:0007160)	30	2	1.15	+	1.74	3.21E-01
calcium-mediated signaling (GO:0019722)	30	2	1.15	+	1.74	3.21E-01
DNA conformation change (GO:0071103)	15	1	.58	+	1.74	4.45E-01
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	15	1	.58	+	1.74	4.45E-01
negative regulation of response to external stimulus (GO:0032102)	15	1	.58	+	1.74	4.45E-01
cytokinesis (GO:0000910)	30	2	1.15	+	1.74	3.21E-01
iron ion transport (GO:0006826)	15	1	.58	+	1.74	4.45E-01
modification-dependent protein catabolic process (GO:0019941)	197	13	7.57	+	1.72	5.76E-02
calcium ion homeostasis (GO:0055074)	61	4	2.34	+	1.71	2.98E-01
vacuolar transport (GO:0007034)	61	4	2.34	+	1.71	2.98E-01
cellular response to organonitrogen compound (GO:0071417)	46	3	1.77	+	1.70	2.59E-01
modification-dependent macromolecule catabolic process (GO:0043632)	200	13	7.68	+	1.69	6.05E-02
negative regulation of protein kinase activity (GO:0006469)	31	2	1.19	+	1.68	3.36E-01
protein transport (GO:0015031)	218	14	8.38	+	1.67	7.13E-02
nuclear transport (GO:0051169)	78	5	3.00	+	1.67	2.27E-01
nucleocytoplasmic transport (GO:0006913)	78	5	3.00	+	1.67	2.27E-01
inorganic ion homeostasis (GO:0098771)	94	6	3.61	+	1.66	1.78E-01
regulation of microtubule-based process (GO:0032886)	47	3	1.81	+	1.66	4.28E-01
cellular modified amino acid metabolic process (GO:0006575)	47	3	1.81	+	1.66	4.28E-01
phospholipid biosynthetic process (GO:0008654)	79	5	3.04	+	1.65	2.32E-01
intracellular transport (GO:0046907)	413	26	15.87	+	1.64	1.27E-02
response to hypoxia (GO:0001666)	16	1	.61	+	1.63	4.66E-01
regulation of microtubule cytoskeleton organization (GO:0070507)	32	2	1.23	+	1.63	3.50E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	48	3	1.84	+	1.63	4.32E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	32	2	1.23	+	1.63	3.50E-01
negative regulation of immune system process (GO:0002683)	16	1	.61	+	1.63	4.66E-01
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	16	1	.61	+	1.63	4.66E-01
cell chemotaxis (GO:0060326)	16	1	.61	+	1.63	4.66E-01
sister chromatid cohesion (GO:0007062)	16	1	.61	+	1.63	4.66E-01
skeletal muscle organ development (GO:0060538)	16	1	.61	+	1.63	4.66E-01
regulation of response to external stimulus (GO:0032101)	48	3	1.84	+	1.63	4.32E-01
GPI anchor biosynthetic process (GO:0006506)	16	1	.61	+	1.63	4.66E-01
organic anion transport (GO:0015711)	129	8	4.96	+	1.61	1.62E-01
nucleoside phosphate metabolic process (GO:0006753)	113	7	4.34	+	1.61	2.09E-01
endosomal transport (GO:0016197)	98	6	3.77	+	1.59	2.80E-01
carboxylic acid transport (GO:0046942)	98	6	3.77	+	1.59	2.80E-01
organic acid transport (GO:0015849)	98	6	3.77	+	1.59	2.80E-01
proteolysis involved in protein catabolic process (GO:0051603)	246	15	9.45	+	1.59	8.99E-02
establishment of protein localization (GO:0045184)	263	16	10.11	+	1.58	7.12E-02
organic substance transport (GO:0071702)	461	28	17.71	+	1.58	1.79E-02
mitotic cell cycle phase transition (GO:0044772)	33	2	1.27	+	1.58	3.64E-01
cell cycle phase transition (GO:0044770)	33	2	1.27	+	1.58	3.64E-01
positive regulation of cell development (GO:0010720)	33	2	1.27	+	1.58	3.64E-01
purine-containing compound metabolic process (GO:0072521)	99	6	3.80	+	1.58	2.82E-01
macromolecule catabolic process (GO:0009057)	314	19	12.06	+	1.57	5.09E-02
amino acid metabolic process (GO:0006520)	100	6	3.84	+	1.56	2.85E-01
organophosphate metabolic process (GO:0019637)	271	16	10.41	+	1.54	7.82E-02
spermatogenesis (GO:0007283)	17	1	.65	+	1.53	4.87E-01
response to oxygen levels (GO:0070482)	17	1	.65	+	1.53	4.87E-01
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	17	1	.65	+	1.53	4.87E-01
positive regulation of hydrolase activity (GO:0051345)	68	4	2.61	+	1.53	3.34E-01
snRNA 3'-end processing (GO:0034472)	17	1	.65	+	1.53	4.87E-01
establishment of vesicle localization (GO:0051650)	34	2	1.31	+	1.53	3.78E-01
T cell receptor signaling pathway (GO:0050852)	17	1	.65	+	1.53	4.87E-01
acyl-CoA metabolic process (GO:0006637)	17	1	.65	+	1.53	4.87E-01
intrinsic apoptotic signaling pathway (GO:0097193)	17	1	.65	+	1.53	4.87E-01
GPI anchor metabolic process (GO:0006505)	17	1	.65	+	1.53	4.87E-01
protein catabolic process (GO:0030163)	256	15	9.84	+	1.52	9.80E-02
regulation of transmembrane transport (GO:0034762)	69	4	2.65	+	1.51	3.40E-01
regulation of GTPase activity (GO:0043087)	69	4	2.65	+	1.51	3.40E-01
regulation of metal ion transport (GO:0010959)	52	3	2.00	+	1.50	4.52E-01
organic acid transmembrane transport (GO:1903825)	52	3	2.00	+	1.50	4.52E-01
carboxylic acid transmembrane transport (GO:1905039)	52	3	2.00	+	1.50	4.52E-01
vesicle localization (GO:0051648)	35	2	1.34	+	1.49	3.91E-01
positive regulation of multicellular organismal process (GO:0051240)	70	4	2.69	+	1.49	3.46E-01
cell-cell junction assembly (GO:0007043)	35	2	1.34	+	1.49	3.91E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	141	8	5.42	+	1.48	2.64E-01
cellular nitrogen compound catabolic process (GO:0044270)	106	6	4.07	+	1.47	3.04E-01
heterocycle catabolic process (GO:0046700)	106	6	4.07	+	1.47	3.04E-01
protein processing (GO:0016485)	53	3	2.04	+	1.47	4.58E-01
sulfur compound metabolic process (GO:0006790)	71	4	2.73	+	1.47	3.52E-01
calcium ion transport (GO:0006816)	71	4	2.73	+	1.47	3.52E-01
import into nucleus (GO:0051170)	36	2	1.38	+	1.45	6.49E-01
organic acid metabolic process (GO:0006082)	198	11	7.61	+	1.45	1.92E-01
oxoacid metabolic process (GO:0043436)	198	11	7.61	+	1.45	1.92E-01
response to abiotic stimulus (GO:0009628)	72	4	2.77	+	1.45	3.58E-01
male gamete generation (GO:0048232)	18	1	.69	+	1.45	5.06E-01
protein targeting to mitochondrion (GO:0006626)	18	1	.69	+	1.45	5.06E-01
protein import into nucleus (GO:0006606)	36	2	1.38	+	1.45	6.49E-01
endoplasmic reticulum unfolded protein response (GO:0030968)	18	1	.69	+	1.45	5.06E-01
nucleotide-excision repair (GO:0006289)	18	1	.69	+	1.45	5.06E-01
phospholipid metabolic process (GO:0006644)	145	8	5.57	+	1.44	2.73E-01
monocarboxylic acid metabolic process (GO:0032787)	109	6	4.19	+	1.43	3.16E-01
protein ubiquitination (GO:0016567)	164	9	6.30	+	1.43	3.00E-01
alpha-amino acid metabolic process (GO:1901605)	73	4	2.80	+	1.43	3.65E-01
apoptotic process (GO:0006915)	55	3	2.11	+	1.42	4.70E-01
potassium ion transmembrane transport (GO:0071805)	92	5	3.53	+	1.41	4.05E-01
nucleobase-containing compound catabolic process (GO:0034655)	92	5	3.53	+	1.41	4.05E-01
potassium ion transport (GO:0006813)	92	5	3.53	+	1.41	4.05E-01
establishment of localization in cell (GO:0051649)	499	27	19.17	+	1.41	7.29E-02
regulation of mRNA processing (GO:0050684)	37	2	1.42	+	1.41	6.53E-01
cell division (GO:0051301)	37	2	1.42	+	1.41	6.53E-01
proteolysis (GO:0006508)	373	20	14.33	+	1.40	1.30E-01
carbohydrate derivative biosynthetic process (GO:1901137)	206	11	7.92	+	1.39	2.68E-01
negative regulation of signal transduction (GO:0009968)	151	8	5.80	+	1.38	3.88E-01
plasma membrane bounded cell projection organization (GO:0120036)	321	17	12.33	+	1.38	1.82E-01
protein localization to mitochondrion (GO:0070585)	19	1	.73	+	1.37	5.25E-01
RNA modification (GO:0009451)	76	4	2.92	+	1.37	5.39E-01
regulation of proteolysis (GO:0030162)	76	4	2.92	+	1.37	5.39E-01
proteinogenic amino acid metabolic process (GO:0170039)	38	2	1.46	+	1.37	6.57E-01
positive regulation of innate immune response (GO:0045089)	19	1	.73	+	1.37	5.25E-01
establishment of protein localization to mitochondrion (GO:0072655)	19	1	.73	+	1.37	5.25E-01
MAPK cascade (GO:0000165)	19	1	.73	+	1.37	5.25E-01
microtubule polymerization (GO:0046785)	19	1	.73	+	1.37	5.25E-01
establishment of protein localization to extracellular region (GO:0035592)	19	1	.73	+	1.37	5.25E-01
snRNA processing (GO:0016180)	19	1	.73	+	1.37	5.25E-01
protein secretion (GO:0009306)	19	1	.73	+	1.37	5.25E-01
response to unfolded protein (GO:0006986)	19	1	.73	+	1.37	5.25E-01
carbohydrate biosynthetic process (GO:0016051)	19	1	.73	+	1.37	5.25E-01
lysosomal transport (GO:0007041)	19	1	.73	+	1.37	5.25E-01
release of sequestered calcium ion into cytosol (GO:0051209)	19	1	.73	+	1.37	5.25E-01
purine ribonucleoside triphosphate metabolic process (GO:0009205)	19	1	.73	+	1.37	5.25E-01
cellular response to unfolded protein (GO:0034620)	19	1	.73	+	1.37	5.25E-01
protein modification by small protein conjugation (GO:0032446)	190	10	7.30	+	1.37	3.36E-01
positive regulation of defense response (GO:0031349)	19	1	.73	+	1.37	5.25E-01
protein localization to extracellular region (GO:0071692)	19	1	.73	+	1.37	5.25E-01
negative regulation of response to stimulus (GO:0048585)	172	9	6.61	+	1.36	3.15E-01
transmembrane transport (GO:0055085)	421	22	16.18	+	1.36	1.53E-01
cell projection organization (GO:0030030)	327	17	12.56	+	1.35	1.89E-01
calcium ion transmembrane transport (GO:0070588)	58	3	2.23	+	1.35	4.89E-01
cell junction assembly (GO:0034329)	58	3	2.23	+	1.35	4.89E-01
regulation of immune system process (GO:0002682)	97	5	3.73	+	1.34	4.25E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	272	14	10.45	+	1.34	2.61E-01
organic cyclic compound catabolic process (GO:1901361)	117	6	4.50	+	1.33	4.61E-01
protein modification by small protein conjugation or removal (GO:0070647)	254	13	9.76	+	1.33	3.18E-01
carboxylic acid metabolic process (GO:0019752)	196	10	7.53	+	1.33	3.45E-01
negative regulation of cell communication (GO:0010648)	157	8	6.03	+	1.33	3.98E-01
negative regulation of signaling (GO:0023057)	157	8	6.03	+	1.33	3.98E-01
organic substance catabolic process (GO:1901575)	493	25	18.94	+	1.32	1.50E-01
metal ion transport (GO:0030001)	237	12	9.11	+	1.32	3.04E-01
fatty acid metabolic process (GO:0006631)	79	4	3.04	+	1.32	5.48E-01
regulation of protein kinase activity (GO:0045859)	79	4	3.04	+	1.32	5.48E-01
protein localization to organelle (GO:0033365)	179	9	6.88	+	1.31	4.28E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	20	1	.77	+	1.30	5.44E-01
muscle organ development (GO:0007517)	20	1	.77	+	1.30	5.44E-01
regulation of sodium ion transport (GO:0002028)	20	1	.77	+	1.30	5.44E-01
protein palmitoylation (GO:0018345)	20	1	.77	+	1.30	5.44E-01
regulation of calcium ion transport (GO:0051924)	20	1	.77	+	1.30	5.44E-01
inflammatory response (GO:0006954)	20	1	.77	+	1.30	5.44E-01
Golgi organization (GO:0007030)	40	2	1.54	+	1.30	6.66E-01
intra-Golgi vesicle-mediated transport (GO:0006891)	20	1	.77	+	1.30	5.44E-01
programmed cell death (GO:0012501)	60	3	2.31	+	1.30	5.02E-01
cell death (GO:0008219)	60	3	2.31	+	1.30	5.02E-01
regulation of catalytic activity (GO:0050790)	262	13	10.07	+	1.29	3.27E-01
negative regulation of macromolecule metabolic process (GO:0010605)	364	18	13.99	+	1.29	2.66E-01
cellular lipid catabolic process (GO:0044242)	61	3	2.34	+	1.28	5.09E-01
lipid modification (GO:0030258)	61	3	2.34	+	1.28	5.09E-01
extracellular matrix organization (GO:0030198)	102	5	3.92	+	1.28	5.98E-01
extracellular structure organization (GO:0043062)	102	5	3.92	+	1.28	5.98E-01
external encapsulating structure organization (GO:0045229)	102	5	3.92	+	1.28	5.98E-01
inorganic cation transmembrane transport (GO:0098662)	206	10	7.92	+	1.26	4.60E-01
monoatomic cation transmembrane transport (GO:0098655)	206	10	7.92	+	1.26	4.60E-01
post-translational protein modification (GO:0043687)	268	13	10.30	+	1.26	3.37E-01
amide metabolic process (GO:0043603)	227	11	8.72	+	1.26	3.83E-01
phosphate-containing compound metabolic process (GO:0006796)	540	26	20.75	+	1.25	2.50E-01
post-transcriptional regulation of gene expression (GO:0010608)	104	5	4.00	+	1.25	6.02E-01
protein localization to membrane (GO:0072657)	104	5	4.00	+	1.25	6.02E-01
cell junction organization (GO:0034330)	104	5	4.00	+	1.25	6.02E-01
lipid metabolic process (GO:0006629)	333	16	12.79	+	1.25	3.83E-01
catabolic process (GO:0009056)	562	27	21.59	+	1.25	2.16E-01
phosphorus metabolic process (GO:0006793)	543	26	20.86	+	1.25	2.52E-01
negative regulation of metabolic process (GO:0009892)	376	18	14.45	+	1.25	3.38E-01
cellular lipid metabolic process (GO:0044255)	294	14	11.30	+	1.24	3.59E-01
protein localization to nucleus (GO:0034504)	42	2	1.61	+	1.24	6.76E-01
phospholipid translocation (GO:0045332)	21	1	.81	+	1.24	5.61E-01
actin filament bundle assembly (GO:0051017)	21	1	.81	+	1.24	5.61E-01
cytoplasmic microtubule organization (GO:0031122)	21	1	.81	+	1.24	5.61E-01
regulation of secretion by cell (GO:1903530)	42	2	1.61	+	1.24	6.76E-01
negative regulation of sequestering of calcium ion (GO:0051283)	21	1	.81	+	1.24	5.61E-01
vesicle fusion (GO:0006906)	42	2	1.61	+	1.24	6.76E-01
positive regulation of response to biotic stimulus (GO:0002833)	21	1	.81	+	1.24	5.61E-01
protein transmembrane import into intracellular organelle (GO:0044743)	21	1	.81	+	1.24	5.61E-01
positive regulation of neurogenesis (GO:0050769)	21	1	.81	+	1.24	5.61E-01
glycosaminoglycan metabolic process (GO:0030203)	21	1	.81	+	1.24	5.61E-01
monoatomic cation transport (GO:0006812)	254	12	9.76	+	1.23	4.10E-01
lipid biosynthetic process (GO:0008610)	170	8	6.53	+	1.22	5.43E-01
establishment of organelle localization (GO:0051656)	85	4	3.27	+	1.22	5.70E-01
cellular macromolecule localization (GO:0070727)	426	20	16.37	+	1.22	3.67E-01
protein localization (GO:0008104)	426	20	16.37	+	1.22	3.67E-01
protein modification by small protein removal (GO:0070646)	64	3	2.46	+	1.22	7.37E-01
small molecule metabolic process (GO:0044281)	386	18	14.83	+	1.21	4.17E-01
organonitrogen compound catabolic process (GO:1901565)	365	17	14.02	+	1.21	4.05E-01
response to organonitrogen compound (GO:0010243)	86	4	3.30	+	1.21	5.74E-01
regulation of secretion (GO:0051046)	43	2	1.65	+	1.21	6.81E-01
organelle membrane fusion (GO:0090174)	43	2	1.65	+	1.21	6.81E-01
macromolecule localization (GO:0033036)	538	25	20.67	+	1.21	3.02E-01
transport (GO:0006810)	1231	57	47.30	+	1.21	1.36E-01
establishment of localization (GO:0051234)	1296	60	49.80	+	1.20	1.25E-01
positive regulation of intracellular signal transduction (GO:1902533)	130	6	4.99	+	1.20	6.42E-01
negative regulation of DNA-templated transcription (GO:0045892)	152	7	5.84	+	1.20	5.26E-01
negative regulation of RNA biosynthetic process (GO:1902679)	152	7	5.84	+	1.20	5.26E-01
inorganic ion transmembrane transport (GO:0098660)	239	11	9.18	+	1.20	4.95E-01
cellular localization (GO:0051641)	725	33	27.86	+	1.18	3.18E-01
actin filament bundle organization (GO:0061572)	22	1	.85	+	1.18	5.78E-01
lipid translocation (GO:0034204)	22	1	.85	+	1.18	5.78E-01
antigen receptor-mediated signaling pathway (GO:0050851)	22	1	.85	+	1.18	5.78E-01
response to oxidative stress (GO:0006979)	22	1	.85	+	1.18	5.78E-01
amide biosynthetic process (GO:0043604)	154	7	5.92	+	1.18	6.69E-01
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	22	1	.85	+	1.18	5.78E-01
regulation of multicellular organismal process (GO:0051239)	177	8	6.80	+	1.18	5.55E-01
monoatomic ion transport (GO:0006811)	310	14	11.91	+	1.18	5.47E-01
lipid catabolic process (GO:0016042)	67	3	2.57	+	1.17	7.44E-01
microtubule-based process (GO:0007017)	246	11	9.45	+	1.16	6.13E-01
negative regulation of transcription by RNA polymerase II (GO:0000122)	112	5	4.30	+	1.16	6.22E-01
aromatic compound catabolic process (GO:0019439)	112	5	4.30	+	1.16	6.22E-01
macromolecule modification (GO:0043412)	831	37	31.93	+	1.16	3.49E-01
regulation of protein metabolic process (GO:0051246)	270	12	10.37	+	1.16	5.24E-01
protein localization to plasma membrane (GO:0072659)	45	2	1.73	+	1.16	6.91E-01
protein modification process (GO:0036211)	745	33	28.62	+	1.15	3.76E-01
regulation of molecular function (GO:0065009)	339	15	13.03	+	1.15	5.65E-01
organonitrogen compound metabolic process (GO:1901564)	1585	70	60.90	+	1.15	2.06E-01
positive regulation of immune system process (GO:0002684)	68	3	2.61	+	1.15	7.46E-01
cellular response to nitrogen compound (GO:1901699)	68	3	2.61	+	1.15	7.46E-01
regulation of localization (GO:0032879)	204	9	7.84	+	1.15	5.83E-01
carboxylic acid catabolic process (GO:0046395)	68	3	2.61	+	1.15	7.46E-01
organic acid catabolic process (GO:0016054)	68	3	2.61	+	1.15	7.46E-01
regulation of transport (GO:0051049)	160	7	6.15	+	1.14	6.77E-01
localization (GO:0051179)	1443	63	55.44	+	1.14	2.73E-01
ribonucleoside triphosphate metabolic process (GO:0009199)	23	1	.88	+	1.13	5.94E-01
tissue morphogenesis (GO:0048729)	23	1	.88	+	1.13	5.94E-01
regulation of cell projection assembly (GO:0060491)	23	1	.88	+	1.13	5.94E-01
regulation of translation (GO:0006417)	46	2	1.77	+	1.13	6.97E-01
organophosphate ester transport (GO:0015748)	46	2	1.77	+	1.13	6.97E-01
glycerophospholipid biosynthetic process (GO:0046474)	69	3	2.65	+	1.13	7.49E-01
synapse assembly (GO:0007416)	23	1	.88	+	1.13	5.94E-01
regulation of response to stress (GO:0080134)	69	3	2.65	+	1.13	7.49E-01
cellular process involved in reproduction in multicellular organism (GO:0022412)	23	1	.88	+	1.13	5.94E-01
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	23	1	.88	+	1.13	5.94E-01
carbohydrate derivative transport (GO:1901264)	23	1	.88	+	1.13	5.94E-01
positive regulation of cellular catabolic process (GO:0031331)	46	2	1.77	+	1.13	6.97E-01
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	23	1	.88	+	1.13	5.94E-01
response to external stimulus (GO:0009605)	139	6	5.34	+	1.12	6.58E-01
mRNA metabolic process (GO:0016071)	163	7	6.26	+	1.12	6.81E-01
positive regulation of gene expression (GO:0010628)	70	3	2.69	+	1.12	7.51E-01
regulation of biological quality (GO:0065008)	421	18	16.18	+	1.11	6.05E-01
positive regulation of response to stimulus (GO:0048584)	234	10	8.99	+	1.11	7.29E-01
monoatomic ion transmembrane transport (GO:0034220)	258	11	9.91	+	1.11	7.42E-01
glycerophospholipid metabolic process (GO:0006650)	118	5	4.53	+	1.10	8.07E-01
peptidyl-amino acid modification (GO:0018193)	189	8	7.26	+	1.10	7.02E-01
cellular response to stimulus (GO:0051716)	1418	60	54.48	+	1.10	4.18E-01
organelle assembly (GO:0070925)	260	11	9.99	+	1.10	7.43E-01
regulation of response to stimulus (GO:0048583)	523	22	20.10	+	1.09	6.41E-01
regulation of protein modification process (GO:0031399)	143	6	5.49	+	1.09	8.25E-01
organic substance metabolic process (GO:0071704)	2576	108	98.98	+	1.09	2.97E-01
organonitrogen compound biosynthetic process (GO:1901566)	454	19	17.44	+	1.09	7.08E-01
negative regulation of biological process (GO:0048519)	741	31	28.47	+	1.09	6.21E-01
protein metabolic process (GO:0019538)	1267	53	48.68	+	1.09	4.87E-01
cellular response to fibroblast growth factor stimulus (GO:0044344)	24	1	.92	+	1.08	6.10E-01
proteoglycan biosynthetic process (GO:0030166)	24	1	.92	+	1.08	6.10E-01
regulation of innate immune response (GO:0045088)	24	1	.92	+	1.08	6.10E-01
fibroblast growth factor receptor signaling pathway (GO:0008543)	24	1	.92	+	1.08	6.10E-01
axonogenesis (GO:0007409)	120	5	4.61	+	1.08	8.09E-01
response to fibroblast growth factor (GO:0071774)	24	1	.92	+	1.08	6.10E-01
spindle assembly (GO:0051225)	24	1	.92	+	1.08	6.10E-01
cell motility (GO:0048870)	193	8	7.42	+	1.08	7.08E-01
positive regulation of signal transduction (GO:0009967)	169	7	6.49	+	1.08	8.39E-01
macromolecule metabolic process (GO:0043170)	1963	81	75.42	+	1.07	4.80E-01
protein polyubiquitination (GO:0000209)	73	3	2.80	+	1.07	7.59E-01
signal transduction (GO:0007165)	1121	46	43.07	+	1.07	6.24E-01
regulation of protein phosphorylation (GO:0001932)	122	5	4.69	+	1.07	8.11E-01
negative regulation of RNA metabolic process (GO:0051253)	171	7	6.57	+	1.07	8.40E-01
metabolic process (GO:0008152)	2694	110	103.51	+	1.06	4.59E-01
localization within membrane (GO:0051668)	147	6	5.65	+	1.06	8.28E-01
regulation of amide metabolic process (GO:0034248)	49	2	1.88	+	1.06	7.13E-01
regulation of signal transduction (GO:0009966)	441	18	16.94	+	1.06	8.00E-01
membrane fusion (GO:0061025)	49	2	1.88	+	1.06	7.13E-01
regulation of cellular catabolic process (GO:0031329)	98	4	3.77	+	1.06	7.91E-01
response to stimulus (GO:0050896)	1550	63	59.56	+	1.06	6.20E-01
nitrogen compound metabolic process (GO:0006807)	2244	91	86.22	+	1.06	5.43E-01
cellular response to chemical stimulus (GO:0070887)	222	9	8.53	+	1.06	8.59E-01
primary metabolic process (GO:0044238)	2452	99	94.21	+	1.05	5.56E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	273	11	10.49	+	1.05	8.73E-01
negative regulation of cellular metabolic process (GO:0031324)	348	14	13.37	+	1.05	7.78E-01
protein phosphorylation (GO:0006468)	199	8	7.65	+	1.05	8.52E-01
cell communication (GO:0007154)	1270	51	48.80	+	1.05	7.00E-01
biological_process (GO:0008150)	7712	309	296.32	+	1.04	2.12E-01
nucleotide catabolic process (GO:0009166)	25	1	.96	+	1.04	1.00E00
lipoprotein biosynthetic process (GO:0042158)	50	2	1.92	+	1.04	7.18E-01
phosphatidylinositol dephosphorylation (GO:0046856)	25	1	.96	+	1.04	1.00E00
protein lipidation (GO:0006497)	50	2	1.92	+	1.04	7.18E-01
protein dephosphorylation (GO:0006470)	50	2	1.92	+	1.04	7.18E-01
organelle transport along microtubule (GO:0072384)	25	1	.96	+	1.04	1.00E00
regulation of membrane lipid distribution (GO:0097035)	25	1	.96	+	1.04	1.00E00
cell morphogenesis involved in neuron differentiation (GO:0048667)	125	5	4.80	+	1.04	8.15E-01
regulation of sequestering of calcium ion (GO:0051282)	25	1	.96	+	1.04	1.00E00
negative regulation of biosynthetic process (GO:0009890)	275	11	10.57	+	1.04	8.73E-01
positive regulation of immune response (GO:0050778)	50	2	1.92	+	1.04	7.18E-01
negative regulation of cellular biosynthetic process (GO:0031327)	275	11	10.57	+	1.04	8.73E-01
cellular process (GO:0009987)	5617	224	215.82	+	1.04	4.45E-01
axon guidance (GO:0007411)	101	4	3.88	+	1.03	7.96E-01
neuron projection guidance (GO:0097485)	101	4	3.88	+	1.03	7.96E-01
cell-cell adhesion (GO:0098609)	152	6	5.84	+	1.03	8.32E-01
cellular metabolic process (GO:0044237)	2080	82	79.92	+	1.03	8.02E-01
signaling (GO:0023052)	1244	49	47.80	+	1.03	8.15E-01
cellular biosynthetic process (GO:0044249)	1145	45	43.99	+	1.02	8.71E-01
regulation of cell development (GO:0060284)	51	2	1.96	+	1.02	1.00E00
organic substance biosynthetic process (GO:1901576)	1173	46	45.07	+	1.02	8.73E-01
biosynthetic process (GO:0009058)	1176	46	45.19	+	1.02	8.73E-01
mitotic cell cycle process (GO:1903047)	128	5	4.92	+	1.02	8.19E-01
cellular response to stress (GO:0033554)	333	13	12.79	+	1.02	8.85E-01
regulation of cell communication (GO:0010646)	513	20	19.71	+	1.01	9.06E-01
carbohydrate derivative metabolic process (GO:1901135)	308	12	11.83	+	1.01	8.81E-01
regulation of signaling (GO:0023051)	517	20	19.86	+	1.01	9.07E-01
regulation of phosphorus metabolic process (GO:0051174)	182	7	6.99	+	1.00	1.00E00
vesicle-mediated transport to the plasma membrane (GO:0098876)	52	2	2.00	+	1.00	1.00E00
regulation of phosphate metabolic process (GO:0019220)	182	7	6.99	+	1.00	1.00E00
