PANTHER GO-Slim Biological Process	background_genes.par_all.raisd.txt - REFLIST (10833)	(146)	(expected)	(over/under)	(fold Enrichment)	P-value
cellular localization (GO:0051641)	661	10	8.91	+	1.12	7.26E-01
proteolysis (GO:0006508)	333	5	4.49	+	1.11	8.06E-01
localization within membrane (GO:0051668)	134	2	1.81	+	1.11	7.03E-01
positive regulation of cellular metabolic process (GO:0031325)	402	6	5.42	+	1.11	6.63E-01
protein polyubiquitination (GO:0000209)	68	1	.92	+	1.09	6.04E-01
negative regulation of DNA-templated transcription (GO:0045892)	136	2	1.83	+	1.09	7.06E-01
negative regulation of RNA biosynthetic process (GO:1902679)	136	2	1.83	+	1.09	7.06E-01
regulation of nitrogen compound metabolic process (GO:0051171)	1366	20	18.41	+	1.09	7.06E-01
gene expression (GO:0010467)	620	9	8.36	+	1.08	7.21E-01
regulation of primary metabolic process (GO:0080090)	1383	20	18.64	+	1.07	7.08E-01
negative regulation of cellular process (GO:0048523)	631	9	8.50	+	1.06	8.58E-01
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1122	16	15.12	+	1.06	7.84E-01
metal ion transport (GO:0030001)	212	3	2.86	+	1.05	7.64E-01
amide biosynthetic process (GO:0043604)	142	2	1.91	+	1.05	7.17E-01
regulation of anatomical structure morphogenesis (GO:0022603)	71	1	.96	+	1.05	6.20E-01
carbohydrate metabolic process (GO:0005975)	72	1	.97	+	1.03	6.25E-01
regulation of RNA metabolic process (GO:0051252)	1085	15	14.62	+	1.03	8.89E-01
macromolecule biosynthetic process (GO:0009059)	800	11	10.78	+	1.02	8.74E-01
regulation of actin cytoskeleton organization (GO:0032956)	73	1	.98	+	1.02	1.00E00
proteolysis involved in protein catabolic process (GO:0051603)	221	3	2.98	+	1.01	1.00E00
DNA metabolic process (GO:0006259)	221	3	2.98	+	1.01	1.00E00
regulation of macromolecule metabolic process (GO:0060255)	1479	20	19.93	+	1.00	1.00E00
microtubule cytoskeleton organization (GO:0000226)	148	2	1.99	+	1.00	1.00E00
regulation of actin filament-based process (GO:0032970)	74	1	1.00	+	1.00	1.00E00
positive regulation of metabolic process (GO:0009893)	446	6	6.01	-	1.00	1.00E00
regulation of cellular metabolic process (GO:0031323)	1487	20	20.04	-	1.00	1.00E00
mRNA metabolic process (GO:0016071)	149	2	2.01	-	1.00	1.00E00
biological regulation (GO:0065007)	3360	45	45.28	-	.99	1.00E00
establishment of localization in cell (GO:0051649)	451	6	6.08	-	.99	1.00E00
negative regulation of biological process (GO:0048519)	677	9	9.12	-	.99	1.00E00
negative regulation of RNA metabolic process (GO:0051253)	151	2	2.04	-	.98	1.00E00
monoatomic cation transport (GO:0006812)	227	3	3.06	-	.98	1.00E00
cellular component organization or biogenesis (GO:0071840)	1532	20	20.65	-	.97	1.00E00
regulation of transcription by RNA polymerase II (GO:0006357)	843	11	11.36	-	.97	1.00E00
regulation of cellular process (GO:0050794)	3000	39	40.43	-	.96	8.52E-01
protein catabolic process (GO:0030163)	231	3	3.11	-	.96	1.00E00
cellular macromolecule localization (GO:0070727)	387	5	5.22	-	.96	1.00E00
protein localization (GO:0008104)	387	5	5.22	-	.96	1.00E00
DNA repair (GO:0006281)	155	2	2.09	-	.96	1.00E00
regulation of biological process (GO:0050789)	3178	41	42.83	-	.96	7.84E-01
cellular anatomical entity morphogenesis (GO:0032989)	156	2	2.10	-	.95	1.00E00
nucleic acid metabolic process (GO:0090304)	631	8	8.50	-	.94	1.00E00
cellular component disassembly (GO:0022411)	79	1	1.06	-	.94	1.00E00
regulation of metabolic process (GO:0019222)	1580	20	21.29	-	.94	9.06E-01
biological_process (GO:0008150)	7006	87	94.42	-	.92	2.22E-01
positive regulation of biological process (GO:0048518)	808	10	10.89	-	.92	1.00E00
positive regulation of cellular process (GO:0048522)	730	9	9.84	-	.91	1.00E00
localization (GO:0051179)	1300	16	17.52	-	.91	7.98E-01
positive regulation of transcription by RNA polymerase II (GO:0045944)	163	2	2.20	-	.91	1.00E00
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	245	3	3.30	-	.91	1.00E00
secretion by cell (GO:0032940)	82	1	1.11	-	.90	1.00E00
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	164	2	2.21	-	.90	1.00E00
regulation of multicellular organismal process (GO:0051239)	164	2	2.21	-	.90	1.00E00
regulation of multicellular organismal development (GO:2000026)	82	1	1.11	-	.90	1.00E00
regulation of DNA-templated transcription (GO:0006355)	987	12	13.30	-	.90	8.84E-01
regulation of RNA biosynthetic process (GO:2001141)	987	12	13.30	-	.90	8.84E-01
response to stress (GO:0006950)	414	5	5.58	-	.90	1.00E00
cellular metabolic process (GO:0044237)	1907	23	25.70	-	.89	6.61E-01
cellular nitrogen compound metabolic process (GO:0034641)	913	11	12.30	-	.89	8.80E-01
regulation of organelle organization (GO:0033043)	167	2	2.25	-	.89	1.00E00
organonitrogen compound catabolic process (GO:1901565)	334	4	4.50	-	.89	1.00E00
regulation of gene expression (GO:0010468)	1253	15	16.89	-	.89	6.97E-01
cellular process (GO:0009987)	5105	61	68.80	-	.89	2.11E-01
RNA metabolic process (GO:0016070)	419	5	5.65	-	.89	1.00E00
secretion (GO:0046903)	84	1	1.13	-	.88	1.00E00
nucleobase-containing compound metabolic process (GO:0006139)	759	9	10.23	-	.88	8.70E-01
cellular component organization (GO:0016043)	1437	17	19.37	-	.88	6.25E-01
regulation of macromolecule biosynthetic process (GO:0010556)	1273	15	17.16	-	.87	6.98E-01
protein glycosylation (GO:0006486)	85	1	1.15	-	.87	1.00E00
macromolecule glycosylation (GO:0043413)	85	1	1.15	-	.87	1.00E00
metabolic process (GO:0008152)	2466	29	33.24	-	.87	4.28E-01
regulation of cellular biosynthetic process (GO:0031326)	1280	15	17.25	-	.87	6.98E-01
regulation of biosynthetic process (GO:0009889)	1285	15	17.32	-	.87	6.98E-01
macromolecule metabolic process (GO:0043170)	1800	21	24.26	-	.87	5.75E-01
endosomal transport (GO:0016197)	88	1	1.19	-	.84	1.00E00
heterocycle metabolic process (GO:0046483)	795	9	10.71	-	.84	7.48E-01
animal organ development (GO:0048513)	266	3	3.58	-	.84	1.00E00
establishment of localization (GO:0051234)	1160	13	15.63	-	.83	5.89E-01
cellular aromatic compound metabolic process (GO:0006725)	805	9	10.85	-	.83	7.49E-01
cell development (GO:0048468)	272	3	3.67	-	.82	1.00E00
developmental process (GO:0032502)	910	10	12.26	-	.82	6.51E-01
transport (GO:0006810)	1099	12	14.81	-	.81	5.80E-01
purine-containing compound metabolic process (GO:0072521)	92	1	1.24	-	.81	1.00E00
monoatomic ion transport (GO:0006811)	277	3	3.73	-	.80	1.00E00
inorganic cation transmembrane transport (GO:0098662)	185	2	2.49	-	.80	1.00E00
monoatomic cation transmembrane transport (GO:0098655)	185	2	2.49	-	.80	1.00E00
intracellular transport (GO:0046907)	371	4	5.00	-	.80	8.20E-01
organic cyclic compound metabolic process (GO:1901360)	838	9	11.29	-	.80	6.38E-01
nitrogen compound metabolic process (GO:0006807)	2059	22	27.75	-	.79	2.44E-01
export from cell (GO:0140352)	94	1	1.27	-	.79	1.00E00
intracellular monoatomic cation homeostasis (GO:0030003)	94	1	1.27	-	.79	1.00E00
intracellular monoatomic ion homeostasis (GO:0006873)	94	1	1.27	-	.79	1.00E00
cellular biosynthetic process (GO:0044249)	1043	11	14.06	-	.78	4.80E-01
signaling (GO:0023052)	1138	12	15.34	-	.78	4.17E-01
DNA damage response (GO:0006974)	190	2	2.56	-	.78	1.00E00
multicellular organismal process (GO:0032501)	761	8	10.26	-	.78	6.23E-01
macromolecule catabolic process (GO:0009057)	286	3	3.85	-	.78	1.00E00
cell communication (GO:0007154)	1159	12	15.62	-	.77	4.18E-01
protein metabolic process (GO:0019538)	1162	12	15.66	-	.77	4.18E-01
organic substance biosynthetic process (GO:1901576)	1068	11	14.39	-	.76	4.03E-01
biosynthetic process (GO:0009058)	1071	11	14.43	-	.76	4.03E-01
carbohydrate derivative biosynthetic process (GO:1901137)	195	2	2.63	-	.76	1.00E00
positive regulation of DNA-templated transcription (GO:0045893)	195	2	2.63	-	.76	1.00E00
positive regulation of RNA biosynthetic process (GO:1902680)	195	2	2.63	-	.76	1.00E00
macromolecule localization (GO:0033036)	489	5	6.59	-	.76	6.88E-01
endomembrane system organization (GO:0010256)	98	1	1.32	-	.76	1.00E00
regulation of cytoskeleton organization (GO:0051493)	100	1	1.35	-	.74	1.00E00
anatomical structure development (GO:0048856)	807	8	10.88	-	.74	4.30E-01
mitochondrion organization (GO:0007005)	101	1	1.36	-	.73	1.00E00
multicellular organism development (GO:0007275)	607	6	8.18	-	.73	5.85E-01
organic substance metabolic process (GO:0071704)	2360	23	31.81	-	.72	8.56E-02
catabolic process (GO:0009056)	517	5	6.97	-	.72	5.59E-01
intracellular chemical homeostasis (GO:0055082)	104	1	1.40	-	.71	1.00E00
organonitrogen compound metabolic process (GO:1901564)	1457	14	19.64	-	.71	2.20E-01
inorganic ion transmembrane transport (GO:0098660)	214	2	2.88	-	.69	1.00E00
organonitrogen compound biosynthetic process (GO:1901566)	428	4	5.77	-	.69	6.66E-01
primary metabolic process (GO:0044238)	2248	21	30.30	-	.69	6.37E-02
regulation of cellular component biogenesis (GO:0044087)	109	1	1.47	-	.68	1.00E00
response to stimulus (GO:0050896)	1421	13	19.15	-	.68	1.39E-01
cell differentiation (GO:0030154)	550	5	7.41	-	.67	4.50E-01
cellular developmental process (GO:0048869)	550	5	7.41	-	.67	4.50E-01
G protein-coupled receptor signaling pathway (GO:0007186)	221	2	2.98	-	.67	7.72E-01
monoatomic cation homeostasis (GO:0055080)	112	1	1.51	-	.66	1.00E00
microtubule-based process (GO:0007017)	224	2	3.02	-	.66	7.72E-01
positive regulation of RNA metabolic process (GO:0051254)	225	2	3.03	-	.66	7.72E-01
actin filament organization (GO:0007015)	113	1	1.52	-	.66	1.00E00
organic substance catabolic process (GO:1901575)	454	4	6.12	-	.65	5.31E-01
monoatomic ion transmembrane transport (GO:0034220)	230	2	3.10	-	.65	7.73E-01
organic anion transport (GO:0015711)	115	1	1.55	-	.65	1.00E00
monoatomic ion homeostasis (GO:0050801)	115	1	1.55	-	.65	1.00E00
establishment of protein localization (GO:0045184)	232	2	3.13	-	.64	7.73E-01
negative regulation of macromolecule biosynthetic process (GO:0010558)	237	2	3.19	-	.63	7.74E-01
negative regulation of biosynthetic process (GO:0009890)	238	2	3.21	-	.62	7.74E-01
negative regulation of cellular biosynthetic process (GO:0031327)	238	2	3.21	-	.62	7.74E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	245	2	3.30	-	.61	7.76E-01
phosphate-containing compound metabolic process (GO:0006796)	497	4	6.70	-	.60	4.21E-01
system development (GO:0048731)	497	4	6.70	-	.60	4.21E-01
phosphorus metabolic process (GO:0006793)	499	4	6.73	-	.59	4.22E-01
transmembrane transport (GO:0055085)	375	3	5.05	-	.59	4.93E-01
cellular homeostasis (GO:0019725)	126	1	1.70	-	.59	1.00E00
regulation of cell cycle (GO:0051726)	127	1	1.71	-	.58	1.00E00
signal transduction (GO:0007165)	1022	8	13.77	-	.58	1.16E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	256	2	3.45	-	.58	5.88E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	128	1	1.73	-	.58	1.00E00
macromolecule modification (GO:0043412)	776	6	10.46	-	.57	1.94E-01
cellular response to stimulus (GO:0051716)	1299	10	17.51	-	.57	5.41E-02
cell surface receptor signaling pathway (GO:0007166)	390	3	5.26	-	.57	4.97E-01
positive regulation of cellular biosynthetic process (GO:0031328)	261	2	3.52	-	.57	5.88E-01
positive regulation of biosynthetic process (GO:0009891)	262	2	3.53	-	.57	5.89E-01
cellular catabolic process (GO:0044248)	270	2	3.64	-	.55	5.90E-01
protein modification process (GO:0036211)	699	5	9.42	-	.53	1.72E-01
protein maturation (GO:0051604)	140	1	1.89	-	.53	1.00E00
intracellular protein transport (GO:0006886)	144	1	1.94	-	.52	1.00E00
carbohydrate derivative metabolic process (GO:1901135)	289	2	3.89	-	.51	4.43E-01
plasma membrane bounded cell projection organization (GO:0120036)	289	2	3.89	-	.51	4.43E-01
chemical homeostasis (GO:0048878)	147	1	1.98	-	.50	7.26E-01
cell projection organization (GO:0030030)	295	2	3.98	-	.50	4.43E-01
protein ubiquitination (GO:0016567)	151	1	2.04	-	.49	7.26E-01
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	152	1	2.05	-	.49	7.26E-01
negative regulation of cellular metabolic process (GO:0031324)	305	2	4.11	-	.49	4.46E-01
cellular response to stress (GO:0033554)	309	2	4.16	-	.48	4.47E-01
negative regulation of macromolecule metabolic process (GO:0010605)	321	2	4.33	-	.46	3.31E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	323	2	4.35	-	.46	3.31E-01
negative regulation of metabolic process (GO:0009892)	332	2	4.47	-	.45	3.32E-01
homeostatic process (GO:0042592)	173	1	2.33	-	.43	7.33E-01
protein modification by small protein conjugation (GO:0032446)	176	1	2.37	-	.42	7.34E-01
peptidyl-amino acid modification (GO:0018193)	178	1	2.40	-	.42	7.36E-01
enzyme-linked receptor protein signaling pathway (GO:0007167)	185	1	2.49	-	.40	5.23E-01
regulation of biological quality (GO:0065008)	374	2	5.04	-	.40	2.48E-01
protein transport (GO:0015031)	190	1	2.56	-	.39	5.24E-01
organic substance transport (GO:0071702)	404	2	5.44	-	.37	1.82E-01
cell adhesion (GO:0007155)	205	1	2.76	-	.36	5.31E-01
protein modification by small protein conjugation or removal (GO:0070647)	235	1	3.17	-	.32	3.81E-01
post-translational protein modification (GO:0043687)	249	1	3.36	-	.30	2.67E-01
nitrogen compound transport (GO:0071705)	305	1	4.11	-	.24	1.98E-01
small molecule metabolic process (GO:0044281)	351	1	4.73	-	.21	9.48E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	.03	-	 < 0.01	1.00E00
ribonucleoside triphosphate metabolic process (GO:0009199)	21	0	.28	-	 < 0.01	1.00E00
mononuclear cell migration (GO:0071674)	3	0	.04	-	 < 0.01	1.00E00
intermediate filament organization (GO:0045109)	8	0	.11	-	 < 0.01	1.00E00
cellular response to organic substance (GO:0071310)	142	0	1.91	-	 < 0.01	2.69E-01
negative regulation of supramolecular fiber organization (GO:1902904)	30	0	.40	-	 < 0.01	1.00E00
intermediate filament cytoskeleton organization (GO:0045104)	12	0	.16	-	 < 0.01	1.00E00
intermediate filament-based process (GO:0045103)	12	0	.16	-	 < 0.01	1.00E00
vitamin transport (GO:0051180)	10	0	.13	-	 < 0.01	1.00E00
calcium ion transmembrane transport (GO:0070588)	55	0	.74	-	 < 0.01	1.00E00
TOR signaling (GO:0031929)	9	0	.12	-	 < 0.01	1.00E00
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	4	0	.05	-	 < 0.01	1.00E00
protein localization to mitochondrion (GO:0070585)	19	0	.26	-	 < 0.01	1.00E00
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	20	0	.27	-	 < 0.01	1.00E00
establishment or maintenance of bipolar cell polarity (GO:0061245)	14	0	.19	-	 < 0.01	1.00E00
mitotic cytokinesis (GO:0000281)	11	0	.15	-	 < 0.01	1.00E00
nuclear division (GO:0000280)	65	0	.88	-	 < 0.01	1.00E00
negative regulation of actin filament polymerization (GO:0030837)	21	0	.28	-	 < 0.01	1.00E00
sperm-egg recognition (GO:0035036)	1	0	.01	-	 < 0.01	1.00E00
negative regulation of actin filament depolymerization (GO:0030835)	17	0	.23	-	 < 0.01	1.00E00
regulation of actin filament depolymerization (GO:0030834)	19	0	.26	-	 < 0.01	1.00E00
regulation of actin filament polymerization (GO:0030833)	38	0	.51	-	 < 0.01	1.00E00
regulation of actin filament length (GO:0030832)	41	0	.55	-	 < 0.01	1.00E00
meiotic sister chromatid cohesion (GO:0051177)	2	0	.03	-	 < 0.01	1.00E00
cyclic nucleotide metabolic process (GO:0009187)	7	0	.09	-	 < 0.01	1.00E00
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	16	0	.22	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	14	0	.19	-	 < 0.01	1.00E00
positive regulation of proteasomal protein catabolic process (GO:1901800)	15	0	.20	-	 < 0.01	1.00E00
lymphocyte mediated immunity (GO:0002449)	2	0	.03	-	 < 0.01	1.00E00
regulation of Rho protein signal transduction (GO:0035023)	20	0	.27	-	 < 0.01	1.00E00
leukocyte mediated immunity (GO:0002443)	2	0	.03	-	 < 0.01	1.00E00
apoptotic cell clearance (GO:0043277)	4	0	.05	-	 < 0.01	1.00E00
oligodendrocyte differentiation (GO:0048709)	4	0	.05	-	 < 0.01	1.00E00
negative regulation of monoatomic ion transport (GO:0043271)	16	0	.22	-	 < 0.01	1.00E00
regulation of lipid biosynthetic process (GO:0046890)	6	0	.08	-	 < 0.01	1.00E00
vesicle-mediated transport to the plasma membrane (GO:0098876)	46	0	.62	-	 < 0.01	1.00E00
endothelial cell differentiation (GO:0045446)	4	0	.05	-	 < 0.01	1.00E00
neutrophil migration (GO:1990266)	3	0	.04	-	 < 0.01	1.00E00
fat cell differentiation (GO:0045444)	2	0	.03	-	 < 0.01	1.00E00
programmed cell death (GO:0012501)	55	0	.74	-	 < 0.01	1.00E00
axo-dendritic transport (GO:0008088)	16	0	.22	-	 < 0.01	1.00E00
regulation of establishment of protein localization (GO:0070201)	12	0	.16	-	 < 0.01	1.00E00
mitochondrial fission (GO:0000266)	8	0	.11	-	 < 0.01	1.00E00
positive regulation of hormone secretion (GO:0046887)	1	0	.01	-	 < 0.01	1.00E00
regulation of potassium ion transport (GO:0043266)	15	0	.20	-	 < 0.01	1.00E00
membrane invagination (GO:0010324)	8	0	.11	-	 < 0.01	1.00E00
regulation of peptide secretion (GO:0002791)	3	0	.04	-	 < 0.01	1.00E00
peptide secretion (GO:0002790)	3	0	.04	-	 < 0.01	1.00E00
regulation of hormone secretion (GO:0046883)	5	0	.07	-	 < 0.01	1.00E00
purine ribonucleoside monophosphate metabolic process (GO:0009167)	13	0	.18	-	 < 0.01	1.00E00
glucose 6-phosphate metabolic process (GO:0051156)	8	0	.11	-	 < 0.01	1.00E00
nucleotide catabolic process (GO:0009166)	23	0	.31	-	 < 0.01	1.00E00
regulation of cell projection assembly (GO:0060491)	22	0	.30	-	 < 0.01	1.00E00
nucleotide biosynthetic process (GO:0009165)	53	0	.71	-	 < 0.01	1.00E00
nucleoside catabolic process (GO:0009164)	8	0	.11	-	 < 0.01	1.00E00
ribonucleoside monophosphate metabolic process (GO:0009161)	14	0	.19	-	 < 0.01	1.00E00
negative regulation of protein catabolic process (GO:0042177)	11	0	.15	-	 < 0.01	1.00E00
regulation of protein catabolic process (GO:0042176)	40	0	.54	-	 < 0.01	1.00E00
response to interleukin-1 (GO:0070555)	1	0	.01	-	 < 0.01	1.00E00
cellular response to fibroblast growth factor stimulus (GO:0044344)	24	0	.32	-	 < 0.01	1.00E00
immune response-activating cell surface receptor signaling pathway (GO:0002429)	26	0	.35	-	 < 0.01	1.00E00
cytokine-mediated signaling pathway (GO:0019221)	32	0	.43	-	 < 0.01	1.00E00
actin filament bundle organization (GO:0061572)	19	0	.26	-	 < 0.01	1.00E00
hormone secretion (GO:0046879)	3	0	.04	-	 < 0.01	1.00E00
mesenchyme development (GO:0060485)	26	0	.35	-	 < 0.01	1.00E00
ceramide biosynthetic process (GO:0046513)	20	0	.27	-	 < 0.01	1.00E00
regulation of protein-containing complex assembly (GO:0043254)	49	0	.66	-	 < 0.01	1.00E00
heterocycle biosynthetic process (GO:0018130)	170	0	2.29	-	 < 0.01	1.78E-01
purine ribonucleotide catabolic process (GO:0009154)	16	0	.22	-	 < 0.01	1.00E00
purine ribonucleotide biosynthetic process (GO:0009152)	30	0	.40	-	 < 0.01	1.00E00
heme metabolic process (GO:0042168)	7	0	.09	-	 < 0.01	1.00E00
positive regulation of cell cycle (GO:0045787)	22	0	.30	-	 < 0.01	1.00E00
purine ribonucleotide metabolic process (GO:0009150)	62	0	.84	-	 < 0.01	1.00E00
negative regulation of cell cycle (GO:0045786)	53	0	.71	-	 < 0.01	1.00E00
positive regulation of cell adhesion (GO:0045785)	19	0	.26	-	 < 0.01	1.00E00
response to fatty acid (GO:0070542)	1	0	.01	-	 < 0.01	1.00E00
regulation of actin polymerization or depolymerization (GO:0008064)	39	0	.53	-	 < 0.01	1.00E00
regulation of lipid metabolic process (GO:0019216)	10	0	.13	-	 < 0.01	1.00E00
axon development (GO:0061564)	122	0	1.64	-	 < 0.01	4.16E-01
respiratory electron transport chain (GO:0022904)	11	0	.15	-	 < 0.01	1.00E00
protein hydroxylation (GO:0018126)	12	0	.16	-	 < 0.01	1.00E00
electron transport chain (GO:0022900)	14	0	.19	-	 < 0.01	1.00E00
glycerolipid catabolic process (GO:0046503)	14	0	.19	-	 < 0.01	1.00E00
regulation of protein-containing complex disassembly (GO:0043244)	31	0	.42	-	 < 0.01	1.00E00
negative regulation of protein-containing complex disassembly (GO:0043242)	24	0	.32	-	 < 0.01	1.00E00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	1	0	.01	-	 < 0.01	1.00E00
purine nucleoside triphosphate metabolic process (GO:0009144)	18	0	.24	-	 < 0.01	1.00E00
nucleoside triphosphate catabolic process (GO:0009143)	5	0	.07	-	 < 0.01	1.00E00
negative regulation of cytoskeleton organization (GO:0051494)	31	0	.42	-	 < 0.01	1.00E00
nucleoside triphosphate biosynthetic process (GO:0009142)	6	0	.08	-	 < 0.01	1.00E00
lipoprotein biosynthetic process (GO:0042158)	48	0	.65	-	 < 0.01	1.00E00
chaperone-mediated protein complex assembly (GO:0051131)	2	0	.03	-	 < 0.01	1.00E00
nucleoside triphosphate metabolic process (GO:0009141)	28	0	.38	-	 < 0.01	1.00E00
lipoprotein metabolic process (GO:0042157)	54	0	.73	-	 < 0.01	1.00E00
regulation of stress fiber assembly (GO:0051492)	5	0	.07	-	 < 0.01	1.00E00
negative regulation of blood pressure (GO:0045776)	6	0	.08	-	 < 0.01	1.00E00
protein K63-linked deubiquitination (GO:0070536)	5	0	.07	-	 < 0.01	1.00E00
mitochondrial fusion (GO:0008053)	8	0	.11	-	 < 0.01	1.00E00
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	27	0	.36	-	 < 0.01	1.00E00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	6	0	.08	-	 < 0.01	1.00E00
immune response-regulating signaling pathway (GO:0002764)	33	0	.44	-	 < 0.01	1.00E00
phosphatidylinositol dephosphorylation (GO:0046856)	22	0	.30	-	 < 0.01	1.00E00
negative regulation of cellular component organization (GO:0051129)	60	0	.81	-	 < 0.01	1.00E00
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	31	0	.42	-	 < 0.01	1.00E00
regulation of filopodium assembly (GO:0051489)	6	0	.08	-	 < 0.01	1.00E00
intracellular glucose homeostasis (GO:0001678)	5	0	.07	-	 < 0.01	1.00E00
regulation of bone remodeling (GO:0046850)	3	0	.04	-	 < 0.01	1.00E00
nucleoside diphosphate catabolic process (GO:0009134)	18	0	.24	-	 < 0.01	1.00E00
RNA polymerase II preinitiation complex assembly (GO:0051123)	5	0	.07	-	 < 0.01	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	10	0	.13	-	 < 0.01	1.00E00
nucleoside diphosphate metabolic process (GO:0009132)	21	0	.28	-	 < 0.01	1.00E00
retrograde transport, endosome to Golgi (GO:0042147)	31	0	.42	-	 < 0.01	1.00E00
platelet aggregation (GO:0070527)	5	0	.07	-	 < 0.01	1.00E00
regulation of angiogenesis (GO:0045765)	21	0	.28	-	 < 0.01	1.00E00
regulation of cytosolic calcium ion concentration (GO:0051480)	17	0	.23	-	 < 0.01	1.00E00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	.01	-	 < 0.01	1.00E00
cellular response to chemical stimulus (GO:0070887)	199	0	2.68	-	 < 0.01	1.18E-01
positive regulation of adenylate cyclase activity (GO:0045762)	5	0	.07	-	 < 0.01	1.00E00
regulation of adenylate cyclase activity (GO:0045761)	7	0	.09	-	 < 0.01	1.00E00
regulation of sodium ion transmembrane transporter activity (GO:2000649)	13	0	.18	-	 < 0.01	1.00E00
motor neuron axon guidance (GO:0008045)	6	0	.08	-	 < 0.01	1.00E00
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	15	0	.20	-	 < 0.01	1.00E00
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	0	.07	-	 < 0.01	1.00E00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	29	0	.39	-	 < 0.01	1.00E00
innate immune response-activating signaling pathway (GO:0002758)	11	0	.15	-	 < 0.01	1.00E00
immune response-activating signaling pathway (GO:0002757)	32	0	.43	-	 < 0.01	1.00E00
peptidyl-tyrosine phosphorylation (GO:0018108)	5	0	.07	-	 < 0.01	1.00E00
peptidyl-threonine phosphorylation (GO:0018107)	16	0	.22	-	 < 0.01	1.00E00
peptidyl-tyrosine dephosphorylation (GO:0035335)	14	0	.19	-	 < 0.01	1.00E00
peptidyl-serine phosphorylation (GO:0018105)	72	0	.97	-	 < 0.01	1.00E00
filopodium assembly (GO:0046847)	3	0	.04	-	 < 0.01	1.00E00
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4	0	.05	-	 < 0.01	1.00E00
skin development (GO:0043588)	2	0	.03	-	 < 0.01	1.00E00
purine nucleoside monophosphate metabolic process (GO:0009126)	13	0	.18	-	 < 0.01	1.00E00
ear development (GO:0043583)	2	0	.03	-	 < 0.01	1.00E00
regulation of amide metabolic process (GO:0034248)	44	0	.59	-	 < 0.01	1.00E00
ameboidal-type cell migration (GO:0001667)	29	0	.39	-	 < 0.01	1.00E00
response to hypoxia (GO:0001666)	15	0	.20	-	 < 0.01	1.00E00
nucleoside monophosphate metabolic process (GO:0009123)	16	0	.22	-	 < 0.01	1.00E00
meiotic DNA double-strand break formation (GO:0042138)	3	0	.04	-	 < 0.01	1.00E00
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	7	0	.09	-	 < 0.01	1.00E00
regulation of transcription elongation by RNA polymerase II (GO:0034243)	7	0	.09	-	 < 0.01	1.00E00
cell recognition (GO:0008037)	11	0	.15	-	 < 0.01	1.00E00
potassium ion import across plasma membrane (GO:1990573)	28	0	.38	-	 < 0.01	1.00E00
negative regulation of T cell proliferation (GO:0042130)	2	0	.03	-	 < 0.01	1.00E00
meiotic cell cycle process (GO:1903046)	40	0	.54	-	 < 0.01	1.00E00
tRNA processing (GO:0008033)	46	0	.62	-	 < 0.01	1.00E00
V(D)J recombination (GO:0033151)	2	0	.03	-	 < 0.01	1.00E00
phospholipid dephosphorylation (GO:0046839)	29	0	.39	-	 < 0.01	1.00E00
negative regulation of organelle organization (GO:0010639)	50	0	.67	-	 < 0.01	1.00E00
carbohydrate phosphorylation (GO:0046835)	5	0	.07	-	 < 0.01	1.00E00
nucleotide metabolic process (GO:0009117)	96	0	1.29	-	 < 0.01	6.42E-01
nucleoside metabolic process (GO:0009116)	14	0	.19	-	 < 0.01	1.00E00
cellular response to oxidative stress (GO:0034599)	8	0	.11	-	 < 0.01	1.00E00
regulation of T cell proliferation (GO:0042129)	3	0	.04	-	 < 0.01	1.00E00
eye development (GO:0001654)	27	0	.36	-	 < 0.01	1.00E00
calcium ion import (GO:0070509)	11	0	.15	-	 < 0.01	1.00E00
regulation of cell population proliferation (GO:0042127)	85	0	1.15	-	 < 0.01	6.32E-01
cytochrome complex assembly (GO:0017004)	2	0	.03	-	 < 0.01	1.00E00
nuclear chromosome segregation (GO:0098813)	48	0	.65	-	 < 0.01	1.00E00
