PANTHER GO-Slim Biological Process	background_genes.for_all.raisd.txt - REFLIST (10898)	(91)	(expected)	(over/under)	(fold Enrichment)	P-value
cell communication (GO:0007154)	1174	5	9.80	-	.51	1.25E-01
protein catabolic process (GO:0030163)	235	1	1.96	-	.51	1.00E00
establishment of localization (GO:0051234)	1184	5	9.89	-	.51	1.25E-01
negative regulation of biosynthetic process (GO:0009890)	242	1	2.02	-	.49	7.25E-01
negative regulation of cellular biosynthetic process (GO:0031327)	242	1	2.02	-	.49	7.25E-01
negative regulation of nitrogen compound metabolic process (GO:0051172)	247	1	2.06	-	.48	7.25E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	247	1	2.06	-	.48	7.25E-01
system development (GO:0048731)	500	2	4.18	-	.48	4.45E-01
macromolecule localization (GO:0033036)	501	2	4.18	-	.48	4.45E-01
neuron differentiation (GO:0030182)	252	1	2.10	-	.48	7.26E-01
nucleobase-containing compound metabolic process (GO:0006139)	768	3	6.41	-	.47	2.15E-01
regulation of cellular component organization (GO:0051128)	258	1	2.15	-	.46	7.27E-01
generation of neurons (GO:0048699)	263	1	2.20	-	.46	7.28E-01
heterocycle metabolic process (GO:0046483)	804	3	6.71	-	.45	1.59E-01
cellular aromatic compound metabolic process (GO:0006725)	814	3	6.80	-	.44	1.60E-01
cell development (GO:0048468)	275	1	2.30	-	.44	7.31E-01
response to chemical (GO:0042221)	281	1	2.35	-	.43	7.33E-01
protein-containing complex organization (GO:0043933)	281	1	2.35	-	.43	7.33E-01
neurogenesis (GO:0022008)	282	1	2.35	-	.42	7.33E-01
organic cyclic compound metabolic process (GO:1901360)	851	3	7.11	-	.42	1.18E-01
carbohydrate derivative metabolic process (GO:1901135)	289	1	2.41	-	.41	7.36E-01
macromolecule catabolic process (GO:0009057)	290	1	2.42	-	.41	5.22E-01
intracellular signal transduction (GO:0035556)	306	1	2.56	-	.39	5.23E-01
cellular response to stress (GO:0033554)	313	1	2.61	-	.38	5.24E-01
negative regulation of macromolecule metabolic process (GO:0010605)	325	1	2.71	-	.37	5.28E-01
anatomical structure morphogenesis (GO:0009653)	332	1	2.77	-	.36	5.31E-01
organonitrogen compound catabolic process (GO:1901565)	338	1	2.82	-	.35	5.33E-01
regulation of biological quality (GO:0065008)	378	1	3.16	-	.32	3.79E-01
transmembrane transport (GO:0055085)	381	1	3.18	-	.31	3.80E-01
organic substance transport (GO:0071702)	416	1	3.47	-	.29	2.67E-01
organic substance catabolic process (GO:1901575)	459	1	3.83	-	.26	1.87E-01
phosphate-containing compound metabolic process (GO:0006796)	500	1	4.18	-	.24	1.31E-01
phosphorus metabolic process (GO:0006793)	503	1	4.20	-	.24	1.31E-01
catabolic process (GO:0009056)	523	1	4.37	-	.23	1.33E-01
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	2	0	.02	-	 < 0.01	1.00E00
ribonucleoside triphosphate metabolic process (GO:0009199)	21	0	.18	-	 < 0.01	1.00E00
mononuclear cell migration (GO:0071674)	3	0	.03	-	 < 0.01	1.00E00
intermediate filament organization (GO:0045109)	8	0	.07	-	 < 0.01	1.00E00
tissue morphogenesis (GO:0048729)	21	0	.18	-	 < 0.01	1.00E00
negative regulation of supramolecular fiber organization (GO:1902904)	31	0	.26	-	 < 0.01	1.00E00
regulation of supramolecular fiber organization (GO:1902903)	63	0	.53	-	 < 0.01	1.00E00
centriole assembly (GO:0098534)	9	0	.08	-	 < 0.01	1.00E00
intermediate filament cytoskeleton organization (GO:0045104)	12	0	.10	-	 < 0.01	1.00E00
intermediate filament-based process (GO:0045103)	12	0	.10	-	 < 0.01	1.00E00
vitamin transport (GO:0051180)	10	0	.08	-	 < 0.01	1.00E00
calcium ion transmembrane transport (GO:0070588)	53	0	.44	-	 < 0.01	1.00E00
TOR signaling (GO:0031929)	8	0	.07	-	 < 0.01	1.00E00
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	4	0	.03	-	 < 0.01	1.00E00
protein localization to mitochondrion (GO:0070585)	18	0	.15	-	 < 0.01	1.00E00
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	20	0	.17	-	 < 0.01	1.00E00
establishment or maintenance of bipolar cell polarity (GO:0061245)	14	0	.12	-	 < 0.01	1.00E00
mitotic cytokinesis (GO:0000281)	12	0	.10	-	 < 0.01	1.00E00
nuclear division (GO:0000280)	67	0	.56	-	 < 0.01	1.00E00
negative regulation of actin filament polymerization (GO:0030837)	21	0	.18	-	 < 0.01	1.00E00
sperm-egg recognition (GO:0035036)	1	0	.01	-	 < 0.01	1.00E00
negative regulation of actin filament depolymerization (GO:0030835)	17	0	.14	-	 < 0.01	1.00E00
regulation of actin filament depolymerization (GO:0030834)	19	0	.16	-	 < 0.01	1.00E00
regulation of actin filament polymerization (GO:0030833)	37	0	.31	-	 < 0.01	1.00E00
regulation of actin filament length (GO:0030832)	40	0	.33	-	 < 0.01	1.00E00
meiotic sister chromatid cohesion (GO:0051177)	2	0	.02	-	 < 0.01	1.00E00
cyclic nucleotide metabolic process (GO:0009187)	7	0	.06	-	 < 0.01	1.00E00
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	15	0	.13	-	 < 0.01	1.00E00
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	13	0	.11	-	 < 0.01	1.00E00
import into nucleus (GO:0051170)	33	0	.28	-	 < 0.01	1.00E00
mitotic cell cycle (GO:0000278)	153	0	1.28	-	 < 0.01	6.41E-01
positive regulation of proteasomal protein catabolic process (GO:1901800)	14	0	.12	-	 < 0.01	1.00E00
polysaccharide biosynthetic process (GO:0000271)	8	0	.07	-	 < 0.01	1.00E00
lymphocyte mediated immunity (GO:0002449)	2	0	.02	-	 < 0.01	1.00E00
regulation of Rho protein signal transduction (GO:0035023)	20	0	.17	-	 < 0.01	1.00E00
leukocyte mediated immunity (GO:0002443)	2	0	.02	-	 < 0.01	1.00E00
apoptotic cell clearance (GO:0043277)	4	0	.03	-	 < 0.01	1.00E00
nuclear transport (GO:0051169)	70	0	.58	-	 < 0.01	1.00E00
nuclear export (GO:0051168)	45	0	.38	-	 < 0.01	1.00E00
oligodendrocyte differentiation (GO:0048709)	5	0	.04	-	 < 0.01	1.00E00
negative regulation of monoatomic ion transport (GO:0043271)	16	0	.13	-	 < 0.01	1.00E00
vesicle-mediated transport to the plasma membrane (GO:0098876)	45	0	.38	-	 < 0.01	1.00E00
endothelial cell differentiation (GO:0045446)	4	0	.03	-	 < 0.01	1.00E00
neutrophil migration (GO:1990266)	3	0	.03	-	 < 0.01	1.00E00
fat cell differentiation (GO:0045444)	2	0	.02	-	 < 0.01	1.00E00
programmed cell death (GO:0012501)	55	0	.46	-	 < 0.01	1.00E00
axo-dendritic transport (GO:0008088)	16	0	.13	-	 < 0.01	1.00E00
regulation of establishment of protein localization (GO:0070201)	12	0	.10	-	 < 0.01	1.00E00
mitochondrial fission (GO:0000266)	8	0	.07	-	 < 0.01	1.00E00
synaptic vesicle recycling (GO:0036465)	25	0	.21	-	 < 0.01	1.00E00
regulation of monoatomic ion transport (GO:0043269)	63	0	.53	-	 < 0.01	1.00E00
positive regulation of hormone secretion (GO:0046887)	1	0	.01	-	 < 0.01	1.00E00
regulation of potassium ion transport (GO:0043266)	15	0	.13	-	 < 0.01	1.00E00
membrane invagination (GO:0010324)	8	0	.07	-	 < 0.01	1.00E00
regulation of peptide secretion (GO:0002791)	3	0	.03	-	 < 0.01	1.00E00
peptide secretion (GO:0002790)	3	0	.03	-	 < 0.01	1.00E00
regulation of hormone secretion (GO:0046883)	5	0	.04	-	 < 0.01	1.00E00
purine ribonucleoside monophosphate metabolic process (GO:0009167)	13	0	.11	-	 < 0.01	1.00E00
glucose 6-phosphate metabolic process (GO:0051156)	8	0	.07	-	 < 0.01	1.00E00
nucleotide catabolic process (GO:0009166)	23	0	.19	-	 < 0.01	1.00E00
nucleotide biosynthetic process (GO:0009165)	54	0	.45	-	 < 0.01	1.00E00
nucleoside catabolic process (GO:0009164)	8	0	.07	-	 < 0.01	1.00E00
ribonucleoside monophosphate metabolic process (GO:0009161)	14	0	.12	-	 < 0.01	1.00E00
negative regulation of protein catabolic process (GO:0042177)	11	0	.09	-	 < 0.01	1.00E00
regulation of protein catabolic process (GO:0042176)	38	0	.32	-	 < 0.01	1.00E00
response to interleukin-1 (GO:0070555)	2	0	.02	-	 < 0.01	1.00E00
cellular response to fibroblast growth factor stimulus (GO:0044344)	24	0	.20	-	 < 0.01	1.00E00
immune response-activating cell surface receptor signaling pathway (GO:0002429)	28	0	.23	-	 < 0.01	1.00E00
cytokine-mediated signaling pathway (GO:0019221)	33	0	.28	-	 < 0.01	1.00E00
actin filament bundle organization (GO:0061572)	19	0	.16	-	 < 0.01	1.00E00
hormone secretion (GO:0046879)	3	0	.03	-	 < 0.01	1.00E00
mesenchyme development (GO:0060485)	26	0	.22	-	 < 0.01	1.00E00
ceramide biosynthetic process (GO:0046513)	21	0	.18	-	 < 0.01	1.00E00
regulation of protein-containing complex assembly (GO:0043254)	48	0	.40	-	 < 0.01	1.00E00
heterocycle biosynthetic process (GO:0018130)	172	0	1.44	-	 < 0.01	4.07E-01
striated muscle cell differentiation (GO:0051146)	31	0	.26	-	 < 0.01	1.00E00
purine ribonucleotide catabolic process (GO:0009154)	16	0	.13	-	 < 0.01	1.00E00
purine ribonucleotide biosynthetic process (GO:0009152)	30	0	.25	-	 < 0.01	1.00E00
heme metabolic process (GO:0042168)	7	0	.06	-	 < 0.01	1.00E00
positive regulation of cell cycle (GO:0045787)	22	0	.18	-	 < 0.01	1.00E00
purine ribonucleotide metabolic process (GO:0009150)	62	0	.52	-	 < 0.01	1.00E00
negative regulation of cell cycle (GO:0045786)	55	0	.46	-	 < 0.01	1.00E00
response to fatty acid (GO:0070542)	1	0	.01	-	 < 0.01	1.00E00
spliceosomal complex assembly (GO:0000245)	16	0	.13	-	 < 0.01	1.00E00
regulation of actin polymerization or depolymerization (GO:0008064)	38	0	.32	-	 < 0.01	1.00E00
axon development (GO:0061564)	125	0	1.04	-	 < 0.01	6.29E-01
respiratory electron transport chain (GO:0022904)	11	0	.09	-	 < 0.01	1.00E00
protein hydroxylation (GO:0018126)	12	0	.10	-	 < 0.01	1.00E00
electron transport chain (GO:0022900)	14	0	.12	-	 < 0.01	1.00E00
glycerolipid catabolic process (GO:0046503)	14	0	.12	-	 < 0.01	1.00E00
regulation of protein-containing complex disassembly (GO:0043244)	33	0	.28	-	 < 0.01	1.00E00
negative regulation of protein-containing complex disassembly (GO:0043242)	25	0	.21	-	 < 0.01	1.00E00
multivesicular body sorting pathway (GO:0071985)	19	0	.16	-	 < 0.01	1.00E00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	1	0	.01	-	 < 0.01	1.00E00
purine nucleoside triphosphate metabolic process (GO:0009144)	18	0	.15	-	 < 0.01	1.00E00
nucleoside triphosphate catabolic process (GO:0009143)	5	0	.04	-	 < 0.01	1.00E00
negative regulation of cytoskeleton organization (GO:0051494)	32	0	.27	-	 < 0.01	1.00E00
nucleoside triphosphate biosynthetic process (GO:0009142)	6	0	.05	-	 < 0.01	1.00E00
lipoprotein biosynthetic process (GO:0042158)	47	0	.39	-	 < 0.01	1.00E00
chaperone-mediated protein complex assembly (GO:0051131)	2	0	.02	-	 < 0.01	1.00E00
regulation of cytoskeleton organization (GO:0051493)	102	0	.85	-	 < 0.01	1.00E00
nucleoside triphosphate metabolic process (GO:0009141)	28	0	.23	-	 < 0.01	1.00E00
lipoprotein metabolic process (GO:0042157)	53	0	.44	-	 < 0.01	1.00E00
positive regulation of cellular component organization (GO:0051130)	79	0	.66	-	 < 0.01	1.00E00
regulation of stress fiber assembly (GO:0051492)	5	0	.04	-	 < 0.01	1.00E00
negative regulation of blood pressure (GO:0045776)	6	0	.05	-	 < 0.01	1.00E00
protein K63-linked deubiquitination (GO:0070536)	5	0	.04	-	 < 0.01	1.00E00
protein K63-linked ubiquitination (GO:0070534)	4	0	.03	-	 < 0.01	1.00E00
mitochondrial fusion (GO:0008053)	8	0	.07	-	 < 0.01	1.00E00
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	29	0	.24	-	 < 0.01	1.00E00
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	6	0	.05	-	 < 0.01	1.00E00
immune response-regulating signaling pathway (GO:0002764)	35	0	.29	-	 < 0.01	1.00E00
phosphatidylinositol dephosphorylation (GO:0046856)	22	0	.18	-	 < 0.01	1.00E00
phosphatidylinositol phosphate biosynthetic process (GO:0046854)	32	0	.27	-	 < 0.01	1.00E00
regulation of filopodium assembly (GO:0051489)	6	0	.05	-	 < 0.01	1.00E00
intracellular glucose homeostasis (GO:0001678)	5	0	.04	-	 < 0.01	1.00E00
regulation of bone remodeling (GO:0046850)	3	0	.03	-	 < 0.01	1.00E00
nucleoside diphosphate catabolic process (GO:0009134)	20	0	.17	-	 < 0.01	1.00E00
RNA polymerase II preinitiation complex assembly (GO:0051123)	5	0	.04	-	 < 0.01	1.00E00
long-chain fatty acid metabolic process (GO:0001676)	10	0	.08	-	 < 0.01	1.00E00
nucleoside diphosphate metabolic process (GO:0009132)	23	0	.19	-	 < 0.01	1.00E00
platelet aggregation (GO:0070527)	5	0	.04	-	 < 0.01	1.00E00
regulation of angiogenesis (GO:0045765)	21	0	.18	-	 < 0.01	1.00E00
regulation of cytosolic calcium ion concentration (GO:0051480)	17	0	.14	-	 < 0.01	1.00E00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of adenylate cyclase activity (GO:0045762)	5	0	.04	-	 < 0.01	1.00E00
regulation of adenylate cyclase activity (GO:0045761)	7	0	.06	-	 < 0.01	1.00E00
regulation of sodium ion transmembrane transporter activity (GO:2000649)	13	0	.11	-	 < 0.01	1.00E00
motor neuron axon guidance (GO:0008045)	6	0	.05	-	 < 0.01	1.00E00
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	14	0	.12	-	 < 0.01	1.00E00
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	0	.04	-	 < 0.01	1.00E00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	28	0	.23	-	 < 0.01	1.00E00
innate immune response-activating signaling pathway (GO:0002758)	11	0	.09	-	 < 0.01	1.00E00
immune response-activating signaling pathway (GO:0002757)	34	0	.28	-	 < 0.01	1.00E00
peptidyl-tyrosine phosphorylation (GO:0018108)	4	0	.03	-	 < 0.01	1.00E00
peptidyl-threonine phosphorylation (GO:0018107)	16	0	.13	-	 < 0.01	1.00E00
peptidyl-serine phosphorylation (GO:0018105)	72	0	.60	-	 < 0.01	1.00E00
filopodium assembly (GO:0046847)	3	0	.03	-	 < 0.01	1.00E00
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4	0	.03	-	 < 0.01	1.00E00
skin development (GO:0043588)	2	0	.02	-	 < 0.01	1.00E00
purine nucleoside monophosphate metabolic process (GO:0009126)	13	0	.11	-	 < 0.01	1.00E00
ear development (GO:0043583)	2	0	.02	-	 < 0.01	1.00E00
ameboidal-type cell migration (GO:0001667)	29	0	.24	-	 < 0.01	1.00E00
response to hypoxia (GO:0001666)	15	0	.13	-	 < 0.01	1.00E00
nucleoside monophosphate metabolic process (GO:0009123)	16	0	.13	-	 < 0.01	1.00E00
meiotic DNA double-strand break formation (GO:0042138)	3	0	.03	-	 < 0.01	1.00E00
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8	0	.07	-	 < 0.01	1.00E00
regulation of transcription elongation by RNA polymerase II (GO:0034243)	7	0	.06	-	 < 0.01	1.00E00
cell recognition (GO:0008037)	14	0	.12	-	 < 0.01	1.00E00
potassium ion import across plasma membrane (GO:1990573)	28	0	.23	-	 < 0.01	1.00E00
mitotic cell cycle process (GO:1903047)	123	0	1.03	-	 < 0.01	6.29E-01
negative regulation of T cell proliferation (GO:0042130)	2	0	.02	-	 < 0.01	1.00E00
meiotic cell cycle process (GO:1903046)	41	0	.34	-	 < 0.01	1.00E00
V(D)J recombination (GO:0033151)	2	0	.02	-	 < 0.01	1.00E00
hippo signaling (GO:0035329)	15	0	.13	-	 < 0.01	1.00E00
phospholipid dephosphorylation (GO:0046839)	29	0	.24	-	 < 0.01	1.00E00
positive regulation of organelle organization (GO:0010638)	38	0	.32	-	 < 0.01	1.00E00
carbohydrate phosphorylation (GO:0046835)	5	0	.04	-	 < 0.01	1.00E00
nucleotide metabolic process (GO:0009117)	98	0	.82	-	 < 0.01	1.00E00
nucleoside metabolic process (GO:0009116)	14	0	.12	-	 < 0.01	1.00E00
cellular response to oxidative stress (GO:0034599)	8	0	.07	-	 < 0.01	1.00E00
regulation of T cell proliferation (GO:0042129)	3	0	.03	-	 < 0.01	1.00E00
nucleobase metabolic process (GO:0009112)	17	0	.14	-	 < 0.01	1.00E00
eye development (GO:0001654)	27	0	.23	-	 < 0.01	1.00E00
calcium ion import (GO:0070509)	11	0	.09	-	 < 0.01	1.00E00
regulation of cell population proliferation (GO:0042127)	85	0	.71	-	 < 0.01	1.00E00
cytochrome complex assembly (GO:0017004)	2	0	.02	-	 < 0.01	1.00E00
nuclear chromosome segregation (GO:0098813)	50	0	.42	-	 < 0.01	1.00E00
negative regulation of Notch signaling pathway (GO:0045746)	3	0	.03	-	 < 0.01	1.00E00
regulation of microtubule cytoskeleton organization (GO:0070507)	29	0	.24	-	 < 0.01	1.00E00
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	3	0	.03	-	 < 0.01	1.00E00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	4	0	.03	-	 < 0.01	1.00E00
regulation of leukocyte cell-cell adhesion (GO:1903037)	6	0	.05	-	 < 0.01	1.00E00
regulation of response to wounding (GO:1903034)	6	0	.05	-	 < 0.01	1.00E00
sperm motility (GO:0097722)	1	0	.01	-	 < 0.01	1.00E00
regulation of endopeptidase activity (GO:0052548)	39	0	.33	-	 < 0.01	1.00E00
calcineurin-mediated signaling (GO:0097720)	7	0	.06	-	 < 0.01	1.00E00
regulation of peptidase activity (GO:0052547)	39	0	.33	-	 < 0.01	1.00E00
negative regulation of gene expression (GO:0010629)	99	0	.83	-	 < 0.01	1.00E00
response to external biotic stimulus (GO:0043207)	39	0	.33	-	 < 0.01	1.00E00
oligopeptide transmembrane transport (GO:0035672)	2	0	.02	-	 < 0.01	1.00E00
osteoblast differentiation (GO:0001649)	3	0	.03	-	 < 0.01	1.00E00
neutrophil activation (GO:0042119)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of DNA repair (GO:0045739)	9	0	.08	-	 < 0.01	1.00E00
piRNA processing (GO:0034587)	3	0	.03	-	 < 0.01	1.00E00
negative regulation of DNA repair (GO:0045738)	5	0	.04	-	 < 0.01	1.00E00
regulation of intracellular pH (GO:0051453)	21	0	.18	-	 < 0.01	1.00E00
intracellular pH reduction (GO:0051452)	9	0	.08	-	 < 0.01	1.00E00
odontogenesis (GO:0042476)	2	0	.02	-	 < 0.01	1.00E00
monoatomic ion transmembrane transport (GO:0034220)	235	0	1.96	-	 < 0.01	2.70E-01
B cell activation (GO:0042113)	6	0	.05	-	 < 0.01	1.00E00
odontogenesis of dentin-containing tooth (GO:0042475)	2	0	.02	-	 < 0.01	1.00E00
positive regulation of protein catabolic process (GO:0045732)	19	0	.16	-	 < 0.01	1.00E00
regulation of heart contraction (GO:0008016)	16	0	.13	-	 < 0.01	1.00E00
blood circulation (GO:0008015)	36	0	.30	-	 < 0.01	1.00E00
T cell activation (GO:0042110)	7	0	.06	-	 < 0.01	1.00E00
inner ear morphogenesis (GO:0042472)	2	0	.02	-	 < 0.01	1.00E00
chromosome localization (GO:0050000)	12	0	.10	-	 < 0.01	1.00E00
vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)	1	0	.01	-	 < 0.01	1.00E00
protein localization to cilium (GO:0061512)	13	0	.11	-	 < 0.01	1.00E00
centriole elongation (GO:0061511)	1	0	.01	-	 < 0.01	1.00E00
antigen processing and presentation (GO:0019882)	3	0	.03	-	 < 0.01	1.00E00
sperm axoneme assembly (GO:0007288)	1	0	.01	-	 < 0.01	1.00E00
cardiolipin biosynthetic process (GO:0032049)	2	0	.02	-	 < 0.01	1.00E00
epithelium development (GO:0060429)	31	0	.26	-	 < 0.01	1.00E00
spermatid development (GO:0007286)	4	0	.03	-	 < 0.01	1.00E00
regulation of dephosphorylation (GO:0035303)	7	0	.06	-	 < 0.01	1.00E00
spermatogenesis (GO:0007283)	15	0	.13	-	 < 0.01	1.00E00
germ cell development (GO:0007281)	14	0	.12	-	 < 0.01	1.00E00
mitochondrial DNA metabolic process (GO:0032042)	4	0	.03	-	 < 0.01	1.00E00
regulation of neuron projection development (GO:0010975)	36	0	.30	-	 < 0.01	1.00E00
carbohydrate transmembrane transport (GO:0034219)	6	0	.05	-	 < 0.01	1.00E00
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	13	0	.11	-	 < 0.01	1.00E00
regulation of meiotic cell cycle (GO:0051445)	10	0	.08	-	 < 0.01	1.00E00
transport along microtubule (GO:0010970)	50	0	.42	-	 < 0.01	1.00E00
purine nucleotide catabolic process (GO:0006195)	17	0	.14	-	 < 0.01	1.00E00
signal release (GO:0023061)	34	0	.28	-	 < 0.01	1.00E00
positive regulation of T cell proliferation (GO:0042102)	2	0	.02	-	 < 0.01	1.00E00
mitochondrial transmembrane transport (GO:1990542)	33	0	.28	-	 < 0.01	1.00E00
regulation of cell size (GO:0008361)	12	0	.10	-	 < 0.01	1.00E00
regulation of cell shape (GO:0008360)	25	0	.21	-	 < 0.01	1.00E00
regulation of natural killer cell mediated immunity (GO:0002715)	2	0	.02	-	 < 0.01	1.00E00
gamete generation (GO:0007276)	25	0	.21	-	 < 0.01	1.00E00
neuromuscular synaptic transmission (GO:0007274)	10	0	.08	-	 < 0.01	1.00E00
regulation of mitotic sister chromatid separation (GO:0010965)	15	0	.13	-	 < 0.01	1.00E00
DNA geometric change (GO:0032392)	9	0	.08	-	 < 0.01	1.00E00
protein acylation (GO:0043543)	26	0	.22	-	 < 0.01	1.00E00
endothelial cell migration (GO:0043542)	3	0	.03	-	 < 0.01	1.00E00
IMP biosynthetic process (GO:0006188)	6	0	.05	-	 < 0.01	1.00E00
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	33	0	.28	-	 < 0.01	1.00E00
negative regulation of canonical Wnt signaling pathway (GO:0090090)	16	0	.13	-	 < 0.01	1.00E00
lipid translocation (GO:0034204)	21	0	.18	-	 < 0.01	1.00E00
cGMP biosynthetic process (GO:0006182)	3	0	.03	-	 < 0.01	1.00E00
organelle disassembly (GO:1903008)	44	0	.37	-	 < 0.01	1.00E00
response to organic cyclic compound (GO:0014070)	27	0	.23	-	 < 0.01	1.00E00
neurotransmitter secretion (GO:0007269)	29	0	.24	-	 < 0.01	1.00E00
negative regulation of macroautophagy (GO:0016242)	4	0	.03	-	 < 0.01	1.00E00
chemical synaptic transmission (GO:0007268)	119	0	.99	-	 < 0.01	6.29E-01
regulation of macroautophagy (GO:0016241)	14	0	.12	-	 < 0.01	1.00E00
regulation of lymphocyte mediated immunity (GO:0002706)	4	0	.03	-	 < 0.01	1.00E00
Rho protein signal transduction (GO:0007266)	22	0	.18	-	 < 0.01	1.00E00
Ras protein signal transduction (GO:0007265)	23	0	.19	-	 < 0.01	1.00E00
regulation of response to endoplasmic reticulum stress (GO:1905897)	5	0	.04	-	 < 0.01	1.00E00
regulation of leukocyte mediated immunity (GO:0002703)	4	0	.03	-	 < 0.01	1.00E00
small GTPase-mediated signal transduction (GO:0007264)	57	0	.48	-	 < 0.01	1.00E00
regulation of metal ion transport (GO:0010959)	48	0	.40	-	 < 0.01	1.00E00
regulation of chromatin organization (GO:1902275)	3	0	.03	-	 < 0.01	1.00E00
regulation of peptide transport (GO:0090087)	3	0	.03	-	 < 0.01	1.00E00
tyrosine phosphorylation of STAT protein (GO:0007260)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of peptidase activity (GO:0010952)	17	0	.14	-	 < 0.01	1.00E00
negative regulation of endopeptidase activity (GO:0010951)	22	0	.18	-	 < 0.01	1.00E00
positive regulation of endopeptidase activity (GO:0010950)	17	0	.14	-	 < 0.01	1.00E00
negative regulation of nuclear division (GO:0051784)	13	0	.11	-	 < 0.01	1.00E00
replication fork processing (GO:0031297)	14	0	.12	-	 < 0.01	1.00E00
regulation of nuclear division (GO:0051783)	24	0	.20	-	 < 0.01	1.00E00
heterochromatin organization (GO:0070828)	18	0	.15	-	 < 0.01	1.00E00
regulation of ERBB signaling pathway (GO:1901184)	11	0	.09	-	 < 0.01	1.00E00
hormone biosynthetic process (GO:0042446)	1	0	.01	-	 < 0.01	1.00E00
positive regulation of cell division (GO:0051781)	2	0	.02	-	 < 0.01	1.00E00
hormone metabolic process (GO:0042445)	11	0	.09	-	 < 0.01	1.00E00
embryo development (GO:0009790)	57	0	.48	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex III assembly (GO:0034551)	1	0	.01	-	 < 0.01	1.00E00
mitochondrial respiratory chain complex assembly (GO:0033108)	9	0	.08	-	 < 0.01	1.00E00
positive regulation of macroautophagy (GO:0016239)	9	0	.08	-	 < 0.01	1.00E00
pigment metabolic process (GO:0042440)	12	0	.10	-	 < 0.01	1.00E00
microautophagy (GO:0016237)	16	0	.13	-	 < 0.01	1.00E00
macroautophagy (GO:0016236)	51	0	.43	-	 < 0.01	1.00E00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1	0	.01	-	 < 0.01	1.00E00
telomere capping (GO:0016233)	3	0	.03	-	 < 0.01	1.00E00
receptor signaling pathway via JAK-STAT (GO:0007259)	6	0	.05	-	 < 0.01	1.00E00
JNK cascade (GO:0007254)	6	0	.05	-	 < 0.01	1.00E00
negative regulation of cell cycle process (GO:0010948)	46	0	.38	-	 < 0.01	1.00E00
positive regulation of protein serine/threonine kinase activity (GO:0071902)	12	0	.10	-	 < 0.01	1.00E00
purine nucleotide biosynthetic process (GO:0006164)	43	0	.36	-	 < 0.01	1.00E00
purine nucleotide metabolic process (GO:0006163)	83	0	.69	-	 < 0.01	1.00E00
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	3	0	.03	-	 < 0.01	1.00E00
positive regulation of cyclase activity (GO:0031281)	9	0	.08	-	 < 0.01	1.00E00
acetylcholine receptor signaling pathway (GO:0095500)	18	0	.15	-	 < 0.01	1.00E00
snRNA transcription by RNA polymerase II (GO:0042795)	3	0	.03	-	 < 0.01	1.00E00
negative regulation of cyclase activity (GO:0031280)	2	0	.02	-	 < 0.01	1.00E00
collagen fibril organization (GO:0030199)	9	0	.08	-	 < 0.01	1.00E00
endosome to lysosome transport (GO:0008333)	14	0	.12	-	 < 0.01	1.00E00
regulation of mRNA processing (GO:0050684)	31	0	.26	-	 < 0.01	1.00E00
iron-sulfur cluster assembly (GO:0016226)	8	0	.07	-	 < 0.01	1.00E00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	5	0	.04	-	 < 0.01	1.00E00
negative regulation of blood coagulation (GO:0030195)	4	0	.03	-	 < 0.01	1.00E00
canonical NF-kappaB signal transduction (GO:0007249)	3	0	.03	-	 < 0.01	1.00E00
positive regulation of TOR signaling (GO:0032008)	14	0	.12	-	 < 0.01	1.00E00
negative regulation of TOR signaling (GO:0032007)	8	0	.07	-	 < 0.01	1.00E00
regulation of TOR signaling (GO:0032006)	25	0	.21	-	 < 0.01	1.00E00
intracellular sterol transport (GO:0032366)	3	0	.03	-	 < 0.01	1.00E00
intracellular lipid transport (GO:0032365)	5	0	.04	-	 < 0.01	1.00E00
